Orthogroup	Syal	Praq
OG0000267	Syal.g_02043	Praq.g_00604
OG0000268	Syal.g_02042	Praq.g_00605
OG0000269	Syal.g_02409	Praq.g_00665
OG0000270	Syal.g_02412	Praq.g_00668
OG0000271	Syal.g_01871	Praq.g_00676
OG0000272	Syal.g_01872	Praq.g_00677
OG0000274	Syal.g_02455	Praq.g_01429
OG0000275	Syal.g_02458	Praq.g_01431
OG0000276	Syal.g_02467	Praq.g_01436
OG0000277	Syal.g_02468	Praq.g_01437
OG0000278	Syal.g_02471	Praq.g_01440
OG0000279	Syal.g_02479	Praq.g_01447
OG0000280	Syal.g_02493	Praq.g_01448
OG0000281	Syal.g_02190	Praq.g_01454
OG0000282	Syal.g_02284	Praq.g_01492
OG0000283	Syal.g_02028	Praq.g_01525
OG0000284	Syal.g_02023	Praq.g_01530
OG0000285	Syal.g_02012	Praq.g_01535
OG0000286	Syal.g_01992	Praq.g_01547
OG0000288	Syal.g_01919	Praq.g_01592
OG0000289	Syal.g_01904	Praq.g_01603
OG0000290	Syal.g_01826	Praq.g_01616
OG0000291	Syal.g_01824	Praq.g_01618
OG0000292	Syal.g_00089	Praq.g_01667
OG0000293	Syal.g_01631	Praq.g_01324
OG0000294	Syal.g_01632	Praq.g_01325
OG0000295	Syal.g_01687	Praq.g_01345
OG0000296	Syal.g_01689	Praq.g_01347
OG0000297	Syal.g_01702	Praq.g_01355
OG0000298	Syal.g_01703	Praq.g_01356
OG0000299	Syal.g_01732	Praq.g_01373
OG0000300	Syal.g_01738	Praq.g_01376
OG0000301	Syal.g_01739	Praq.g_01377
OG0000302	Syal.g_01740	Praq.g_01379
OG0000303	Syal.g_01763	Praq.g_01386
OG0000304	Syal.g_01756	Praq.g_01390
OG0000305	Syal.g_01821	Praq.g_00167
OG0000306	Syal.g_02579	Praq.g_00170
OG0000307	Syal.g_02880	Praq.g_00186
OG0000308	Syal.g_02878	Praq.g_00187
OG0000309	Syal.g_02873	Praq.g_00191
OG0000310	Syal.g_01537	Praq.g_00279
OG0000311	Syal.g_00061	Praq.g_00281
OG0000312	Syal.g_00031	Praq.g_00284
OG0000313	Syal.g_00381	Praq.g_00298
OG0000314	Syal.g_00416	Praq.g_00321
OG0000315	Syal.g_00426	Praq.g_00331
OG0000316	Syal.g_02987	Praq.g_00351
OG0000317	Syal.g_00583	Praq.g_01954, Praq.g_00499
OG0000318	Syal.g_00588	Praq.g_00496
OG0000319	Syal.g_00608	Praq.g_00483
OG0000320	Syal.g_00610	Praq.g_00481
OG0000321	Syal.g_00611	Praq.g_00480
OG0000322	Syal.g_00612	Praq.g_00479
OG0000323	Syal.g_00626	Praq.g_00470
