Orthogroup	Syae	Syat
OG0000381	Syae.g_01285	Syat.g_01470
OG0000382	Syae.g_01322	Syat.g_01488
OG0000383	Syae.g_01324	Syat.g_01521
OG0000384	Syae.g_01325	Syat.g_01522
OG0000385	Syae.g_01326	Syat.g_01523
OG0000386	Syae.g_01327	Syat.g_01524
OG0000387	Syae.g_01354	Syat.g_01561
OG0000388	Syae.g_01358	Syat.g_01565
OG0000389	Syae.g_01362	Syat.g_01569
OG0000390	Syae.g_01378	Syat.g_02945
OG0000391	Syae.g_01383	Syat.g_02940
OG0000392	Syae.g_01389	Syat.g_02934
OG0000393	Syae.g_01392	Syat.g_02931
OG0000394	Syae.g_01393	Syat.g_02930
OG0000395	Syae.g_01394	Syat.g_02929
OG0000396	Syae.g_01397	Syat.g_02927
OG0000397	Syae.g_01400	Syat.g_02925
OG0000398	Syae.g_01405	Syat.g_02920
OG0000399	Syae.g_01406	Syat.g_02919
OG0000400	Syae.g_01407	Syat.g_02918
OG0000401	Syae.g_01408	Syat.g_02917
OG0000402	Syae.g_01410	Syat.g_02915
OG0000403	Syae.g_01411	Syat.g_02914
OG0000404	Syae.g_01412	Syat.g_02913
OG0000405	Syae.g_01426	Syat.g_02900
OG0000406	Syae.g_01430	Syat.g_02896
OG0000407	Syae.g_01431	Syat.g_02895
OG0000408	Syae.g_01433	Syat.g_02893
OG0000409	Syae.g_01435	Syat.g_02891
OG0000410	Syae.g_01436	Syat.g_02890
OG0000411	Syae.g_01437	Syat.g_02889
OG0000412	Syae.g_01438	Syat.g_02888
OG0000413	Syae.g_01440	Syat.g_02886
OG0000415	Syae.g_01441	Syat.g_02884
OG0000416	Syae.g_01442	Syat.g_02883
OG0000417	Syae.g_01443	Syat.g_02868
OG0000418	Syae.g_01448	Syat.g_02863
OG0000419	Syae.g_01450	Syat.g_02861
OG0000420	Syae.g_01452	Syat.g_02859
OG0000421	Syae.g_01457	Syat.g_02855
OG0000422	Syae.g_01458	Syat.g_02854
OG0000423	Syae.g_01459	Syat.g_02853
OG0000424	Syae.g_01460	Syat.g_02852
OG0000425	Syae.g_01461	Syat.g_02851
OG0000426	Syae.g_01462	Syat.g_02850
OG0000427	Syae.g_01463	Syat.g_02849
OG0000428	Syae.g_01466	Syat.g_02846
OG0000429	Syae.g_01468	Syat.g_02843
OG0000430	Syae.g_01470	Syat.g_02841
OG0000431	Syae.g_01473	Syat.g_02838
OG0000432	Syae.g_01481	Syat.g_02832
OG0000433	Syae.g_01484	Syat.g_02829
OG0000434	Syae.g_01485	Syat.g_02828
OG0000435	Syae.g_01486	Syat.g_02824
OG0000436	Syae.g_01491	Syat.g_02817
OG0000437	Syae.g_01492	Syat.g_02558
OG0000438	Syae.g_01493	Syat.g_02813
OG0000439	Syae.g_01495	Syat.g_02811
OG0000440	Syae.g_01496	Syat.g_02810
OG0000441	Syae.g_01501	Syat.g_02807
OG0000442	Syae.g_01502	Syat.g_02797
OG0000443	Syae.g_01503	Syat.g_02787
OG0000444	Syae.g_01509	Syat.g_02756
OG0000445	Syae.g_01510	Syat.g_02755
OG0000446	Syae.g_01512	Syat.g_02753
OG0000447	Syae.g_01517	Syat.g_02749
OG0000448	Syae.g_01518	Syat.g_02748
OG0000449	Syae.g_01519	Syat.g_02747
OG0000450	Syae.g_01525	Syat.g_02738
OG0000451	Syae.g_01526	Syat.g_02737
OG0000452	Syae.g_01530	Syat.g_02732
OG0000453	Syae.g_01531	Syat.g_02731
OG0000454	Syae.g_01532	Syat.g_02730
OG0000455	Syae.g_01533	Syat.g_02729
OG0000456	Syae.g_01534	Syat.g_02728
OG0000457	Syae.g_01536	Syat.g_02726
OG0000458	Syae.g_01538	Syat.g_02725
OG0000459	Syae.g_01539	Syat.g_02724
OG0000460	Syae.g_02236	Syat.g_01450
OG0000461	Syae.g_02024	Syat.g_01866
OG0000462	Syae.g_02021	Syat.g_01868
OG0000463	Syae.g_02020	Syat.g_01869
OG0000464	Syae.g_02019	Syat.g_01870
OG0000465	Syae.g_02018	Syat.g_01872
OG0000466	Syae.g_02014	Syat.g_01877
OG0000467	Syae.g_02012	Syat.g_01878
OG0000468	Syae.g_02007	Syat.g_01884
OG0000469	Syae.g_01992	Syat.g_02000
OG0000470	Syae.g_01990	Syat.g_02038
OG0000471	Syae.g_01989	Syat.g_02039
OG0000472	Syae.g_01987	Syat.g_02041
OG0000473	Syae.g_01985	Syat.g_02043
OG0000474	Syae.g_01984	Syat.g_02044
OG0000475	Syae.g_01983	Syat.g_02045
OG0000476	Syae.g_01981	Syat.g_02047
OG0000477	Syae.g_01975	Syat.g_02053
OG0000478	Syae.g_01974	Syat.g_02054
OG0000479	Syae.g_01973	Syat.g_02056
OG0000480	Syae.g_01966	Syat.g_02063
OG0000481	Syae.g_01964	Syat.g_02066
OG0000482	Syae.g_01963	Syat.g_02067
OG0000483	Syae.g_01959	Syat.g_02071
OG0000484	Syae.g_01958	Syat.g_02072
OG0000485	Syae.g_01957	Syat.g_02073
OG0000486	Syae.g_01956	Syat.g_02074
OG0000487	Syae.g_01950	Syat.g_02080
OG0000488	Syae.g_01946	Syat.g_02086
OG0000489	Syae.g_01936	Syat.g_02097
OG0000490	Syae.g_01928	Syat.g_02106
OG0000491	Syae.g_01927	Syat.g_02107
OG0000492	Syae.g_01925	Syat.g_02110
OG0000493	Syae.g_01924	Syat.g_02111
OG0000494	Syae.g_01923	Syat.g_02112
OG0000495	Syae.g_01922	Syat.g_02120
OG0000496	Syae.g_01921	Syat.g_02121
OG0000497	Syae.g_01920	Syat.g_02122
OG0000498	Syae.g_01919	Syat.g_02123
OG0000499	Syae.g_01918	Syat.g_02124
OG0000500	Syae.g_01917	Syat.g_02125
OG0000501	Syae.g_01914	Syat.g_02128
OG0000502	Syae.g_01902	Syat.g_02135
OG0000503	Syae.g_02192	Syat.g_01614
OG0000504	Syae.g_02194	Syat.g_01612
OG0000505	Syae.g_02195	Syat.g_01611
OG0000506	Syae.g_02197	Syat.g_01609
OG0000507	Syae.g_02203	Syat.g_01603
OG0000508	Syae.g_02207	Syat.g_01596
OG0000509	Syae.g_02209	Syat.g_01591
OG0000510	Syae.g_02210	Syat.g_01590
OG0000511	Syae.g_02211	Syat.g_01589
OG0000512	Syae.g_02213	Syat.g_01587
OG0000513	Syae.g_02223	Syat.g_02957
OG0000514	Syae.g_02229	Syat.g_02962
OG0000515	Syae.g_02230	Syat.g_02963
OG0000516	Syae.g_01000	Syat.g_02965
OG0000517	Syae.g_00995	Syat.g_02969
OG0000518	Syae.g_00983	Syat.g_01286
OG0000519	Syae.g_00982	Syat.g_01285
OG0000520	Syae.g_00981	Syat.g_01284
OG0000521	Syae.g_02491	Syat.g_01319
OG0000522	Syae.g_02493	Syat.g_01317
OG0000523	Syae.g_02494	Syat.g_01316
OG0000524	Syae.g_02501	Syat.g_01409
OG0000525	Syae.g_02520	Syat.g_01382
OG0000526	Syae.g_02523	Syat.g_01380
OG0000527	Syae.g_02528	Syat.g_01373
OG0000528	Syae.g_02304	Syat.g_03167
OG0000529	Syae.g_02310	Syat.g_03171
OG0000530	Syae.g_02313	Syat.g_03174
OG0000531	Syae.g_02314	Syat.g_03175
OG0000532	Syae.g_02317	Syat.g_03178
OG0000533	Syae.g_02318	Syat.g_03180
OG0000534	Syae.g_02319	Syat.g_03181
OG0000535	Syae.g_02320	Syat.g_03182
OG0000536	Syae.g_02321	Syat.g_03183
OG0000537	Syae.g_02322	Syat.g_03185
OG0000538	Syae.g_02333	Syat.g_03204
OG0000539	Syae.g_02334	Syat.g_03206
OG0000540	Syae.g_02335	Syat.g_03207
OG0000541	Syae.g_02336	Syat.g_03208
OG0000542	Syae.g_02339	Syat.g_03213
OG0000543	Syae.g_02341	Syat.g_03215
OG0000544	Syae.g_02342	Syat.g_03216
OG0000545	Syae.g_02344	Syat.g_03218
OG0000546	Syae.g_02346	Syat.g_03220
OG0000547	Syae.g_02348	Syat.g_03222
OG0000548	Syae.g_02349	Syat.g_03223
OG0000549	Syae.g_02354	Syat.g_01795
OG0000550	Syae.g_02358	Syat.g_01107
OG0000551	Syae.g_02363	Syat.g_01103
OG0000552	Syae.g_02364	Syat.g_01102
OG0000553	Syae.g_02366	Syat.g_01098
OG0000554	Syae.g_02375	Syat.g_03271
OG0000555	Syae.g_02390	Syat.g_00093
OG0000556	Syae.g_02394	Syat.g_00088
OG0000557	Syae.g_02398	Syat.g_00083
OG0000558	Syae.g_02400	Syat.g_00081
OG0000559	Syae.g_02404	Syat.g_00077
OG0000560	Syae.g_02407	Syat.g_00074
OG0000561	Syae.g_02408	Syat.g_00073
OG0000562	Syae.g_02409	Syat.g_00072
OG0000563	Syae.g_02410	Syat.g_00071
OG0000564	Syae.g_02411	Syat.g_00070
OG0000565	Syae.g_02414	Syat.g_00067
OG0000566	Syae.g_02418	Syat.g_00063
OG0000567	Syae.g_02422	Syat.g_00059
OG0000568	Syae.g_02427	Syat.g_00057
OG0000569	Syae.g_02428	Syat.g_00056
OG0000570	Syae.g_02429	Syat.g_00055
OG0000571	Syae.g_02433	Syat.g_00052
OG0000572	Syae.g_02448	Syat.g_00033
OG0000573	Syae.g_02456	Syat.g_00024
OG0000574	Syae.g_02457	Syat.g_00023
OG0000575	Syae.g_02461	Syat.g_00018
OG0000576	Syae.g_02463	Syat.g_00014
OG0000577	Syae.g_02464	Syat.g_00013
OG0000578	Syae.g_02465	Syat.g_00012
OG0000579	Syae.g_02466	Syat.g_00011
OG0000580	Syae.g_02467	Syat.g_00010
OG0000581	Syae.g_02473	Syat.g_00003
OG0000582	Syae.g_00018	Syat.g_03403
OG0000583	Syae.g_00019	Syat.g_03404
OG0000584	Syae.g_00020	Syat.g_03405
OG0000585	Syae.g_00022	Syat.g_03408
OG0000586	Syae.g_00023	Syat.g_03409
OG0000587	Syae.g_00025	Syat.g_00001
OG0000588	Syae.g_00043	Syat.g_00338
OG0000589	Syae.g_00047	Syat.g_03318
OG0000590	Syae.g_00048	Syat.g_03317
OG0000591	Syae.g_00056	Syat.g_03308
OG0000592	Syae.g_00057	Syat.g_03307
OG0000593	Syae.g_00070	Syat.g_00113
OG0000594	Syae.g_00071	Syat.g_00114
OG0000595	Syae.g_00072	Syat.g_00115
OG0000596	Syae.g_00077	Syat.g_00129
OG0000597	Syae.g_00080	Syat.g_00132
OG0000598	Syae.g_00081	Syat.g_00133
OG0000599	Syae.g_00084	Syat.g_00381
OG0000600	Syae.g_00085	Syat.g_00380
OG0000601	Syae.g_00086	Syat.g_00379
OG0000602	Syae.g_00091	Syat.g_00375
OG0000603	Syae.g_00092	Syat.g_00374
OG0000604	Syae.g_00095	Syat.g_00372
OG0000605	Syae.g_00260	Syat.g_00370
OG0000606	Syae.g_00616	Syat.g_00367
OG0000607	Syae.g_00613	Syat.g_00364
