Orthogroup	Prat	Syai
OG0000383	Prat.g_00081	Syai.g_02498
OG0000384	Prat.g_00082	Syai.g_02499
OG0000385	Prat.g_00083	Syai.g_02500
OG0000386	Prat.g_00084	Syai.g_02501
OG0000387	Prat.g_00096	Syai.g_02534
OG0000388	Prat.g_00100	Syai.g_02538
OG0000389	Prat.g_00103	Syai.g_02542
OG0000390	Prat.g_00112	Syai.g_02556
OG0000391	Prat.g_00115	Syai.g_02561
OG0000392	Prat.g_00118	Syai.g_02568
OG0000393	Prat.g_00122	Syai.g_02570
OG0000394	Prat.g_00123	Syai.g_02571
OG0000395	Prat.g_00124	Syai.g_02572
OG0000396	Prat.g_00126	Syai.g_02575
OG0000397	Prat.g_00128	Syai.g_02577
OG0000398	Prat.g_00131	Syai.g_02582
OG0000399	Prat.g_00132	Syai.g_02583
OG0000400	Prat.g_00133	Syai.g_02584
OG0000401	Prat.g_00134	Syai.g_02585
OG0000402	Prat.g_00601	Syai.g_02588
OG0000403	Prat.g_00136	Syai.g_02589
OG0000404	Prat.g_00137	Syai.g_02590
OG0000405	Prat.g_00141	Syai.g_02606
OG0000406	Prat.g_00146	Syai.g_02610
OG0000407	Prat.g_00147	Syai.g_02611
OG0000408	Prat.g_00149	Syai.g_02613
OG0000409	Prat.g_00151	Syai.g_02615
OG0000410	Prat.g_00152	Syai.g_02616
OG0000411	Prat.g_00153	Syai.g_02617
OG0000412	Prat.g_00154	Syai.g_02618
OG0000413	Prat.g_00156	Syai.g_02620
OG0000414	Prat.g_00157	Syai.g_02621
OG0000415	Prat.g_00158	Syai.g_02622
OG0000416	Prat.g_00159	Syai.g_02623
OG0000417	Prat.g_00160	Syai.g_02624
OG0000418	Prat.g_00165	Syai.g_02629
OG0000419	Prat.g_00167	Syai.g_02631
OG0000420	Prat.g_00169	Syai.g_02633
OG0000421	Prat.g_00174	Syai.g_02638
OG0000422	Prat.g_00175	Syai.g_02639
OG0000423	Prat.g_00176	Syai.g_02640
OG0000424	Prat.g_00177	Syai.g_02641
OG0000425	Prat.g_00178	Syai.g_02642
OG0000426	Prat.g_00179	Syai.g_02643
OG0000427	Prat.g_00180	Syai.g_02644
OG0000428	Prat.g_00182	Syai.g_02647
OG0000429	Prat.g_00183	Syai.g_02649
OG0000430	Prat.g_00184	Syai.g_02650
OG0000431	Prat.g_00186	Syai.g_02654
OG0000432	Prat.g_00190	Syai.g_02660
OG0000433	Prat.g_00191	Syai.g_02662
OG0000434	Prat.g_00192	Syai.g_02663
OG0000435	Prat.g_00193	Syai.g_02666
OG0000436	Prat.g_00198	Syai.g_02671
OG0000437	Prat.g_00199	Syai.g_02672
OG0000438	Prat.g_00200	Syai.g_02673
OG0000439	Prat.g_00202	Syai.g_02675
OG0000440	Prat.g_00203	Syai.g_02676
OG0000441	Prat.g_00206	Syai.g_02681
OG0000442	Prat.g_00207	Syai.g_02682
OG0000443	Prat.g_00208	Syai.g_02683
OG0000444	Prat.g_00213	Syai.g_02688
OG0000445	Prat.g_00214	Syai.g_02689
OG0000446	Prat.g_00215	Syai.g_02690
OG0000447	Prat.g_00216	Syai.g_02693
OG0000448	Prat.g_00217	Syai.g_02694
OG0000449	Prat.g_00218	Syai.g_02695
OG0000450	Prat.g_00219	Syai.g_02696
OG0000451	Prat.g_00220	Syai.g_02697
OG0000452	Prat.g_00223	Syai.g_02701
OG0000453	Prat.g_00224	Syai.g_02702
OG0000454	Prat.g_00225	Syai.g_02703
OG0000455	Prat.g_00226	Syai.g_02704
OG0000456	Prat.g_00227	Syai.g_02705
OG0000457	Prat.g_00229	Syai.g_02707
OG0000458	Prat.g_00230	Syai.g_02708
OG0000459	Prat.g_00231	Syai.g_02709
OG0000460	Prat.g_00240	Syai.g_00535
OG0000461	Prat.g_00249	Syai.g_00314
OG0000462	Prat.g_00250	Syai.g_00311
OG0000463	Prat.g_00251	Syai.g_00310
OG0000464	Prat.g_00252	Syai.g_00309
OG0000465	Prat.g_00253	Syai.g_00307
OG0000466	Prat.g_00256	Syai.g_00303
OG0000467	Prat.g_00257	Syai.g_00301
OG0000468	Prat.g_00260	Syai.g_00296
OG0000469	Prat.g_00269	Syai.g_00282
OG0000470	Prat.g_00271	Syai.g_00280
OG0000471	Prat.g_00272	Syai.g_00279
OG0000472	Prat.g_00273	Syai.g_00277
OG0000473	Prat.g_00275	Syai.g_00275
OG0000474	Prat.g_00276	Syai.g_00274
OG0000475	Prat.g_00277	Syai.g_00273
OG0000476	Prat.g_00279	Syai.g_00271
OG0000477	Prat.g_00282	Syai.g_00265
OG0000478	Prat.g_00283	Syai.g_00264
OG0000479	Prat.g_00284	Syai.g_00263
OG0000480	Prat.g_00290	Syai.g_00256
OG0000481	Prat.g_00292	Syai.g_00254
OG0000482	Prat.g_00293	Syai.g_00253
OG0000483	Prat.g_00296	Syai.g_00249
OG0000484	Prat.g_00297	Syai.g_00248
OG0000485	Prat.g_00298	Syai.g_00247
OG0000486	Prat.g_00299	Syai.g_00246
OG0000487	Prat.g_00303	Syai.g_00240
OG0000488	Prat.g_00306	Syai.g_00236
OG0000489	Prat.g_00311	Syai.g_00226
OG0000490	Prat.g_00315	Syai.g_00218
OG0000491	Prat.g_00316	Syai.g_00217
OG0000492	Prat.g_00318	Syai.g_00214
OG0000493	Prat.g_00319	Syai.g_00213
OG0000494	Prat.g_00320	Syai.g_00212
OG0000495	Prat.g_00321	Syai.g_00211
OG0000496	Prat.g_00322	Syai.g_00210
OG0000497	Prat.g_00323	Syai.g_00209
OG0000498	Prat.g_00324	Syai.g_00208
OG0000499	Prat.g_00325	Syai.g_00207
