Orthogroup	Syai	Praw
OG0000365	Syai.g_00027	Praw.g_01408
OG0000366	Syai.g_00028	Praw.g_01407
OG0000367	Syai.g_00029	Praw.g_01406
OG0000368	Syai.g_00031	Praw.g_01404
OG0000369	Syai.g_00032	Praw.g_01403
OG0000370	Syai.g_00033	Praw.g_01402
OG0000371	Syai.g_00041	Praw.g_01396
OG0000372	Syai.g_00047	Praw.g_01393
OG0000373	Syai.g_00048	Praw.g_01392
OG0000374	Syai.g_00049	Praw.g_01391
OG0000375	Syai.g_00053	Praw.g_01388
OG0000376	Syai.g_00055	Praw.g_01386
OG0000377	Syai.g_02769	Praw.g_01383
OG0000378	Syai.g_02751	Praw.g_01381
OG0000379	Syai.g_02733	Praw.g_01378
OG0000380	Syai.g_02472	Praw.g_01368
OG0000381	Syai.g_02475	Praw.g_01364
OG0000382	Syai.g_02493	Praw.g_01353
OG0000383	Syai.g_02498	Praw.g_01351
OG0000384	Syai.g_02499	Praw.g_01350
OG0000385	Syai.g_02500	Praw.g_01349
OG0000386	Syai.g_02501	Praw.g_01348
OG0000387	Syai.g_02534	Praw.g_01336
OG0000388	Syai.g_02538	Praw.g_01333
OG0000389	Syai.g_02542	Praw.g_01329
OG0000390	Syai.g_02556	Praw.g_01322
OG0000391	Syai.g_02561	Praw.g_01319
OG0000392	Syai.g_02568	Praw.g_01315
OG0000393	Syai.g_02570	Praw.g_01313
OG0000394	Syai.g_02571	Praw.g_01312
OG0000395	Syai.g_02572	Praw.g_01311
OG0000396	Syai.g_02575	Praw.g_01308
OG0000397	Syai.g_02577	Praw.g_01306
OG0000398	Syai.g_02582	Praw.g_01304
OG0000399	Syai.g_02583	Praw.g_01303
OG0000400	Syai.g_02584	Praw.g_01302
OG0000401	Syai.g_02585	Praw.g_01301
OG0000402	Syai.g_02588	Praw.g_01299
OG0000403	Syai.g_02589	Praw.g_01298
OG0000404	Syai.g_02590	Praw.g_01297
OG0000405	Syai.g_02606	Praw.g_01293
OG0000406	Syai.g_02610	Praw.g_01288
OG0000407	Syai.g_02611	Praw.g_01287
OG0000408	Syai.g_02613	Praw.g_01285
OG0000409	Syai.g_02615	Praw.g_01283
OG0000410	Syai.g_02616	Praw.g_01282
OG0000411	Syai.g_02617	Praw.g_01281
OG0000412	Syai.g_02618	Praw.g_01280
OG0000413	Syai.g_02620	Praw.g_01279
OG0000414	Syai.g_02621	Praw.g_01278
OG0000415	Syai.g_02622	Praw.g_01277
OG0000416	Syai.g_02623	Praw.g_01276
OG0000417	Syai.g_02624	Praw.g_01275
OG0000418	Syai.g_02629	Praw.g_01270
OG0000419	Syai.g_02631	Praw.g_01268
OG0000420	Syai.g_02633	Praw.g_01267
OG0000421	Syai.g_02638	Praw.g_01262
OG0000422	Syai.g_02639	Praw.g_01261
OG0000423	Syai.g_02640	Praw.g_01260
OG0000424	Syai.g_02641	Praw.g_01259
OG0000425	Syai.g_02642	Praw.g_01258
OG0000426	Syai.g_02643	Praw.g_01257
OG0000427	Syai.g_02644	Praw.g_01256
OG0000428	Syai.g_02647	Praw.g_01254
OG0000429	Syai.g_02649	Praw.g_01253
OG0000430	Syai.g_02650	Praw.g_01252
OG0000431	Syai.g_02654	Praw.g_01250
OG0000432	Syai.g_02660	Praw.g_01247
OG0000433	Syai.g_02662	Praw.g_01246
OG0000434	Syai.g_02663	Praw.g_01245
OG0000435	Syai.g_02666	Praw.g_01244
OG0000436	Syai.g_02671	Praw.g_01239
OG0000437	Syai.g_02672	Praw.g_01238
OG0000438	Syai.g_02673	Praw.g_01237
OG0000439	Syai.g_02675	Praw.g_01235
OG0000440	Syai.g_02676	Praw.g_01234
OG0000441	Syai.g_02681	Praw.g_01231
OG0000442	Syai.g_02682	Praw.g_01230
OG0000443	Syai.g_02683	Praw.g_01229
OG0000444	Syai.g_02688	Praw.g_01224
OG0000445	Syai.g_02689	Praw.g_01223
OG0000446	Syai.g_02690	Praw.g_01222
OG0000447	Syai.g_02693	Praw.g_01221
OG0000448	Syai.g_02694	Praw.g_01220
OG0000449	Syai.g_02695	Praw.g_01219
OG0000450	Syai.g_02696	Praw.g_01218
OG0000451	Syai.g_02697	Praw.g_01217
OG0000452	Syai.g_02701	Praw.g_01214
OG0000453	Syai.g_02702	Praw.g_01213
OG0000454	Syai.g_02703	Praw.g_01212
OG0000455	Syai.g_02704	Praw.g_01211
OG0000456	Syai.g_02705	Praw.g_01210
OG0000457	Syai.g_02707	Praw.g_01209
OG0000458	Syai.g_02708	Praw.g_01208
OG0000459	Syai.g_02709	Praw.g_01207
OG0000460	Syai.g_00535	Praw.g_01200
OG0000461	Syai.g_00314	Praw.g_00891
OG0000462	Syai.g_00311	Praw.g_00889
OG0000463	Syai.g_00310	Praw.g_00888
OG0000464	Syai.g_00309	Praw.g_00887
OG0000465	Syai.g_00307	Praw.g_00886
OG0000466	Syai.g_00303	Praw.g_00883
OG0000467	Syai.g_00301	Praw.g_00882
OG0000468	Syai.g_00296	Praw.g_00880
OG0000469	Syai.g_00282	Praw.g_00872
OG0000470	Syai.g_00280	Praw.g_00870
OG0000471	Syai.g_00279	Praw.g_00869
OG0000472	Syai.g_00277	Praw.g_00868
OG0000473	Syai.g_00275	Praw.g_00866
OG0000474	Syai.g_00274	Praw.g_00865
OG0000475	Syai.g_00273	Praw.g_00864
OG0000476	Syai.g_00271	Praw.g_00863
OG0000477	Syai.g_00265	Praw.g_00859
OG0000478	Syai.g_00264	Praw.g_00858
OG0000479	Syai.g_00263	Praw.g_00857
OG0000480	Syai.g_00256	Praw.g_00852
OG0000481	Syai.g_00254	Praw.g_00850
OG0000482	Syai.g_00253	Praw.g_00849
OG0000483	Syai.g_00249	Praw.g_00846
OG0000484	Syai.g_00248	Praw.g_00845
OG0000485	Syai.g_00247	Praw.g_00844
OG0000486	Syai.g_00246	Praw.g_00843
OG0000487	Syai.g_00240	Praw.g_00839
OG0000488	Syai.g_00236	Praw.g_00836
OG0000489	Syai.g_00226	Praw.g_00831
OG0000490	Syai.g_00218	Praw.g_00826
OG0000491	Syai.g_00217	Praw.g_00825
OG0000492	Syai.g_00214	Praw.g_00823
OG0000493	Syai.g_00213	Praw.g_00822
OG0000494	Syai.g_00212	Praw.g_00821
OG0000495	Syai.g_00211	Praw.g_00820
OG0000496	Syai.g_00210	Praw.g_00819
OG0000497	Syai.g_00209	Praw.g_00818
OG0000498	Syai.g_00208	Praw.g_00817
OG0000499	Syai.g_00207	Praw.g_00816
OG0000500	Syai.g_00206	Praw.g_00815
OG0000501	Syai.g_00203	Praw.g_00813
OG0000502	Syai.g_00192	Praw.g_00810
OG0000503	Syai.g_00486	Praw.g_00796
OG0000504	Syai.g_00488	Praw.g_00795
OG0000505	Syai.g_00489	Praw.g_00794
OG0000506	Syai.g_00491	Praw.g_00792
OG0000507	Syai.g_00497	Praw.g_00790
OG0000508	Syai.g_00501	Praw.g_00787
OG0000509	Syai.g_00503	Praw.g_00785
OG0000510	Syai.g_00504	Praw.g_00784
OG0000511	Syai.g_00505	Praw.g_00783
OG0000512	Syai.g_00507	Praw.g_00781
OG0000513	Syai.g_00521	Praw.g_00774
OG0000514	Syai.g_00528	Praw.g_00716
OG0000515	Syai.g_00529	Praw.g_00715
OG0000516	Syai.g_02223	Praw.g_00714
OG0000517	Syai.g_02229	Praw.g_00712
OG0000518	Syai.g_02211	Praw.g_00701
OG0000519	Syai.g_02210	Praw.g_00700
OG0000520	Syai.g_02209	Praw.g_00699
OG0000521	Syai.g_00842	Praw.g_00694
OG0000522	Syai.g_00844	Praw.g_00692
OG0000523	Syai.g_00845	Praw.g_00691
OG0000524	Syai.g_00852	Praw.g_00686
OG0000525	Syai.g_00856	Praw.g_00683
OG0000526	Syai.g_00859	Praw.g_00682
OG0000527	Syai.g_00863	Praw.g_00674
OG0000528	Syai.g_00633	Praw.g_00669
OG0000529	Syai.g_00639	Praw.g_00666
OG0000530	Syai.g_00642	Praw.g_00664
OG0000531	Syai.g_00643	Praw.g_00663
OG0000532	Syai.g_00646	Praw.g_00661
OG0000533	Syai.g_00647	Praw.g_00660
OG0000534	Syai.g_00648	Praw.g_00659
OG0000535	Syai.g_00649	Praw.g_00658
OG0000536	Syai.g_00650	Praw.g_00657
OG0000537	Syai.g_00651	Praw.g_00656
OG0000538	Syai.g_00662	Praw.g_00648
OG0000539	Syai.g_00663	Praw.g_00647
OG0000540	Syai.g_00664	Praw.g_00646
OG0000541	Syai.g_00665	Praw.g_00645
OG0000542	Syai.g_00668	Praw.g_00643
OG0000543	Syai.g_00670	Praw.g_00641
OG0000544	Syai.g_00671	Praw.g_00640
OG0000545	Syai.g_00673	Praw.g_00638
OG0000546	Syai.g_00675	Praw.g_00635
OG0000547	Syai.g_00677	Praw.g_00633
OG0000548	Syai.g_00678	Praw.g_00632
OG0000549	Syai.g_00684	Praw.g_00630
OG0000550	Syai.g_00689	Praw.g_00625
OG0000551	Syai.g_00694	Praw.g_00621
OG0000552	Syai.g_00695	Praw.g_00620
OG0000553	Syai.g_00698	Praw.g_00619
OG0000554	Syai.g_00708	Praw.g_00614
OG0000555	Syai.g_00725	Praw.g_00606
OG0000556	Syai.g_00728	Praw.g_00604
OG0000557	Syai.g_00730	Praw.g_00603
OG0000558	Syai.g_00732	Praw.g_00601
OG0000559	Syai.g_00736	Praw.g_00597
OG0000560	Syai.g_00739	Praw.g_00594
OG0000561	Syai.g_00740	Praw.g_00593
OG0000562	Syai.g_00741	Praw.g_00592
OG0000563	Syai.g_00742	Praw.g_00591
OG0000564	Syai.g_00743	Praw.g_00590
OG0000565	Syai.g_00746	Praw.g_00587
OG0000566	Syai.g_00750	Praw.g_00585
OG0000567	Syai.g_00754	Praw.g_00581
OG0000568	Syai.g_00758	Praw.g_00580
OG0000569	Syai.g_00759	Praw.g_00579
OG0000570	Syai.g_00760	Praw.g_00578
OG0000571	Syai.g_00764	Praw.g_00576
OG0000572	Syai.g_00782	Praw.g_01933
OG0000573	Syai.g_00790	Praw.g_01938
OG0000574	Syai.g_00796	Praw.g_01939
OG0000575	Syai.g_00800	Praw.g_01943
OG0000576	Syai.g_00802	Praw.g_01945
OG0000577	Syai.g_00803	Praw.g_01946
OG0000578	Syai.g_00804	Praw.g_01947
OG0000579	Syai.g_00805	Praw.g_01948
OG0000580	Syai.g_00806	Praw.g_01949
OG0000581	Syai.g_00812	Praw.g_00141
OG0000582	Syai.g_01042	Praw.g_00144
OG0000583	Syai.g_01043	Praw.g_00145
OG0000584	Syai.g_01044	Praw.g_00146
OG0000585	Syai.g_01046	Praw.g_00148
OG0000586	Syai.g_01047	Praw.g_00149
OG0000587	Syai.g_01049	Praw.g_00150
