Orthogroup	Syap	Prbk
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbk.g_00895
OG0000228	Syap.g_00116, Syap.g_02041	Prbk.g_00365
OG0000229	Syap.g_02059	Prbk.g_00328
OG0000230	Syap.g_02061	Prbk.g_00326
OG0000231	Syap.g_02533	Prbk.g_00311
OG0000232	Syap.g_02510, Syap.g_02511	Prbk.g_00295
OG0000233	Syap.g_02133	Prbk.g_02092
OG0000234	Syap.g_02755	Prbk.g_02114
OG0000235	Syap.g_00732, Syap.g_02258	Prbk.g_02060
OG0000236	Syap.g_02238	Prbk.g_02076
OG0000237	Syap.g_00262, Syap.g_00263	Prbk.g_01047
OG0000238	Syap.g_00257, Syap.g_00258	Prbk.g_01051
OG0000239	Syap.g_02744	Prbk.g_01067
OG0000240	Syap.g_02742	Prbk.g_01068
OG0000241	Syap.g_00888	Prbk.g_01965
OG0000242	Syap.g_01455	Prbk.g_01078
OG0000243	Syap.g_01938	Prbk.g_02684
OG0000244	Syap.g_01146, Syap.g_01145	Prbk.g_01897
OG0000245	Syap.g_01148	Prbk.g_01894
OG0000246	Syap.g_00308	Prbk.g_01890
OG0000247	Syap.g_00288, Syap.g_00293	Prbk.g_01879
OG0000248	Syap.g_00290	Prbk.g_01876
OG0000249	Syap.g_01296, Syap.g_01295	Prbk.g_01874
OG0000250	Syap.g_01306	Prbk.g_01106
OG0000251	Syap.g_00442	Prbk.g_01130
OG0000252	Syap.g_01857	Prbk.g_01133
OG0000253	Syap.g_00443	Prbk.g_01139
OG0000254	Syap.g_01527, Syap.g_01528	Prbk.g_01158
OG0000256	Syap.g_01287	Prbk.g_02618
OG0000257	Syap.g_00886	Prbk.g_02624
OG0000258	Syap.g_00907	Prbk.g_02647
OG0000260	Syap.g_01970	Prbk.g_00717
OG0000261	Syap.g_01962, Syap.g_01961	Prbk.g_00714
OG0000262	Syap.g_01954	Prbk.g_00709
OG0000263	Syap.g_00432, Syap.g_00433	Prbk.g_00672
OG0000266	Syap.g_00519	Prbk.g_00608
OG0000267	Syap.g_02333, Syap.g_02332	Prbk.g_02371
OG0000268	Syap.g_00646	Prbk.g_02370
OG0000269	Syap.g_00188	Prbk.g_02463
OG0000270	Syap.g_00192	Prbk.g_02466
OG0000271	Syap.g_00200, Syap.g_00201	Prbk.g_02474
OG0000272	Syap.g_00202	Prbk.g_02475
OG0000273	Syap.g_02703	Prbk.g_02526
OG0000274	Syap.g_02702	Prbk.g_02527
OG0000275	Syap.g_01847	Prbk.g_02530
OG0000276	Syap.g_01838, Syap.g_01839	Prbk.g_02536
OG0000277	Syap.g_01837	Prbk.g_02537
OG0000278	Syap.g_01834	Prbk.g_02540
OG0000279	Syap.g_00829, Syap.g_00830	Prbk.g_02548
OG0000280	Syap.g_00365	Prbk.g_02554
OG0000281	Syap.g_01977	Prbk.g_02568
OG0000282	Syap.g_01252	Prbk.g_02398
OG0000283	Syap.g_01728	Prbk.g_02359
OG0000284	Syap.g_01736	Prbk.g_02353
OG0000285	Syap.g_01746, Syap.g_01744	Prbk.g_01698
OG0000286	Syap.g_02014, Syap.g_02013	Prbk.g_02325
OG0000288	Syap.g_02764, Syap.g_02763	Prbk.g_00583
