Orthogroup	Syap	Prbb
OG0000243	Syap.g_01938	Prbb.g_00546
OG0000244	Syap.g_01146, Syap.g_01145	Prbb.g_00550
OG0000245	Syap.g_01148	Prbb.g_00552
OG0000246	Syap.g_00308	Prbb.g_00556
OG0000247	Syap.g_00288, Syap.g_00293	Prbb.g_00566
OG0000248	Syap.g_00290	Prbb.g_00568
OG0000249	Syap.g_01296, Syap.g_01295	Prbb.g_00570
OG0000250	Syap.g_01306	Prbb.g_00575
OG0000251	Syap.g_00442	Prbb.g_00591
OG0000252	Syap.g_01857	Prbb.g_00593
OG0000253	Syap.g_00443	Prbb.g_00595
OG0000254	Syap.g_01527, Syap.g_01528	Prbb.g_00612
OG0000256	Syap.g_01287	Prbb.g_00628
OG0000257	Syap.g_00886	Prbb.g_00631
OG0000258	Syap.g_00907	Prbb.g_00644
OG0000260	Syap.g_01970	Prbb.g_00665
OG0000261	Syap.g_01962, Syap.g_01961	Prbb.g_00668
OG0000262	Syap.g_01954	Prbb.g_00673
OG0000263	Syap.g_00432, Syap.g_00433	Prbb.g_00686
OG0000266	Syap.g_00519	Prbb.g_00723
OG0000267	Syap.g_02333, Syap.g_02332	Prbb.g_00736
OG0000268	Syap.g_00646	Prbb.g_00737
OG0000269	Syap.g_00188	Prbb.g_00778
OG0000270	Syap.g_00192	Prbb.g_00781
OG0000271	Syap.g_00200, Syap.g_00201	Prbb.g_00789
OG0000272	Syap.g_00202	Prbb.g_00790
OG0000273	Syap.g_02703	Prbb.g_00814
OG0000274	Syap.g_02702	Prbb.g_00815
OG0000275	Syap.g_01847	Prbb.g_00817
OG0000276	Syap.g_01838, Syap.g_01839	Prbb.g_00823
OG0000277	Syap.g_01837	Prbb.g_00824
OG0000278	Syap.g_01834	Prbb.g_00828
OG0000279	Syap.g_00829, Syap.g_00830	Prbb.g_00835
OG0000280	Syap.g_00365	Prbb.g_01370
OG0000281	Syap.g_01977	Prbb.g_00841
OG0000282	Syap.g_01252	Prbb.g_00934
OG0000283	Syap.g_01728	Prbb.g_00965
OG0000284	Syap.g_01736	Prbb.g_00970
OG0000285	Syap.g_01746, Syap.g_01744	Prbb.g_00975
OG0000286	Syap.g_02014, Syap.g_02013	Prbb.g_00990
OG0000288	Syap.g_02764, Syap.g_02763	Prbb.g_01039
OG0000289	Syap.g_02784	Prbb.g_01051
OG0000290	Syap.g_01552	Prbb.g_01067
OG0000292	Syap.g_02314	Prbb.g_01238
OG0000293	Syap.g_00240	Prbb.g_01527
OG0000294	Syap.g_00239	Prbb.g_01526
OG0000295	Syap.g_00206	Prbb.g_01502
OG0000296	Syap.g_00204	Prbb.g_01500
OG0000299	Syap.g_02620	Prbb.g_01471
OG0000302	Syap.g_02444, Syap.g_02445	Prbb.g_01464
OG0000303	Syap.g_02435	Prbb.g_01459
OG0000304	Syap.g_02430	Prbb.g_01456
OG0000305	Syap.g_01557	Prbb.g_01789
OG0000306	Syap.g_01966	Prbb.g_00845
OG0000307	Syap.g_02517	Prbb.g_01648
OG0000308	Syap.g_02514, Syap.g_02515	Prbb.g_01649
OG0000309	Syap.g_02198, Syap.g_02446	Prbb.g_01653
OG0000310	Syap.g_02660, Syap.g_02661	Prbb.g_01671
OG0000311	Syap.g_02657	Prbb.g_01673
OG0000312	Syap.g_02114	Prbb.g_01676
OG0000313	Syap.g_02473	Prbb.g_01690
OG0000315	Syap.g_00017	Prbb.g_01721
OG0000316	Syap.g_00030	Prbb.g_01746
OG0000317	Syap.g_00618	Prbb.g_01821
OG0000318	Syap.g_00622, Syap.g_02786	Prbb.g_01824
OG0000319	Syap.g_01764, Syap.g_01771	Prbb.g_01835
OG0000320	Syap.g_01761, Syap.g_01769	Prbb.g_01837
OG0000321	Syap.g_01760, Syap.g_01768	Prbb.g_01838
OG0000322	Syap.g_01759, Syap.g_01767	Prbb.g_01839
OG0000323	Syap.g_01389	Prbb.g_01848
OG0000324	Syap.g_01503	Prbb.g_01875
OG0000325	Syap.g_02680	Prbb.g_01924
OG0000326	Syap.g_00544	Prbb.g_01930
OG0000327	Syap.g_01233, Syap.g_01913	Prbb.g_01959
OG0000328	Syap.g_01234, Syap.g_01912	Prbb.g_01960
OG0000329	Syap.g_00498	Prbb.g_01977
OG0000330	Syap.g_00497	Prbb.g_01978
OG0000331	Syap.g_00496	Prbb.g_01979
OG0000332	Syap.g_00481	Prbb.g_01993
OG0000333	Syap.g_00478	Prbb.g_01995
OG0000334	Syap.g_00468	Prbb.g_02004
OG0000335	Syap.g_00101, Syap.g_00463	Prbb.g_02009
OG0000336	Syap.g_00417, Syap.g_00607	Prbb.g_02013
OG0000337	Syap.g_01054	Prbb.g_02031
OG0000338	Syap.g_01059	Prbb.g_02032
OG0000339	Syap.g_01068	Prbb.g_02037
OG0000340	Syap.g_01077	Prbb.g_02046
OG0000341	Syap.g_01079	Prbb.g_02048
OG0000342	Syap.g_01080, Syap.g_02477	Prbb.g_02049
OG0000343	Syap.g_01086, Syap.g_02078	Prbb.g_02050
OG0000344	Syap.g_01091	Prbb.g_02053
OG0000345	Syap.g_01107, Syap.g_01470	Prbb.g_02058
OG0000346	Syap.g_01113	Prbb.g_02062
OG0000347	Syap.g_01131, Syap.g_02459	Prbb.g_02082
OG0000348	Syap.g_00632	Prbb.g_02104
OG0000349	Syap.g_00110, Syap.g_01813	Prbb.g_02122
OG0000351	Syap.g_02594	Prbb.g_02168
OG0000352	Syap.g_02596, Syap.g_02597	Prbb.g_02169
OG0000353	Syap.g_00054	Prbb.g_02188
OG0000355	Syap.g_00056	Prbb.g_00001
OG0000356	Syap.g_00057	Prbb.g_00002
OG0000357	Syap.g_00058	Prbb.g_00003
OG0000358	Syap.g_00063	Prbb.g_00008
OG0000359	Syap.g_00065	Prbb.g_00009
OG0000360	Syap.g_00067	Prbb.g_00010
OG0000361	Syap.g_00068	Prbb.g_00011
OG0000362	Syap.g_00070	Prbb.g_00013
OG0000363	Syap.g_00072	Prbb.g_00015
OG0000364	Syap.g_00620	Prbb.g_00016
OG0000365	Syap.g_00081	Prbb.g_00021
OG0000366	Syap.g_00082	Prbb.g_00022
OG0000367	Syap.g_00083	Prbb.g_00023
OG0000368	Syap.g_00085	Prbb.g_00025
OG0000369	Syap.g_00086	Prbb.g_00026
OG0000370	Syap.g_00087	Prbb.g_00027
OG0000372	Syap.g_01805	Prbb.g_00035
OG0000373	Syap.g_01806	Prbb.g_00036
OG0000374	Syap.g_01807	Prbb.g_00037
OG0000375	Syap.g_01808	Prbb.g_00055
OG0000376	Syap.g_01811	Prbb.g_00057
OG0000377	Syap.g_00128	Prbb.g_00060
OG0000378	Syap.g_01326	Prbb.g_00062
OG0000380	Syap.g_01687	Prbb.g_00121
OG0000381	Syap.g_01690	Prbb.g_00125
OG0000382	Syap.g_02548	Prbb.g_00136
OG0000383	Syap.g_02359	Prbb.g_00138
OG0000384	Syap.g_02360	Prbb.g_00139
OG0000385	Syap.g_02361	Prbb.g_00140
OG0000386	Syap.g_02362	Prbb.g_00141
OG0000387	Syap.g_01864	Prbb.g_00154
OG0000391	Syap.g_02234	Prbb.g_00174
OG0000392	Syap.g_02225	Prbb.g_00177
OG0000393	Syap.g_02222	Prbb.g_00180
OG0000394	Syap.g_02221	Prbb.g_00181
OG0000395	Syap.g_02220	Prbb.g_00182
OG0000396	Syap.g_02217	Prbb.g_00185
OG0000397	Syap.g_02215	Prbb.g_00187
OG0000398	Syap.g_02211	Prbb.g_00190
OG0000399	Syap.g_02210	Prbb.g_00191
OG0000400	Syap.g_02209	Prbb.g_00192
OG0000401	Syap.g_02208	Prbb.g_00193
OG0000402	Syap.g_02206	Prbb.g_01101
OG0000403	Syap.g_02205	Prbb.g_00194
OG0000404	Syap.g_02204, Syap.g_02618	Prbb.g_00195
OG0000405	Syap.g_02191	Prbb.g_00200
OG0000406	Syap.g_02186	Prbb.g_00204
OG0000407	Syap.g_02185	Prbb.g_00205
OG0000408	Syap.g_02181, Syap.g_02182	Prbb.g_00207
OG0000409	Syap.g_02179	Prbb.g_00209
OG0000410	Syap.g_02178	Prbb.g_00210
OG0000411	Syap.g_02177	Prbb.g_00211
OG0000412	Syap.g_02176	Prbb.g_00212
OG0000413	Syap.g_02174	Prbb.g_00213
OG0000414	Syap.g_02173	Prbb.g_00214
OG0000415	Syap.g_02172	Prbb.g_00215
OG0000416	Syap.g_02171	Prbb.g_00216
OG0000417	Syap.g_02169	Prbb.g_00217
OG0000418	Syap.g_01204	Prbb.g_00222
OG0000419	Syap.g_01201	Prbb.g_00224
OG0000420	Syap.g_01199	Prbb.g_00225
OG0000421	Syap.g_01195	Prbb.g_00229
OG0000422	Syap.g_01194	Prbb.g_00230
OG0000423	Syap.g_01193	Prbb.g_00231
OG0000424	Syap.g_01192	Prbb.g_00232
OG0000425	Syap.g_01191	Prbb.g_00233
OG0000426	Syap.g_01190	Prbb.g_00234
OG0000427	Syap.g_01189	Prbb.g_00235
OG0000428	Syap.g_01186	Prbb.g_00237
OG0000429	Syap.g_01184	Prbb.g_00238
OG0000430	Syap.g_01182	Prbb.g_00239
OG0000431	Syap.g_01179	Prbb.g_00241
OG0000432	Syap.g_02277	Prbb.g_00245
OG0000433	Syap.g_02272	Prbb.g_00246
OG0000434	Syap.g_02271	Prbb.g_00247
OG0000435	Syap.g_02268	Prbb.g_00248
OG0000436	Syap.g_01607	Prbb.g_00253
OG0000437	Syap.g_01608	Prbb.g_00254
OG0000438	Syap.g_01612	Prbb.g_00255
OG0000439	Syap.g_01614	Prbb.g_00257
OG0000440	Syap.g_01615	Prbb.g_00258
OG0000441	Syap.g_01619	Prbb.g_00260
OG0000442	Syap.g_01620	Prbb.g_00261
OG0000443	Syap.g_01622	Prbb.g_00262
OG0000444	Syap.g_01424	Prbb.g_00267
OG0000445	Syap.g_01421	Prbb.g_00268
OG0000446	Syap.g_01419	Prbb.g_00269
OG0000447	Syap.g_01410	Prbb.g_00270
OG0000448	Syap.g_01407	Prbb.g_00271
OG0000449	Syap.g_01406	Prbb.g_00272
OG0000450	Syap.g_01909	Prbb.g_00273
OG0000451	Syap.g_01908	Prbb.g_00274
OG0000452	Syap.g_01904	Prbb.g_00277
OG0000453	Syap.g_01903	Prbb.g_00278
OG0000454	Syap.g_01902	Prbb.g_00279
OG0000455	Syap.g_01901	Prbb.g_00280
OG0000456	Syap.g_01900	Prbb.g_00281
OG0000457	Syap.g_01896	Prbb.g_00282
OG0000458	Syap.g_01895	Prbb.g_00283
OG0000459	Syap.g_01894	Prbb.g_00284
OG0000460	Syap.g_01159	Prbb.g_00292
OG0000461	Syap.g_01575	Prbb.g_00300
OG0000462	Syap.g_01578	Prbb.g_00302
OG0000463	Syap.g_01579	Prbb.g_00303
OG0000464	Syap.g_01580	Prbb.g_00304
OG0000465	Syap.g_01582	Prbb.g_00305
OG0000466	Syap.g_01587	Prbb.g_00306
OG0000467	Syap.g_01588	Prbb.g_00307
OG0000468	Syap.g_01593	Prbb.g_00309
OG0000469	Syap.g_02352	Prbb.g_00316
OG0000470	Syap.g_02349	Prbb.g_00318
OG0000471	Syap.g_02348	Prbb.g_00319
OG0000472	Syap.g_02347	Prbb.g_00320
OG0000473	Syap.g_02343	Prbb.g_00322
OG0000474	Syap.g_02342	Prbb.g_00323
OG0000475	Syap.g_02341	Prbb.g_00324
OG0000476	Syap.g_02339	Prbb.g_00326
OG0000477	Syap.g_01367	Prbb.g_00328
OG0000478	Syap.g_01366	Prbb.g_00329
OG0000479	Syap.g_01364	Prbb.g_00330
OG0000480	Syap.g_01357	Prbb.g_00334
OG0000482	Syap.g_01355	Prbb.g_00337
OG0000483	Syap.g_01344	Prbb.g_00340
OG0000484	Syap.g_01350	Prbb.g_00341
OG0000485	Syap.g_01349	Prbb.g_00342
OG0000487	Syap.g_01635	Prbb.g_00346
OG0000488	Syap.g_01639	Prbb.g_00349
