Orthogroup	Prbb	Syaa
OG0000200	Prbb.g_00240	Syaa.g_02496
OG0000201	Prbb.g_00249	Syaa.g_02521
OG0000202	Prbb.g_00250	Syaa.g_02522
OG0000203	Prbb.g_00251	Syaa.g_02523
OG0000204	Prbb.g_00252	Syaa.g_02524
OG0000205	Prbb.g_00259	Syaa.g_02531
OG0000206	Prbb.g_00263	Syaa.g_02538
OG0000207	Prbb.g_00265	Syaa.g_02540
OG0000208	Prbb.g_00266	Syaa.g_02541
OG0000209	Prbb.g_00275	Syaa.g_02556
OG0000210	Prbb.g_00276	Syaa.g_02557
OG0000211	Prbb.g_00290	Syaa.g_02113
OG0000212	Prbb.g_00298	Syaa.g_02102
OG0000213	Prbb.g_00313	Syaa.g_00295
OG0000214	Prbb.g_00321	Syaa.g_00279
OG0000215	Prbb.g_00344	Syaa.g_00248
OG0000216	Prbb.g_00345	Syaa.g_00244
OG0000217	Prbb.g_00348	Syaa.g_00240
OG0000218	Prbb.g_00350	Syaa.g_00238
OG0000219	Prbb.g_00351	Syaa.g_00237
OG0000220	Prbb.g_00352	Syaa.g_00236
OG0000221	Prbb.g_00353	Syaa.g_00229
OG0000222	Prbb.g_00361	Syaa.g_00215
OG0000223	Prbb.g_00374	Syaa.g_00192
OG0000224	Prbb.g_00376	Syaa.g_00183
OG0000225	Prbb.g_00405	Syaa.g_02166
OG0000226	Prbb.g_00409	Syaa.g_02162
OG0000227	Prbb.g_00411	Syaa.g_02160
OG0000228	Prbb.g_00415	Syaa.g_02150
OG0000229	Prbb.g_00441	Syaa.g_00703
OG0000230	Prbb.g_00443	Syaa.g_00705
OG0000231	Prbb.g_00454	Syaa.g_00717
OG0000232	Prbb.g_00462	Syaa.g_01858
OG0000233	Prbb.g_00470	Syaa.g_01853
OG0000234	Prbb.g_00479	Syaa.g_01841
OG0000235	Prbb.g_00483	Syaa.g_02052
OG0000236	Prbb.g_00497	Syaa.g_02037
OG0000237	Prbb.g_00510	Syaa.g_02020
OG0000238	Prbb.g_00516	Syaa.g_02015
OG0000239	Prbb.g_00528	Syaa.g_01996
OG0000240	Prbb.g_00529	Syaa.g_01995
