Orthogroup	Prbb	Praq
OG0000325	Prbb.g_01924	Praq.g_00950
OG0000326	Prbb.g_01930	Praq.g_00944
OG0000327	Prbb.g_01959	Praq.g_00920
OG0000328	Prbb.g_01960	Praq.g_00919
OG0000329	Prbb.g_01977	Praq.g_00902
OG0000330	Prbb.g_01978	Praq.g_00901
OG0000331	Prbb.g_01979	Praq.g_00900
OG0000332	Prbb.g_01993	Praq.g_00886
OG0000333	Prbb.g_01995	Praq.g_00884
OG0000334	Prbb.g_02004	Praq.g_00876
OG0000335	Prbb.g_02009	Praq.g_00872
OG0000336	Prbb.g_02013	Praq.g_00868
OG0000337	Prbb.g_02031	Praq.g_00735
OG0000338	Prbb.g_02032	Praq.g_00736
OG0000339	Prbb.g_02037	Praq.g_00740
OG0000340	Prbb.g_02046	Praq.g_00748
OG0000341	Prbb.g_02048	Praq.g_00750
OG0000342	Prbb.g_02049	Praq.g_00751
OG0000343	Prbb.g_02050	Praq.g_00752
OG0000344	Prbb.g_02053	Praq.g_00755
OG0000345	Prbb.g_02058	Praq.g_00760
OG0000346	Prbb.g_02062	Praq.g_00764
OG0000347	Prbb.g_02082	Praq.g_00683
OG0000348	Prbb.g_02104	Praq.g_00692
OG0000349	Prbb.g_02122	Praq.g_00709
OG0000350	Prbb.g_02143	Praq.g_00392
OG0000351	Prbb.g_02168	Praq.g_00409
OG0000352	Prbb.g_02169	Praq.g_00410
OG0000353	Prbb.g_02188	Praq.g_00425
OG0000355	Prbb.g_00001	Praq.g_00427
OG0000356	Prbb.g_00002	Praq.g_00428
OG0000357	Prbb.g_00003	Praq.g_00429
OG0000358	Prbb.g_00008	Praq.g_00433
OG0000359	Prbb.g_00009	Praq.g_00434
OG0000360	Prbb.g_00010	Praq.g_00435
OG0000361	Prbb.g_00011	Praq.g_00436
OG0000362	Prbb.g_00013	Praq.g_00438
OG0000363	Prbb.g_00015	Praq.g_01217
OG0000364	Prbb.g_00016	Praq.g_01218
OG0000365	Prbb.g_00021	Praq.g_01223
OG0000366	Prbb.g_00022	Praq.g_01224
OG0000367	Prbb.g_00023	Praq.g_01225
OG0000368	Prbb.g_00025	Praq.g_01227
OG0000369	Prbb.g_00026	Praq.g_01228
OG0000370	Prbb.g_00027	Praq.g_01229
OG0000371	Prbb.g_00033	Praq.g_01235
OG0000372	Prbb.g_00035	Praq.g_01239
OG0000373	Prbb.g_00036	Praq.g_01240
OG0000374	Prbb.g_00037	Praq.g_01241
OG0000375	Prbb.g_00055	Praq.g_01255
OG0000376	Prbb.g_00057	Praq.g_01257
OG0000377	Prbb.g_00060	Praq.g_01261
OG0000378	Prbb.g_00062	Praq.g_01263
OG0000379	Prbb.g_00065	Praq.g_01266
OG0000380	Prbb.g_00121	Praq.g_01937
OG0000381	Prbb.g_00125	Praq.g_01933
OG0000382	Prbb.g_00136	Praq.g_01922
OG0000383	Prbb.g_00138	Praq.g_01920
OG0000384	Prbb.g_00139	Praq.g_01919
OG0000385	Prbb.g_00140	Praq.g_01918
OG0000386	Prbb.g_00141	Praq.g_01917
OG0000387	Prbb.g_00154	Praq.g_01904
OG0000388	Prbb.g_00158	Praq.g_01901
OG0000389	Prbb.g_00161	Praq.g_01897
OG0000390	Prbb.g_00170	Praq.g_01890
OG0000391	Prbb.g_00174	Praq.g_01887
OG0000392	Prbb.g_00177	Praq.g_01883
OG0000393	Prbb.g_00180	Praq.g_01881
OG0000394	Prbb.g_00181	Praq.g_01880
OG0000395	Prbb.g_00182	Praq.g_01879
OG0000396	Prbb.g_00185	Praq.g_01876
OG0000397	Prbb.g_00187	Praq.g_01874
OG0000398	Prbb.g_00190	Praq.g_01872
OG0000399	Prbb.g_00191	Praq.g_01871
OG0000400	Prbb.g_00192	Praq.g_01870
OG0000401	Prbb.g_00193	Praq.g_01869
OG0000402	Prbb.g_01101	Praq.g_01867
OG0000403	Prbb.g_00194	Praq.g_01866
OG0000404	Prbb.g_00195	Praq.g_01865
OG0000405	Prbb.g_00200	Praq.g_01861
OG0000406	Prbb.g_00204	Praq.g_01855
OG0000407	Prbb.g_00205	Praq.g_01854
OG0000408	Prbb.g_00207	Praq.g_01852
OG0000409	Prbb.g_00209	Praq.g_01850
OG0000410	Prbb.g_00210	Praq.g_01849
OG0000411	Prbb.g_00211	Praq.g_01848
OG0000412	Prbb.g_00212	Praq.g_01847
OG0000413	Prbb.g_00213	Praq.g_01846
OG0000414	Prbb.g_00214	Praq.g_00554, Praq.g_01845
OG0000415	Prbb.g_00215	Praq.g_01844
OG0000416	Prbb.g_00216	Praq.g_01843
OG0000417	Prbb.g_00217	Praq.g_01842
OG0000418	Prbb.g_00222	Praq.g_01837
OG0000419	Prbb.g_00224	Praq.g_01835
OG0000420	Prbb.g_00225	Praq.g_01834
OG0000421	Prbb.g_00229	Praq.g_01829
OG0000422	Prbb.g_00230	Praq.g_01828
OG0000423	Prbb.g_00231	Praq.g_01827
OG0000424	Prbb.g_00232	Praq.g_01826
OG0000425	Prbb.g_00233	Praq.g_01825
OG0000426	Prbb.g_00234	Praq.g_01824
OG0000427	Prbb.g_00235	Praq.g_01823
OG0000428	Prbb.g_00237	Praq.g_01821
OG0000429	Prbb.g_00238	Praq.g_01820
OG0000430	Prbb.g_00239	Praq.g_01819
OG0000431	Prbb.g_00241	Praq.g_01817
OG0000432	Prbb.g_00245	Praq.g_01814
OG0000433	Prbb.g_00246	Praq.g_01813
OG0000434	Prbb.g_00247	Praq.g_01812
OG0000435	Prbb.g_00248	Praq.g_01811
