Orthogroup	Prau	Prad
OG0000213	Prau.g_00259	Prad.g_01734
OG0000214	Prau.g_00269	Prad.g_01724
OG0000215	Prau.g_00294	Prad.g_01699
OG0000216	Prau.g_00296	Prad.g_01697
OG0000217	Prau.g_00299	Prad.g_01694
OG0000218	Prau.g_00301	Prad.g_01692
OG0000219	Prau.g_00302	Prad.g_01691
OG0000220	Prau.g_00303	Prad.g_01690
OG0000221	Prau.g_00304	Prad.g_01689
OG0000222	Prau.g_00312	Prad.g_01681
OG0000223	Prau.g_00325	Prad.g_01668
OG0000224	Prau.g_00327	Prad.g_01666
OG0000225	Prau.g_00348	Prad.g_01645
OG0000226	Prau.g_00352	Prad.g_00761
OG0000227	Prau.g_00354	Prad.g_00759
OG0000228	Prau.g_00357	Prad.g_00756
OG0000229	Prau.g_00477	Prad.g_00666
OG0000230	Prau.g_00479	Prad.g_00069
OG0000231	Prau.g_00490	Prad.g_00058
OG0000232	Prau.g_00499	Prad.g_00049
OG0000233	Prau.g_00505	Prad.g_00043
OG0000234	Prau.g_00517	Prad.g_00031
OG0000235	Prau.g_00520	Prad.g_00028
OG0000236	Prau.g_00534	Prad.g_00014
OG0000237	Prau.g_00547	Prad.g_00123
OG0000238	Prau.g_00553	Prad.g_00117
OG0000239	Prau.g_00565	Prad.g_00104
OG0000240	Prau.g_00566	Prad.g_00103
OG0000241	Prau.g_00570	Prad.g_00099
OG0000242	Prau.g_00572	Prad.g_00097
OG0000243	Prau.g_00583	Prad.g_01333
OG0000244	Prau.g_00586	Prad.g_01336
OG0000245	Prau.g_00588	Prad.g_01338
OG0000246	Prau.g_00592	Prad.g_01342
OG0000247	Prau.g_00602	Prad.g_01352
OG0000248	Prau.g_00604	Prad.g_01354
OG0000249	Prau.g_00606	Prad.g_01356
OG0000250	Prau.g_00611	Prad.g_01361
OG0000251	Prau.g_00629	Prad.g_01380
OG0000252	Prau.g_00632	Prad.g_01383
OG0000253	Prau.g_00633	Prad.g_01384
OG0000254	Prau.g_00649	Prad.g_01400
OG0000255	Prau.g_00655	Prad.g_01406
OG0000256	Prau.g_00667	Prad.g_01416
OG0000257	Prau.g_00670	Prad.g_01419
OG0000258	Prau.g_00683	Prad.g_01432
OG0000259	Prau.g_00700	Prad.g_01234
OG0000260	Prau.g_00703	Prad.g_01237
OG0000261	Prau.g_00705	Prad.g_01239
OG0000262	Prau.g_00709	Prad.g_01243
OG0000263	Prau.g_00721	Prad.g_01255
OG0000264	Prau.g_00731	Prad.g_01265
OG0000265	Prau.g_00755	Prad.g_01049
OG0000266	Prau.g_00765	Prad.g_01059
OG0000267	Prau.g_00776	Prad.g_01070
OG0000268	Prau.g_00777	Prad.g_01071
OG0000269	Prau.g_00849	Prad.g_01141
OG0000270	Prau.g_00852	Prad.g_01144
OG0000271	Prau.g_00860	Prad.g_01152
OG0000272	Prau.g_00861	Prad.g_01153
OG0000273	Prau.g_00884	Prad.g_01176
OG0000274	Prau.g_00885	Prad.g_01177
OG0000275	Prau.g_00887	Prad.g_01180
OG0000276	Prau.g_00892	Prad.g_01185
OG0000277	Prau.g_00893	Prad.g_00308
OG0000278	Prau.g_00896	Prad.g_00305
OG0000279	Prau.g_00904	Prad.g_00298
OG0000280	Prau.g_00905	Prad.g_00297
OG0000281	Prau.g_00910	Prad.g_00292
OG0000282	Prau.g_00958	Prad.g_00243
OG0000283	Prau.g_00992	Prad.g_00209
OG0000284	Prau.g_00997	Prad.g_00204
OG0000285	Prau.g_01002	Prad.g_00199
OG0000286	Prau.g_01014	Prad.g_00187
OG0000287	Prau.g_01031	Prad.g_00170
OG0000288	Prau.g_01062	Prad.g_00140
OG0000289	Prau.g_01073	Prad.g_01035
OG0000290	Prau.g_01086	Prad.g_01021
OG0000291	Prau.g_01088	Prad.g_01019
OG0000292	Prau.g_01136	Prad.g_00972
OG0000293	Prau.g_01198	Prad.g_01505
OG0000294	Prau.g_01199	Prad.g_01504
OG0000295	Prau.g_01218	Prad.g_01484
OG0000296	Prau.g_01220	Prad.g_01482
OG0000297	Prau.g_01228	Prad.g_01474
OG0000298	Prau.g_01229	Prad.g_01473
OG0000299	Prau.g_01246	Prad.g_01455
OG0000300	Prau.g_01249	Prad.g_01452
OG0000301	Prau.g_01250	Prad.g_01451
OG0000302	Prau.g_01252	Prad.g_01449
OG0000303	Prau.g_01259	Prad.g_01442
OG0000304	Prau.g_01263	Prad.g_01438
OG0000305	Prau.g_01401	Prad.g_00602
OG0000306	Prau.g_01404	Prad.g_00599
OG0000307	Prau.g_01418	Prad.g_00585
OG0000308	Prau.g_01419	Prad.g_00584
OG0000309	Prau.g_01423	Prad.g_00580
OG0000310	Prau.g_01513	Prad.g_00530
OG0000311	Prau.g_01515	Prad.g_00528
OG0000312	Prau.g_01518	Prad.g_00525
OG0000313	Prau.g_01535	Prad.g_00511
OG0000314	Prau.g_01558	Prad.g_00487
OG0000315	Prau.g_01568	Prad.g_00477
OG0000316	Prau.g_01588	Prad.g_00457
OG0000317	Prau.g_01730	Prad.g_00943
OG0000318	Prau.g_01733	Prad.g_00940
OG0000319	Prau.g_01746	Prad.g_00927
OG0000320	Prau.g_01748	Prad.g_00925
OG0000321	Prau.g_01749	Prad.g_00924
OG0000322	Prau.g_01750	Prad.g_00923
OG0000323	Prau.g_01759	Prad.g_00914
OG0000324	Prau.g_01785	Prad.g_00887
OG0000325	Prau.g_01795	Prad.g_00878
OG0000326	Prau.g_01801	Prad.g_00872
OG0000327	Prau.g_01828	Prad.g_00848
OG0000328	Prau.g_01829	Prad.g_00847
OG0000329	Prau.g_01846	Prad.g_00830
OG0000330	Prau.g_01847	Prad.g_00829
OG0000331	Prau.g_01848	Prad.g_00828
OG0000332	Prau.g_01862	Prad.g_00814
OG0000333	Prau.g_01864	Prad.g_00812
OG0000334	Prau.g_01872	Prad.g_00804
OG0000335	Prau.g_01877	Prad.g_00799
OG0000336	Prau.g_01881	Prad.g_00795
OG0000337	Prau.g_01897	Prad.g_00779
OG0000338	Prau.g_01898	Prad.g_00778
OG0000339	Prau.g_01902	Prad.g_00774
OG0000340	Prau.g_01910	Prad.g_00766
OG0000340	Prau.g_01910	Prad.g_01294
OG0000341	Prau.g_01912	Prad.g_00764
OG0000342	Prau.g_01913	Prad.g_00763
OG0000343	Prau.g_01914	Prad.g_00762
OG0000344	Prau.g_01917	Prad.g_01639
OG0000345	Prau.g_01922	Prad.g_01634
OG0000346	Prau.g_01926	Prad.g_01630
OG0000347	Prau.g_01942	Prad.g_01615
OG0000348	Prau.g_01952	Prad.g_01606
OG0000349	Prau.g_01969	Prad.g_01589
OG0000350	Prau.g_01987	Prad.g_01570
OG0000351	Prau.g_02004	Prad.g_01553
OG0000352	Prau.g_02005	Prad.g_01552
OG0000353	Prau.g_02021	Prad.g_01537
OG0000355	Prau.g_00001	Prad.g_01535
OG0000356	Prau.g_00002	Prad.g_01534
OG0000357	Prau.g_00003	Prad.g_01533
OG0000358	Prau.g_00007	Prad.g_01529
OG0000359	Prau.g_00008	Prad.g_01528
OG0000360	Prau.g_00009	Prad.g_01527
OG0000361	Prau.g_00010	Prad.g_01976
OG0000362	Prau.g_00012	Prad.g_01974
OG0000363	Prau.g_00014	Prad.g_01972
OG0000364	Prau.g_00015	Prad.g_01971
OG0000365	Prau.g_00020	Prad.g_01966
OG0000366	Prau.g_00021	Prad.g_01965
OG0000367	Prau.g_00022	Prad.g_01964
OG0000368	Prau.g_00024	Prad.g_01962
OG0000369	Prau.g_00025	Prad.g_01961
OG0000370	Prau.g_00026	Prad.g_01960
OG0000371	Prau.g_00031	Prad.g_01954
OG0000372	Prau.g_00034	Prad.g_01951
OG0000373	Prau.g_00035	Prad.g_01950
OG0000374	Prau.g_00036	Prad.g_01949
OG0000375	Prau.g_00047	Prad.g_01947
OG0000376	Prau.g_00049	Prad.g_01945
OG0000377	Prau.g_00053	Prad.g_01941
OG0000378	Prau.g_00055	Prad.g_01939
OG0000379	Prau.g_00058	Prad.g_01936
OG0000380	Prau.g_00068	Prad.g_01927
OG0000381	Prau.g_00072	Prad.g_01923
OG0000382	Prau.g_00082	Prad.g_01912
OG0000383	Prau.g_00084	Prad.g_01910
OG0000384	Prau.g_00085	Prad.g_01909
OG0000385	Prau.g_00086	Prad.g_01908
OG0000386	Prau.g_00087	Prad.g_01907
OG0000387	Prau.g_00100	Prad.g_01894
OG0000388	Prau.g_00103	Prad.g_01891
OG0000389	Prau.g_00107	Prad.g_01887
OG0000390	Prau.g_00114	Prad.g_01880
OG0000391	Prau.g_00117	Prad.g_01877
OG0000392	Prau.g_00121	Prad.g_01873
OG0000393	Prau.g_00123	Prad.g_01871
OG0000394	Prau.g_00124	Prad.g_01870
OG0000395	Prau.g_00125	Prad.g_01869
OG0000396	Prau.g_00128	Prad.g_01866
OG0000397	Prau.g_00130	Prad.g_01864
