Orthogroup	Prbn	Syaf
OG0000213	Prbn.g_00024	Syaf.g_00210
OG0000214	Prbn.g_00034	Syaf.g_00226
OG0000215	Prbn.g_00061	Syaf.g_00258
OG0000216	Prbn.g_00062	Syaf.g_00262
OG0000217	Prbn.g_00065	Syaf.g_00266
OG0000218	Prbn.g_00067	Syaf.g_00268
OG0000219	Prbn.g_00068	Syaf.g_00269
OG0000220	Prbn.g_00069	Syaf.g_00270
OG0000221	Prbn.g_00070	Syaf.g_02597, Syaf.g_00273
OG0000222	Prbn.g_00077	Syaf.g_00287
OG0000223	Prbn.g_00089	Syaf.g_00317
OG0000224	Prbn.g_00091	Syaf.g_00324
OG0000225	Prbn.g_00117	Syaf.g_00007
OG0000226	Prbn.g_00121	Syaf.g_00003
OG0000227	Prbn.g_00123	Syaf.g_00001
OG0000228	Prbn.g_00697	Syaf.g_02808
OG0000229	Prbn.g_00677	Syaf.g_01214
OG0000230	Prbn.g_00675	Syaf.g_01216
OG0000231	Prbn.g_00664	Syaf.g_01236
OG0000232	Prbn.g_00653	Syaf.g_02536
OG0000233	Prbn.g_00647	Syaf.g_02528
OG0000234	Prbn.g_00638	Syaf.g_02497
OG0000235	Prbn.g_00635	Syaf.g_02722
OG0000236	Prbn.g_00621	Syaf.g_02707
OG0000237	Prbn.g_00608	Syaf.g_02690
OG0000238	Prbn.g_00602	Syaf.g_02685
OG0000239	Prbn.g_00591	Syaf.g_02669
OG0000240	Prbn.g_00590	Syaf.g_02668
OG0000241	Prbn.g_00586	Syaf.g_02322
OG0000242	Prbn.g_00584	Syaf.g_02656
OG0000243	Prbn.g_00573	Syaf.g_02634
OG0000244	Prbn.g_00570	Syaf.g_02627
OG0000245	Prbn.g_00568	Syaf.g_02625
OG0000246	Prbn.g_00564	Syaf.g_02621
OG0000247	Prbn.g_00554	Syaf.g_02610
OG0000248	Prbn.g_00551	Syaf.g_02607
OG0000249	Prbn.g_00549	Syaf.g_02605
OG0000250	Prbn.g_00544	Syaf.g_02593
OG0000251	Prbn.g_00524	Syaf.g_02568
OG0000252	Prbn.g_00521	Syaf.g_02565
OG0000253	Prbn.g_00520	Syaf.g_02564
OG0000254	Prbn.g_00503	Syaf.g_02371
OG0000255	Prbn.g_00497	Syaf.g_02352
OG0000256	Prbn.g_00487	Syaf.g_02329
OG0000257	Prbn.g_00421	Syaf.g_02323
OG0000258	Prbn.g_00435	Syaf.g_02301
OG0000259	Prbn.g_00835	Syaf.g_02137
OG0000260	Prbn.g_00838	Syaf.g_02134
OG0000261	Prbn.g_00841	Syaf.g_02131
OG0000262	Prbn.g_00845	Syaf.g_02126
OG0000263	Prbn.g_01583	Syaf.g_01585
OG0000264	Prbn.g_01572	Syaf.g_01473
OG0000265	Prbn.g_01554	Syaf.g_01196
OG0000266	Prbn.g_00864	Syaf.g_01967
OG0000267	Prbn.g_01350	Syaf.g_01787
OG0000268	Prbn.g_01351	Syaf.g_00307, Syaf.g_01788
OG0000269	Prbn.g_01551	Syaf.g_02054
OG0000270	Prbn.g_01548	Syaf.g_02051
OG0000271	Prbn.g_01540	Syaf.g_02043
OG0000272	Prbn.g_01539	Syaf.g_02042
OG0000273	Prbn.g_01515	Syaf.g_01392
OG0000274	Prbn.g_01514	Syaf.g_01391
OG0000275	Prbn.g_01511	Syaf.g_01386
OG0000276	Prbn.g_01505	Syaf.g_01379
OG0000277	Prbn.g_01504	Syaf.g_01378
OG0000278	Prbn.g_01501	Syaf.g_01375
OG0000279	Prbn.g_01494	Syaf.g_01367
OG0000280	Prbn.g_01493	Syaf.g_01337
OG0000281	Prbn.g_01486	Syaf.g_01636
OG0000282	Prbn.g_01619	Syaf.g_02101
OG0000283	Prbn.g_01442	Syaf.g_01804
OG0000284	Prbn.g_01437	Syaf.g_01810
OG0000285	Prbn.g_01432	Syaf.g_01842
OG0000286	Prbn.g_01419	Syaf.g_01860
OG0000287	Prbn.g_01123	Syaf.g_01896
OG0000288	Prbn.g_01380	Syaf.g_01929
OG0000289	Prbn.g_01364	Syaf.g_01943
OG0000290	Prbn.g_01468	Syaf.g_01439
