Orthogroup	Praa	Prbj
OG0000178	Praa.g_00006	Prbj.g_02079
OG0000179	Praa.g_00016	Prbj.g_01188
OG0000180	Praa.g_00017	Prbj.g_01189
OG0000181	Praa.g_00018	Prbj.g_01190
OG0000182	Praa.g_00019	Prbj.g_01191
OG0000183	Praa.g_00023	Prbj.g_01195
OG0000184	Praa.g_00046	Prbj.g_01943
OG0000185	Praa.g_00049	Prbj.g_01921
OG0000186	Praa.g_00064	Prbj.g_00558
OG0000187	Praa.g_00065	Prbj.g_00560
OG0000188	Praa.g_00082	Prbj.g_00581
OG0000189	Praa.g_00096	Prbj.g_00607
OG0000190	Praa.g_00097	Prbj.g_00609
OG0000191	Praa.g_00117	Prbj.g_01557
OG0000192	Praa.g_00121	Prbj.g_01566
OG0000193	Praa.g_00146	Prbj.g_00542
OG0000194	Praa.g_00149	Prbj.g_00539
OG0000195	Praa.g_00151	Prbj.g_00537
OG0000196	Praa.g_00161	Prbj.g_00526
OG0000197	Praa.g_00162	Prbj.g_00525
OG0000198	Praa.g_00163	Prbj.g_00524
OG0000199	Praa.g_00170	Prbj.g_00517
OG0000201	Praa.g_00192	Prbj.g_01157
OG0000202	Praa.g_00193	Prbj.g_01158
OG0000203	Praa.g_00194	Prbj.g_01159
OG0000204	Praa.g_00195	Prbj.g_01160
OG0000205	Praa.g_00202	Prbj.g_01167
OG0000206	Praa.g_00207	Prbj.g_00288
OG0000207	Praa.g_00209	Prbj.g_00234
OG0000208	Praa.g_00210	Prbj.g_00235
OG0000209	Praa.g_00219	Prbj.g_00262
OG0000210	Praa.g_00220	Prbj.g_00263
OG0000211	Praa.g_00233	Prbj.g_00177
OG0000212	Praa.g_00240	Prbj.g_02615
OG0000213	Praa.g_00257	Prbj.g_01362
OG0000214	Praa.g_00267	Prbj.g_01389
OG0000215	Praa.g_00292	Prbj.g_01419
OG0000216	Praa.g_00294	Prbj.g_01422
OG0000217	Praa.g_00297	Prbj.g_01426
OG0000218	Praa.g_00299	Prbj.g_01430
OG0000219	Praa.g_00300	Prbj.g_01431
OG0000220	Praa.g_00301	Prbj.g_01432
OG0000221	Praa.g_00302	Prbj.g_01437
OG0000222	Praa.g_00310	Prbj.g_01446
OG0000223	Praa.g_00323	Prbj.g_01469
OG0000224	Praa.g_00325	Prbj.g_01480
OG0000225	Praa.g_00345	Prbj.g_00323
OG0000226	Praa.g_00349	Prbj.g_00319
OG0000227	Praa.g_00351	Prbj.g_00317
OG0000228	Praa.g_00354	Prbj.g_00063
OG0000229	Praa.g_00436	Prbj.g_00100
OG0000230	Praa.g_00437	Prbj.g_00102
OG0000231	Praa.g_00448	Prbj.g_00117
OG0000232	Praa.g_00457	Prbj.g_01888
OG0000233	Praa.g_00463	Prbj.g_00148
OG0000234	Praa.g_00476	Prbj.g_00127
OG0000235	Praa.g_00479	Prbj.g_01631
OG0000236	Praa.g_00493	Prbj.g_01615
OG0000237	Praa.g_00506	Prbj.g_02094
OG0000238	Praa.g_00512	Prbj.g_02098
OG0000239	Praa.g_00525	Prbj.g_02114
OG0000240	Praa.g_00526	Prbj.g_02115
OG0000241	Praa.g_00530	Prbj.g_01116
OG0000242	Praa.g_00532	Prbj.g_02125
OG0000243	Praa.g_00544	Prbj.g_02668
OG0000244	Praa.g_00547	Prbj.g_01859
OG0000245	Praa.g_00549	Prbj.g_01862
OG0000246	Praa.g_00553	Prbj.g_01866
OG0000247	Praa.g_00563	Prbj.g_01877
OG0000248	Praa.g_00565	Prbj.g_01880
OG0000249	Praa.g_00567	Prbj.g_01882
OG0000250	Praa.g_00572	Prbj.g_01805
OG0000251	Praa.g_00591	Prbj.g_01781
OG0000252	Praa.g_00594	Prbj.g_01778
OG0000253	Praa.g_00595	Prbj.g_01772
OG0000254	Praa.g_00611	Prbj.g_01753
OG0000255	Praa.g_00617	Prbj.g_02546
OG0000256	Praa.g_00627	Prbj.g_02560
OG0000257	Praa.g_00630	Prbj.g_02566
OG0000258	Praa.g_00643	Prbj.g_02589
OG0000259	Praa.g_00660	Prbj.g_00812
OG0000260	Praa.g_00663	Prbj.g_00816
OG0000261	Praa.g_00665	Prbj.g_00819
OG0000262	Praa.g_00669	Prbj.g_00824
OG0000263	Praa.g_00681	Prbj.g_00248
OG0000264	Praa.g_00691	Prbj.g_00933
OG0000265	Praa.g_00711	Prbj.g_02178, Prbj.g_00913
OG0000266	Praa.g_00721	Prbj.g_02189
OG0000267	Praa.g_00732	Prbj.g_02315
OG0000268	Praa.g_00733	Prbj.g_02314
OG0000269	Praa.g_00798	Prbj.g_02407
OG0000270	Praa.g_00801	Prbj.g_02410
OG0000271	Praa.g_00809	Prbj.g_02418
OG0000272	Praa.g_00810, Praa.g_00811	Prbj.g_02419
OG0000273	Praa.g_00834	Prbj.g_02470
OG0000274	Praa.g_00835	Prbj.g_02471
OG0000275	Praa.g_00838	Prbj.g_02474
OG0000276	Praa.g_00843	Prbj.g_02480
OG0000277	Praa.g_00844	Prbj.g_02481
OG0000278	Praa.g_00847	Prbj.g_02484
OG0000279	Praa.g_00854	Prbj.g_02492
OG0000280	Praa.g_00855	Prbj.g_02498
OG0000281	Praa.g_00860	Prbj.g_02512
OG0000282	Praa.g_00909	Prbj.g_02342
OG0000283	Praa.g_00941	Prbj.g_02303
OG0000284	Praa.g_00946	Prbj.g_02297
OG0000285	Praa.g_00951	Prbj.g_00694
