Orthogroup	Prav	Syar
OG0000269	Prav.g_00392	Syar.g_02634
OG0000270	Prav.g_00395	Syar.g_00744, Syar.g_02637
OG0000271	Prav.g_00403	Syar.g_02645
OG0000272	Prav.g_00404	Syar.g_02646
OG0000273	Prav.g_00427	Syar.g_00008
OG0000274	Prav.g_00428	Syar.g_02482, Syar.g_00009
OG0000275	Prav.g_00430	Syar.g_01810
OG0000276	Prav.g_00435	Syar.g_01817
OG0000277	Prav.g_00436	Syar.g_03242, Syar.g_01818
OG0000278	Prav.g_00439	Syar.g_01821, Syar.g_03174
OG0000279	Prav.g_00446	Syar.g_01838
OG0000280	Prav.g_00447	Syar.g_02067, Syar.g_00734
OG0000281	Prav.g_00452	Syar.g_02218
OG0000282	Prav.g_00501	Syar.g_03255, Syar.g_01614
OG0000283	Prav.g_00533	Syar.g_02574
OG0000284	Prav.g_00538	Syar.g_02568
OG0000285	Prav.g_00543	Syar.g_02560
OG0000286	Prav.g_00555	Syar.g_02540
OG0000287	Prav.g_00572	Syar.g_02512
OG0000288	Prav.g_00906	Syar.g_01801
OG0000289	Prav.g_00917	Syar.g_01786
OG0000290	Prav.g_00930	Syar.g_01928
OG0000291	Prav.g_00932	Syar.g_01930
OG0000292	Prav.g_00261	Syar.g_00463
OG0000293	Prav.g_00056	Syar.g_01526, Syar.g_03297
OG0000294	Prav.g_00057	Syar.g_01527, Syar.g_03296
OG0000295	Prav.g_00077	Syar.g_01951, Syar.g_03208
OG0000296	Prav.g_01867	Syar.g_01953
OG0000297	Prav.g_01859	Syar.g_03216
OG0000298	Prav.g_01858	Syar.g_03215
OG0000299	Prav.g_01841	Syar.g_01704
OG0000300	Prav.g_01838	Syar.g_01646
OG0000301	Prav.g_00955, Prav.g_01837	Syar.g_01712
OG0000302	Prav.g_01835	Syar.g_01713
OG0000303	Prav.g_01828	Syar.g_01723
OG0000304	Prav.g_01824	Syar.g_01728
OG0000305	Prav.g_01465	Syar.g_01933, Syar.g_03163
OG0000306	Prav.g_01468	Syar.g_01884, Syar.g_03140
OG0000307	Prav.g_01482	Syar.g_01452, Syar.g_03153
OG0000308	Prav.g_01483	Syar.g_01450
OG0000309	Prav.g_01487	Syar.g_01239
OG0000310	Prav.g_01563	Syar.g_02826
OG0000311	Prav.g_01565	Syar.g_02823
OG0000312	Prav.g_01568	Syar.g_00015, Syar.g_02818
OG0000313	Prav.g_01582	Syar.g_02804
OG0000314	Prav.g_01605	Syar.g_01403
OG0000315	Prav.g_01615	Syar.g_01393
OG0000316	Prav.g_01635	Syar.g_02885
OG0000317	Prav.g_01759	Syar.g_02926
OG0000318	Prav.g_01762	Syar.g_02930
OG0000319	Prav.g_01775	Syar.g_02954
OG0000320	Prav.g_01777	Syar.g_02956
OG0000321	Prav.g_01778	Syar.g_02957
OG0000322	Prav.g_01779	Syar.g_02958
OG0000323	Prav.g_01788	Syar.g_02973
OG0000324	Prav.g_01815	Syar.g_00350, Syar.g_03001
OG0000325	Prav.g_00269	Syar.g_03291, Syar.g_00148
OG0000326	Prav.g_00275	Syar.g_00139, Syar.g_03134
OG0000327	Prav.g_00591	Syar.g_01029
OG0000328	Prav.g_00592	Syar.g_01030
OG0000329	Prav.g_00609	Syar.g_03189, Syar.g_01048
OG0000330	Prav.g_00610	Syar.g_01049
OG0000331	Prav.g_00611	Syar.g_03191, Syar.g_01050
OG0000332	Prav.g_00625	Syar.g_01064, Syar.g_03299
OG0000333	Prav.g_00627	Syar.g_01067
OG0000334	Prav.g_00635	Syar.g_01076
OG0000335	Prav.g_00640	Syar.g_01080
OG0000336	Prav.g_00644	Syar.g_01084
OG0000337	Prav.g_00661	Syar.g_00285
OG0000338	Prav.g_00662	Syar.g_03225, Syar.g_00287
OG0000339	Prav.g_00666	Syar.g_00658
OG0000340	Prav.g_00674	Syar.g_00247
OG0000341	Prav.g_00676	Syar.g_00249
OG0000342	Prav.g_00677	Syar.g_00250
OG0000343	Prav.g_00678	Syar.g_00256
OG0000344	Prav.g_00681	Syar.g_00260
OG0000345	Prav.g_00686	Syar.g_00612
OG0000346	Prav.g_00690	Syar.g_00607
OG0000347	Prav.g_00706	Syar.g_00558
OG0000348	Prav.g_00715	Syar.g_00544
OG0000349	Prav.g_00732	Syar.g_00521
OG0000350	Prav.g_00751	Syar.g_00132
OG0000351	Prav.g_00768	Syar.g_00442
OG0000352	Prav.g_00769	Syar.g_00443
OG0000353	Prav.g_00785	Syar.g_00469
OG0000354	Prav.g_01352	Syar.g_00487
OG0000355	Prav.g_00787	Syar.g_00471
OG0000356	Prav.g_00788	Syar.g_00472
OG0000357	Prav.g_00789	Syar.g_00473
OG0000358	Prav.g_00793	Syar.g_00477
OG0000359	Prav.g_00794	Syar.g_00479
OG0000360	Prav.g_00795	Syar.g_00480
OG0000361	Prav.g_00078	Syar.g_00481
OG0000362	Prav.g_00080	Syar.g_00483
OG0000363	Prav.g_00082	Syar.g_00484
OG0000364	Prav.g_00083	Syar.g_02928
OG0000365	Prav.g_00088	Syar.g_00493
OG0000366	Prav.g_00089	Syar.g_00494
OG0000367	Prav.g_00090	Syar.g_03262, Syar.g_00495
OG0000368	Prav.g_00092	Syar.g_00497
OG0000369	Prav.g_00093	Syar.g_00498
OG0000370	Prav.g_00094	Syar.g_00499
OG0000371	Prav.g_00100	Syar.g_00508
OG0000372	Prav.g_00103	Syar.g_00514
OG0000373	Prav.g_00104	Syar.g_00515
OG0000374	Prav.g_00105	Syar.g_00516
OG0000375	Prav.g_00111	Syar.g_00517
OG0000376	Prav.g_00113	Syar.g_00519
OG0000377	Prav.g_00116	Syar.g_00322
OG0000378	Prav.g_00118	Syar.g_00905
OG0000379	Prav.g_00121	Syar.g_00910
OG0000380	Prav.g_00131	Syar.g_03039
OG0000381	Prav.g_00135	Syar.g_03041
OG0000382	Prav.g_00146	Syar.g_03057
OG0000383	Prav.g_00148	Syar.g_03074
