Orthogroup	Syah	Prbb
OG0000391	Syah.g_00007	Prbb.g_00174
OG0000392	Syah.g_00012	Prbb.g_00177
OG0000393	Syah.g_00014	Prbb.g_00180
OG0000394	Syah.g_00015	Prbb.g_00181
OG0000395	Syah.g_00016	Prbb.g_00182
OG0000396	Syah.g_00019	Prbb.g_00185
OG0000397	Syah.g_00021	Prbb.g_00187
OG0000398	Syah.g_00027	Prbb.g_00190
OG0000399	Syah.g_00028	Prbb.g_00191
OG0000400	Syah.g_00029	Prbb.g_00192
OG0000401	Syah.g_00030	Prbb.g_00193
OG0000402	Syah.g_00033	Prbb.g_01101
OG0000403	Syah.g_00034	Prbb.g_00194
OG0000404	Syah.g_00036	Prbb.g_00195
OG0000405	Syah.g_00050	Prbb.g_00200
OG0000406	Syah.g_00054	Prbb.g_00204
OG0000407	Syah.g_00055	Prbb.g_00205
OG0000408	Syah.g_00057	Prbb.g_00207
OG0000409	Syah.g_00059	Prbb.g_00209
OG0000410	Syah.g_00060	Prbb.g_00210
OG0000411	Syah.g_00061	Prbb.g_00211
OG0000412	Syah.g_00062	Prbb.g_00212
OG0000413	Syah.g_00064	Prbb.g_00213
OG0000414	Syah.g_00065	Prbb.g_00214
OG0000415	Syah.g_00066	Prbb.g_00215
OG0000416	Syah.g_00067	Prbb.g_00216
OG0000417	Syah.g_00068	Prbb.g_00217
OG0000418	Syah.g_00073	Prbb.g_00222
OG0000419	Syah.g_00075	Prbb.g_00224
OG0000420	Syah.g_00077	Prbb.g_00225
OG0000421	Syah.g_00082	Prbb.g_00229
OG0000422	Syah.g_00083	Prbb.g_00230
OG0000423	Syah.g_00084	Prbb.g_00231
OG0000424	Syah.g_00085	Prbb.g_00232
OG0000425	Syah.g_00086	Prbb.g_00233
OG0000426	Syah.g_00087	Prbb.g_00234
OG0000427	Syah.g_00088	Prbb.g_00235
OG0000428	Syah.g_00620	Prbb.g_00237
OG0000429	Syah.g_00618	Prbb.g_00238
OG0000430	Syah.g_00617	Prbb.g_00239
OG0000431	Syah.g_00613	Prbb.g_00241
OG0000432	Syah.g_00607	Prbb.g_00245
OG0000433	Syah.g_00605	Prbb.g_00246
OG0000434	Syah.g_00604	Prbb.g_00247
OG0000435	Syah.g_00602	Prbb.g_00248
OG0000436	Syah.g_00597	Prbb.g_00253
OG0000437	Syah.g_00596	Prbb.g_00254
OG0000438	Syah.g_00595	Prbb.g_00255
OG0000439	Syah.g_00593	Prbb.g_00257
OG0000440	Syah.g_00592	Prbb.g_00258
OG0000441	Syah.g_00585	Prbb.g_00260
OG0000442	Syah.g_00580	Prbb.g_00261
OG0000443	Syah.g_00579	Prbb.g_00262
OG0000444	Syah.g_00573	Prbb.g_00267
OG0000445	Syah.g_00572	Prbb.g_00268
OG0000446	Syah.g_00570	Prbb.g_00269
OG0000447	Syah.g_00567	Prbb.g_00270
OG0000448	Syah.g_00566	Prbb.g_00271
OG0000449	Syah.g_00565	Prbb.g_00272
OG0000450	Syah.g_00547	Prbb.g_00273
OG0000451	Syah.g_00546	Prbb.g_00274
OG0000452	Syah.g_00542	Prbb.g_00277
OG0000453	Syah.g_00541	Prbb.g_00278
OG0000454	Syah.g_00540	Prbb.g_00279
OG0000455	Syah.g_00539	Prbb.g_00280
OG0000456	Syah.g_00538	Prbb.g_00281
OG0000457	Syah.g_00536	Prbb.g_00282
OG0000458	Syah.g_00535	Prbb.g_00283
OG0000459	Syah.g_00534	Prbb.g_00284
OG0000460	Syah.g_00906	Prbb.g_00292
OG0000461	Syah.g_00678	Prbb.g_00300
OG0000462	Syah.g_00675	Prbb.g_00302
OG0000463	Syah.g_00674	Prbb.g_00303
OG0000464	Syah.g_00673	Prbb.g_00304
OG0000465	Syah.g_00672	Prbb.g_00305
OG0000466	Syah.g_00668	Prbb.g_00306
OG0000467	Syah.g_00666	Prbb.g_00307
OG0000468	Syah.g_00661	Prbb.g_00309
OG0000469	Syah.g_00647	Prbb.g_00316
OG0000470	Syah.g_00645	Prbb.g_00318
OG0000471	Syah.g_00644	Prbb.g_00319
OG0000472	Syah.g_00642	Prbb.g_00320
OG0000473	Syah.g_00640	Prbb.g_00322
OG0000474	Syah.g_00639	Prbb.g_00323
OG0000475	Syah.g_00638	Prbb.g_00324
OG0000476	Syah.g_00636	Prbb.g_00326
OG0000477	Syah.g_00630	Prbb.g_00328
OG0000478	Syah.g_00629	Prbb.g_00329
OG0000479	Syah.g_00628	Prbb.g_00330
OG0000480	Syah.g_00089	Prbb.g_00334
OG0000481	Syah.g_00091	Prbb.g_00336
OG0000482	Syah.g_00092	Prbb.g_00337
OG0000483	Syah.g_00096	Prbb.g_00340
OG0000484	Syah.g_00097	Prbb.g_00341
OG0000485	Syah.g_00098	Prbb.g_00342
OG0000486	Syah.g_00099	Prbb.g_00343
OG0000487	Syah.g_00106	Prbb.g_00346
OG0000488	Syah.g_00110	Prbb.g_00349
OG0000489	Syah.g_00121	Prbb.g_00354
OG0000490	Syah.g_00129	Prbb.g_00359
OG0000491	Syah.g_00130	Prbb.g_00360
OG0000492	Syah.g_00132	Prbb.g_00362
OG0000493	Syah.g_00133	Prbb.g_00363
OG0000494	Syah.g_00134	Prbb.g_00364
OG0000495	Syah.g_00135	Prbb.g_00365
