Orthogroup	Syag	Syam
OG0000489	Syag.g_02565	Syam.g_00197
OG0000490	Syag.g_02553	Syam.g_00189
OG0000491	Syag.g_02551	Syam.g_00187
OG0000492	Syag.g_02549	Syam.g_00185
OG0000493	Syag.g_02548	Syam.g_00184
OG0000494	Syag.g_02547	Syam.g_00183
OG0000495	Syag.g_02546	Syam.g_00182
OG0000496	Syag.g_02545	Syam.g_00181
OG0000497	Syag.g_02544	Syam.g_00180
OG0000498	Syag.g_02543	Syam.g_00179
OG0000499	Syag.g_02542	Syam.g_00178
OG0000500	Syag.g_02541	Syam.g_00177
OG0000501	Syag.g_02538	Syam.g_00174
OG0000502	Syag.g_02467	Syam.g_00165
OG0000503	Syag.g_02843	Syam.g_00457
OG0000504	Syag.g_02845	Syam.g_00459
OG0000505	Syag.g_02846	Syam.g_00460
OG0000506	Syag.g_02849	Syam.g_00462
OG0000507	Syag.g_02855	Syam.g_00468
OG0000508	Syag.g_02860	Syam.g_00472
OG0000509	Syag.g_02862	Syam.g_00474
OG0000510	Syag.g_02863	Syam.g_00475
OG0000511	Syag.g_02864	Syam.g_00476
OG0000512	Syag.g_02866	Syam.g_00478
OG0000513	Syag.g_00009	Syam.g_00493
OG0000514	Syag.g_00018	Syam.g_00499
OG0000515	Syag.g_00019	Syam.g_00500
OG0000516	Syag.g_00025	Syam.g_01862
OG0000517	Syag.g_00032	Syam.g_01868
OG0000518	Syag.g_00044	Syam.g_01851
OG0000519	Syag.g_00045	Syam.g_01850
OG0000520	Syag.g_00046	Syam.g_01849
OG0000521	Syag.g_00054	Syam.g_01696
OG0000522	Syag.g_00056	Syam.g_01694
OG0000523	Syag.g_00057	Syam.g_01693
OG0000524	Syag.g_01327	Syam.g_01681
OG0000525	Syag.g_01345	Syam.g_01677
OG0000526	Syag.g_01348	Syam.g_01674
OG0000527	Syag.g_01354	Syam.g_01670
OG0000528	Syag.g_01532	Syam.g_00580
OG0000529	Syag.g_01527	Syam.g_00584
OG0000530	Syag.g_01524	Syam.g_00587
OG0000531	Syag.g_01523	Syam.g_00588
OG0000532	Syag.g_01520	Syam.g_00591
OG0000533	Syag.g_01518	Syam.g_00592
OG0000534	Syag.g_01517	Syam.g_00593
OG0000535	Syag.g_01516	Syam.g_00594
OG0000536	Syag.g_01515	Syam.g_00595
OG0000537	Syag.g_01514	Syam.g_00596
OG0000538	Syag.g_01502	Syam.g_00607
OG0000539	Syag.g_01501	Syam.g_00608
OG0000540	Syag.g_01500	Syam.g_00609
OG0000541	Syag.g_01499	Syam.g_00610
OG0000542	Syag.g_01496	Syam.g_00613
