Orthogroup	Syak	Prbf
OG0000460	Syak.g_02303	Prbf.g_01573
OG0000461	Syak.g_01402	Prbf.g_01581
OG0000462	Syak.g_01405	Prbf.g_01583
OG0000463	Syak.g_01406	Prbf.g_01584
OG0000464	Syak.g_01407	Prbf.g_01585
OG0000465	Syak.g_01409	Prbf.g_01586
OG0000466	Syak.g_01414	Prbf.g_01589
OG0000467	Syak.g_01416	Prbf.g_01590
OG0000468	Syak.g_01421	Prbf.g_01593
OG0000469	Syak.g_01436	Prbf.g_01601
OG0000470	Syak.g_01438	Prbf.g_01603
OG0000471	Syak.g_01439	Prbf.g_01604
OG0000472	Syak.g_01441	Prbf.g_01606
OG0000473	Syak.g_01443	Prbf.g_01608
OG0000474	Syak.g_01444	Prbf.g_01609
OG0000475	Syak.g_01445	Prbf.g_01610
OG0000476	Syak.g_01447	Prbf.g_01612
OG0000477	Syak.g_01453	Prbf.g_01615
OG0000478	Syak.g_01454	Prbf.g_01616
OG0000479	Syak.g_01455	Prbf.g_01617
OG0000480	Syak.g_01462	Prbf.g_01622
OG0000481	Syak.g_01464	Prbf.g_01625
OG0000482	Syak.g_01465	Prbf.g_01626
OG0000483	Syak.g_01469	Prbf.g_01629
OG0000484	Syak.g_01470	Prbf.g_01630
OG0000485	Syak.g_01472	Prbf.g_01632
OG0000486	Syak.g_01473	Prbf.g_01633
OG0000487	Syak.g_01479	Prbf.g_01636
OG0000488	Syak.g_01483	Prbf.g_01639
OG0000489	Syak.g_01499	Prbf.g_01644
OG0000490	Syak.g_01507	Prbf.g_01648
OG0000491	Syak.g_01511	Prbf.g_01649
OG0000492	Syak.g_01513	Prbf.g_01651
OG0000493	Syak.g_01514	Prbf.g_01652
OG0000494	Syak.g_01515	Prbf.g_01653
OG0000495	Syak.g_01516	Prbf.g_01654
OG0000496	Syak.g_01517	Prbf.g_01655
OG0000497	Syak.g_01518	Prbf.g_01656
OG0000498	Syak.g_01519	Prbf.g_01657
OG0000499	Syak.g_01520	Prbf.g_01658
OG0000500	Syak.g_01521	Prbf.g_01659
OG0000501	Syak.g_01524	Prbf.g_01660
OG0000502	Syak.g_01538	Prbf.g_01663
OG0000503	Syak.g_01246	Prbf.g_01678
OG0000504	Syak.g_01244	Prbf.g_01680
OG0000505	Syak.g_01243	Prbf.g_01681
OG0000506	Syak.g_01241	Prbf.g_01682
OG0000507	Syak.g_01235	Prbf.g_01685
OG0000508	Syak.g_01231	Prbf.g_01689
OG0000509	Syak.g_01229	Prbf.g_01691
OG0000510	Syak.g_01228	Prbf.g_01692
OG0000511	Syak.g_01227	Prbf.g_01693
OG0000512	Syak.g_01225	Prbf.g_01695
OG0000513	Syak.g_01211	Prbf.g_01704
OG0000514	Syak.g_01204	Prbf.g_01715
OG0000515	Syak.g_01203	Prbf.g_01716
OG0000516	Syak.g_01199	Prbf.g_01717
OG0000517	Syak.g_01192	Prbf.g_01719
OG0000518	Syak.g_01180	Prbf.g_01730
OG0000519	Syak.g_01179	Prbf.g_01731
OG0000520	Syak.g_01178	Prbf.g_01732
OG0000521	Syak.g_01167	Prbf.g_01740
OG0000522	Syak.g_01163	Prbf.g_01742
OG0000523	Syak.g_01162	Prbf.g_01743
OG0000524	Syak.g_01149	Prbf.g_01748
OG0000525	Syak.g_01130	Prbf.g_01752
OG0000526	Syak.g_01127	Prbf.g_01753
OG0000527	Syak.g_01120	Prbf.g_01756
OG0000528	Syak.g_02570	Prbf.g_01761
OG0000529	Syak.g_02575	Prbf.g_01764
OG0000530	Syak.g_02578	Prbf.g_01767
OG0000531	Syak.g_02579	Prbf.g_01768
OG0000532	Syak.g_02582	Prbf.g_01770
OG0000533	Syak.g_02584	Prbf.g_01771
OG0000534	Syak.g_02585	Prbf.g_01772
OG0000535	Syak.g_02586	Prbf.g_01773
OG0000536	Syak.g_02587	Prbf.g_01774
OG0000537	Syak.g_02588	Prbf.g_01775
OG0000538	Syak.g_02600	Prbf.g_01784
OG0000539	Syak.g_02601	Prbf.g_01785
OG0000540	Syak.g_02602	Prbf.g_01786
OG0000541	Syak.g_02603	Prbf.g_01787
OG0000542	Syak.g_02606	Prbf.g_01788
OG0000543	Syak.g_02608	Prbf.g_01790
OG0000544	Syak.g_02609	Prbf.g_01791
OG0000545	Syak.g_02611	Prbf.g_01793
OG0000546	Syak.g_02613	Prbf.g_01796
OG0000547	Syak.g_02615	Prbf.g_01798
OG0000548	Syak.g_02616	Prbf.g_01799
OG0000549	Syak.g_02622	Prbf.g_01801
OG0000550	Syak.g_02626	Prbf.g_01805
OG0000551	Syak.g_02631	Prbf.g_01808
OG0000552	Syak.g_02632	Prbf.g_01809
OG0000553	Syak.g_02636	Prbf.g_01810
OG0000554	Syak.g_02641	Prbf.g_01815
OG0000555	Syak.g_02657	Prbf.g_01823
OG0000556	Syak.g_02661	Prbf.g_01825
OG0000557	Syak.g_02663	Prbf.g_01826
OG0000558	Syak.g_02666	Prbf.g_01828
OG0000559	Syak.g_02670	Prbf.g_01832
OG0000560	Syak.g_02672	Prbf.g_01835
OG0000561	Syak.g_02673	Prbf.g_01836
OG0000562	Syak.g_02674	Prbf.g_01837
OG0000563	Syak.g_02675	Prbf.g_01838
