Orthogroup	Syar	Syaf
OG0000293	Syar.g_01526	Syaf.g_01277
OG0000294	Syar.g_03296	Syaf.g_01278
OG0000295	Syar.g_01951	Syaf.g_01316
OG0000296	Syar.g_01953	Syaf.g_01318
OG0000297	Syar.g_03216	Syaf.g_01607
OG0000298	Syar.g_03215	Syaf.g_01606
OG0000299	Syar.g_01704	Syaf.g_01578
OG0000300	Syar.g_01646	Syaf.g_01571
OG0000301	Syar.g_01712	Syaf.g_01570
OG0000302	Syar.g_01713	Syaf.g_01568
OG0000303	Syar.g_01723	Syaf.g_01559
OG0000304	Syar.g_01728	Syaf.g_01551
OG0000305	Syar.g_03163	Syaf.g_01444
OG0000306	Syar.g_01884	Syaf.g_01332
OG0000307	Syar.g_01452	Syaf.g_02742
OG0000308	Syar.g_01450	Syaf.g_02744
OG0000309	Syar.g_01239	Syaf.g_02749
OG0000310	Syar.g_02826	Syaf.g_02387
OG0000311	Syar.g_02823	Syaf.g_02391
OG0000312	Syar.g_02818	Syaf.g_02397
OG0000313	Syar.g_02804	Syaf.g_02421
OG0000314	Syar.g_01403	Syaf.g_02458
OG0000315	Syar.g_01393	Syaf.g_02468
OG0000316	Syar.g_02885	Syaf.g_01088
OG0000317	Syar.g_02926	Syaf.g_01040
OG0000318	Syar.g_02930	Syaf.g_01032
OG0000319	Syar.g_02954	Syaf.g_01015
OG0000320	Syar.g_02956	Syaf.g_01013
OG0000321	Syar.g_02957	Syaf.g_01012
OG0000322	Syar.g_02958	Syaf.g_01011
OG0000323	Syar.g_02973	Syaf.g_00997
OG0000324	Syar.g_00350, Syar.g_03001	Syaf.g_01164
OG0000325	Syar.g_00148	Syaf.g_00176
OG0000326	Syar.g_03134	Syaf.g_00169
OG0000327	Syar.g_01029	Syaf.g_00138
OG0000328	Syar.g_01030	Syaf.g_00137
OG0000329	Syar.g_03189	Syaf.g_00119
OG0000330	Syar.g_01049	Syaf.g_00118
OG0000331	Syar.g_03191	Syaf.g_00117
OG0000332	Syar.g_03299	Syaf.g_00102
OG0000333	Syar.g_01067	Syaf.g_00099
OG0000334	Syar.g_01076	Syaf.g_00090
OG0000335	Syar.g_01080	Syaf.g_00085
OG0000336	Syar.g_01084	Syaf.g_00081
OG0000337	Syar.g_00285	Syaf.g_00344
OG0000338	Syar.g_00287	Syaf.g_00348
OG0000339	Syar.g_00658	Syaf.g_00355
OG0000340	Syar.g_00247	Syaf.g_00366
OG0000341	Syar.g_00249	Syaf.g_00368
OG0000342	Syar.g_00250	Syaf.g_00369
OG0000343	Syar.g_00256	Syaf.g_00370
OG0000344	Syar.g_00260	Syaf.g_00374
OG0000345	Syar.g_00612	Syaf.g_00384
OG0000346	Syar.g_00607	Syaf.g_00389
OG0000347	Syar.g_00558	Syaf.g_00415
OG0000348	Syar.g_00544	Syaf.g_00427
OG0000349	Syar.g_00521	Syaf.g_00445
OG0000350	Syar.g_00132	Syaf.g_00162
OG0000351	Syar.g_00442	Syaf.g_00528
OG0000352	Syar.g_00443	Syaf.g_00527
