Orthogroup	Syar	Prac
OG0000218	Syar.g_00852	Prac.g_01632
OG0000219	Syar.g_00851	Prac.g_01631
OG0000220	Syar.g_00850, Syar.g_02026	Prac.g_01630
OG0000221	Syar.g_00834	Prac.g_01629
OG0000222	Syar.g_02119, Syar.g_00728	Prac.g_01621
OG0000223	Syar.g_00649	Prac.g_01608
OG0000224	Syar.g_00273	Prac.g_01606
OG0000225	Syar.g_01142	Prac.g_01188
OG0000226	Syar.g_01146	Prac.g_01184
OG0000227	Syar.g_01148	Prac.g_01182
OG0000228	Syar.g_01161	Prac.g_01179
OG0000229	Syar.g_01177, Syar.g_03273	Prac.g_01111
OG0000230	Syar.g_01179	Prac.g_01109
OG0000231	Syar.g_02865, Syar.g_03151	Prac.g_01098
OG0000232	Syar.g_01424	Prac.g_01089
OG0000233	Syar.g_03183, Syar.g_01247	Prac.g_01082
OG0000234	Syar.g_01275	Prac.g_01068
OG0000235	Syar.g_01468	Prac.g_01065
OG0000236	Syar.g_01484, Syar.g_03311	Prac.g_01051
OG0000237	Syar.g_01503	Prac.g_00865
OG0000238	Syar.g_01508	Prac.g_00859
OG0000239	Syar.g_03277, Syar.g_02687	Prac.g_00847
OG0000240	Syar.g_02686, Syar.g_03278	Prac.g_00846
OG0000241	Syar.g_02410	Prac.g_00842
OG0000242	Syar.g_01926	Prac.g_00840
OG0000243	Syar.g_02335	Prac.g_00829
OG0000244	Syar.g_02327	Prac.g_00826
OG0000245	Syar.g_02325, Syar.g_03238	Prac.g_00824
OG0000246	Syar.g_02321	Prac.g_00820
OG0000247	Syar.g_02310	Prac.g_00810
OG0000248	Syar.g_02307, Syar.g_03293	Prac.g_00808
OG0000249	Syar.g_02305	Prac.g_00806
OG0000250	Syar.g_02299	Prac.g_00801
OG0000251	Syar.g_03207, Syar.g_02194	Prac.g_00782
OG0000252	Syar.g_02189, Syar.g_03263	Prac.g_00778
OG0000253	Syar.g_02028	Prac.g_00777
OG0000254	Syar.g_02169	Prac.g_00760
OG0000255	Syar.g_02224, Syar.g_00011	Prac.g_00754
OG0000256	Syar.g_02244	Prac.g_00744
OG0000257	Syar.g_02407, Syar.g_01762	Prac.g_00741
OG0000258	Syar.g_00010, Syar.g_02427	Prac.g_00728
OG0000259	Syar.g_02472	Prac.g_00711
OG0000260	Syar.g_03220, Syar.g_02475	Prac.g_00708
OG0000261	Syar.g_01916	Prac.g_00706
OG0000262	Syar.g_01690	Prac.g_00702
OG0000263	Syar.g_01991	Prac.g_00690
OG0000264	Syar.g_02135, Syar.g_03267	Prac.g_00680
OG0000266	Syar.g_01570	Prac.g_01550
OG0000267	Syar.g_01873	Prac.g_01539
OG0000268	Syar.g_02589	Prac.g_01538
OG0000269	Syar.g_02634	Prac.g_01480
OG0000270	Syar.g_00744, Syar.g_02637	Prac.g_01477
OG0000271	Syar.g_02645	Prac.g_01469
OG0000272	Syar.g_02646	Prac.g_01468
OG0000273	Syar.g_00008	Prac.g_01445
OG0000274	Syar.g_02482, Syar.g_00009	Prac.g_01444
OG0000275	Syar.g_01810	Prac.g_01442
OG0000276	Syar.g_01817	Prac.g_01437
OG0000277	Syar.g_03242, Syar.g_01818	Prac.g_01436
OG0000278	Syar.g_01821, Syar.g_03174	Prac.g_01433
OG0000279	Syar.g_01838	Prac.g_01426
OG0000280	Syar.g_02067, Syar.g_00734	Prac.g_01425
OG0000281	Syar.g_02218	Prac.g_01420
OG0000282	Syar.g_03255, Syar.g_01614	Prac.g_01382
OG0000283	Syar.g_02574	Prac.g_01350
OG0000284	Syar.g_02568	Prac.g_01345
OG0000285	Syar.g_02560	Prac.g_01340
OG0000286	Syar.g_02540	Prac.g_01328
OG0000287	Syar.g_02512	Prac.g_01311
OG0000288	Syar.g_01801	Prac.g_01283
OG0000289	Syar.g_01786	Prac.g_01272
OG0000290	Syar.g_01928	Prac.g_01259
OG0000291	Syar.g_01930	Prac.g_01257
OG0000292	Syar.g_00463	Prac.g_01207
OG0000293	Syar.g_01526, Syar.g_03297	Prac.g_00994
OG0000294	Syar.g_01527, Syar.g_03296	Prac.g_00993
OG0000295	Syar.g_01951, Syar.g_03208	Prac.g_00973
OG0000296	Syar.g_01953	Prac.g_00971
OG0000297	Syar.g_03216	Prac.g_00963
OG0000298	Syar.g_03215	Prac.g_00962
OG0000299	Syar.g_01704	Prac.g_00945
OG0000300	Syar.g_01646	Prac.g_00942
OG0000301	Syar.g_01712	Prac.g_00941
OG0000302	Syar.g_01713	Prac.g_00939
OG0000303	Syar.g_01723	Prac.g_00932
OG0000304	Syar.g_01728	Prac.g_00928
OG0000305	Syar.g_01933, Syar.g_03163	Prac.g_00209
OG0000306	Syar.g_01884, Syar.g_03140	Prac.g_00212
OG0000307	Syar.g_01452, Syar.g_03153	Prac.g_00226
OG0000308	Syar.g_01450	Prac.g_00227
OG0000309	Syar.g_01239	Prac.g_00231
OG0000310	Syar.g_02826	Prac.g_00426
OG0000311	Syar.g_02823	Prac.g_00424
OG0000312	Syar.g_00015, Syar.g_02818	Prac.g_00421
OG0000313	Syar.g_02804	Prac.g_00407
OG0000314	Syar.g_01403	Prac.g_00384
OG0000315	Syar.g_01393	Prac.g_00374
OG0000316	Syar.g_02885	Prac.g_00354
OG0000317	Syar.g_02926	Prac.g_00627
OG0000318	Syar.g_02930	Prac.g_00624
OG0000319	Syar.g_02954	Prac.g_00611
OG0000320	Syar.g_02956	Prac.g_00609
OG0000321	Syar.g_02957	Prac.g_00608
