Orthogroup	Syar	Syag
OG0000206	Syar.g_00963	Syag.g_02047
OG0000207	Syar.g_00957	Syag.g_02051
OG0000208	Syar.g_00956	Syag.g_02052
OG0000209	Syar.g_00936, Syar.g_03261	Syag.g_02069
OG0000210	Syar.g_03260, Syar.g_00935	Syag.g_02070
OG0000211	Syar.g_03026	Syag.g_01788
OG0000212	Syar.g_03017	Syag.g_01777
OG0000213	Syar.g_00187	Syag.g_02632
OG0000214	Syar.g_00209	Syag.g_02615
OG0000215	Syar.g_00239	Syag.g_02584
OG0000216	Syar.g_00244	Syag.g_02580
OG0000217	Syar.g_00854	Syag.g_02576
OG0000218	Syar.g_00852	Syag.g_02574
OG0000219	Syar.g_00851	Syag.g_02573
OG0000220	Syar.g_00850, Syar.g_02026	Syag.g_02572
OG0000221	Syar.g_00834	Syag.g_02566
OG0000222	Syar.g_02119, Syar.g_00728	Syag.g_02550
OG0000223	Syar.g_00649	Syag.g_02475
OG0000224	Syar.g_00273, Syar.g_00762	Syag.g_02471
OG0000225	Syar.g_01142	Syag.g_02861
OG0000226	Syar.g_01146	Syag.g_02865
OG0000227	Syar.g_01148	Syag.g_02867
OG0000228	Syar.g_01161	Syag.g_00004
OG0000229	Syar.g_01177, Syar.g_03273	Syag.g_00033
OG0000230	Syar.g_03275, Syar.g_01179	Syag.g_00035
OG0000231	Syar.g_02865, Syar.g_03151	Syag.g_00048
OG0000232	Syar.g_01424	Syag.g_00059
OG0000233	Syar.g_01247	Syag.g_01330
OG0000234	Syar.g_01275	Syag.g_01358
OG0000235	Syar.g_01468	Syag.g_01529
OG0000236	Syar.g_01484, Syar.g_03311	Syag.g_01513
OG0000237	Syar.g_01503	Syag.g_01495
OG0000238	Syar.g_01508	Syag.g_01490
OG0000239	Syar.g_02687	Syag.g_01472
OG0000240	Syar.g_02686, Syar.g_03278	Syag.g_01471
OG0000241	Syar.g_02410	Syag.g_00396
OG0000242	Syar.g_01926	Syag.g_01456
OG0000243	Syar.g_02335	Syag.g_00255
OG0000244	Syar.g_02327	Syag.g_00268
OG0000245	Syar.g_02325, Syar.g_03238	Syag.g_00270
OG0000246	Syar.g_02321	Syag.g_00274
OG0000247	Syar.g_02310	Syag.g_00286
OG0000248	Syar.g_02307, Syar.g_03293	Syag.g_00289
OG0000249	Syar.g_02305	Syag.g_00291
OG0000250	Syar.g_02299	Syag.g_00299
OG0000251	Syar.g_03207, Syar.g_02194	Syag.g_00328
OG0000252	Syar.g_02189, Syar.g_03263	Syag.g_00331
OG0000253	Syar.g_02028	Syag.g_00333
OG0000254	Syar.g_02169	Syag.g_00356
OG0000255	Syar.g_02224	Syag.g_00369
OG0000256	Syar.g_02244	Syag.g_00385
OG0000257	Syar.g_02407, Syar.g_01762	Syag.g_00395
OG0000258	Syar.g_00010, Syar.g_02427	Syag.g_00423
OG0000259	Syar.g_02472	Syag.g_00560
OG0000260	Syar.g_02475	Syag.g_00570
OG0000261	Syar.g_01916	Syag.g_00581
OG0000262	Syar.g_01690	Syag.g_00586
OG0000263	Syar.g_01991	Syag.g_01079
OG0000264	Syar.g_02135	Syag.g_01011
OG0000266	Syar.g_01570	Syag.g_00907
OG0000267	Syar.g_01873	Syag.g_00762
OG0000268	Syar.g_02589	Syag.g_00763
OG0000269	Syar.g_02634	Syag.g_00662
OG0000270	Syar.g_00744, Syar.g_02637	Syag.g_00665
OG0000271	Syar.g_02645	Syag.g_00673
OG0000273	Syar.g_02481	Syag.g_00713
OG0000274	Syar.g_02482	Syag.g_00714
OG0000275	Syar.g_01810	Syag.g_00717
OG0000276	Syar.g_01817	Syag.g_00723
OG0000277	Syar.g_03242, Syar.g_01818	Syag.g_00724
OG0000278	Syar.g_01821	Syag.g_00727
OG0000279	Syar.g_01838	Syag.g_00735
OG0000280	Syar.g_02067, Syar.g_00734	Syag.g_00741
OG0000281	Syar.g_02218	Syag.g_00572
OG0000282	Syar.g_03255, Syar.g_01614	Syag.g_00611
OG0000283	Syar.g_02574	Syag.g_00775
OG0000284	Syar.g_03258, Syar.g_02568	Syag.g_00780
OG0000285	Syar.g_02560	Syag.g_00791
OG0000286	Syar.g_02540	Syag.g_00809
OG0000287	Syar.g_02512	Syag.g_00838
OG0000288	Syar.g_01801	Syag.g_00869
OG0000289	Syar.g_03305, Syar.g_01786	Syag.g_00884
OG0000290	Syar.g_01928	Syag.g_00970
OG0000291	Syar.g_01930	Syag.g_00972
OG0000292	Syar.g_00463	Syag.g_02265
OG0000293	Syar.g_01526, Syar.g_03297	Syag.g_01155
OG0000294	Syar.g_01527, Syar.g_03296	Syag.g_01154
OG0000295	Syar.g_01951, Syar.g_03208	Syag.g_01115
OG0000296	Syar.g_01953	Syag.g_01113
OG0000297	Syar.g_03216, Syar.g_01967	Syag.g_01099
OG0000298	Syar.g_01968, Syar.g_03215	Syag.g_01098
OG0000299	Syar.g_01704	Syag.g_01067
OG0000300	Syar.g_01711	Syag.g_01062
OG0000301	Syar.g_01712	Syag.g_01061
OG0000302	Syar.g_01713	Syag.g_01060
OG0000303	Syar.g_03136, Syar.g_01723	Syag.g_01048
OG0000304	Syar.g_01728	Syag.g_01041
OG0000305	Syar.g_01933, Syar.g_03163	Syag.g_00977
OG0000306	Syar.g_01884	Syag.g_00460
OG0000307	Syar.g_01452, Syar.g_03153	Syag.g_01546
OG0000308	Syar.g_01450	Syag.g_01548
OG0000309	Syar.g_01239	Syag.g_01553
OG0000310	Syar.g_02826	Syag.g_01291
OG0000311	Syar.g_02823	Syag.g_01300
OG0000312	Syar.g_00015, Syar.g_02818	Syag.g_01434
OG0000313	Syar.g_02804	Syag.g_00966, Syag.g_01412
OG0000314	Syar.g_01403	Syag.g_01380
OG0000315	Syar.g_01393	Syag.g_01369
OG0000316	Syar.g_02885	Syag.g_01641
OG0000317	Syar.g_02926	Syag.g_01684
OG0000318	Syar.g_02930	Syag.g_01688
OG0000319	Syar.g_02954	Syag.g_01710
OG0000320	Syar.g_02956	Syag.g_01712
OG0000321	Syar.g_02957	Syag.g_01713
OG0000322	Syar.g_02958	Syag.g_01714
OG0000323	Syar.g_02973	Syag.g_01728
OG0000324	Syar.g_00350, Syar.g_03001	Syag.g_01757
OG0000325	Syar.g_03291, Syar.g_00148	Syag.g_02690
OG0000326	Syar.g_00139, Syar.g_03134	Syag.g_02698
OG0000327	Syar.g_01029	Syag.g_02728
OG0000328	Syar.g_01030	Syag.g_02729
OG0000329	Syar.g_03189, Syar.g_01048	Syag.g_02747
OG0000330	Syar.g_03190, Syar.g_01049	Syag.g_02748
OG0000331	Syar.g_03191	Syag.g_02749
OG0000332	Syar.g_01064, Syar.g_03299	Syag.g_02764
OG0000333	Syar.g_01067	Syag.g_02767
OG0000334	Syar.g_01076	Syag.g_02777
OG0000335	Syar.g_01080	Syag.g_02782
OG0000336	Syar.g_01084	Syag.g_02786
OG0000337	Syar.g_00285	Syag.g_02445
OG0000338	Syar.g_03225, Syar.g_00287	Syag.g_02440
OG0000340	Syar.g_00247	Syag.g_02416
OG0000341	Syar.g_00249	Syag.g_02414
OG0000342	Syar.g_00250	Syag.g_02413
OG0000343	Syar.g_00256	Syag.g_02411
OG0000344	Syar.g_00260	Syag.g_02407
OG0000345	Syar.g_00612	Syag.g_02397
OG0000346	Syar.g_00607	Syag.g_02392
OG0000347	Syar.g_00558	Syag.g_02366
OG0000348	Syar.g_00544	Syag.g_02357
OG0000349	Syar.g_00521	Syag.g_02330
OG0000350	Syar.g_00132	Syag.g_02705
OG0000351	Syar.g_00442	Syag.g_02244
OG0000352	Syar.g_00443	Syag.g_02245
OG0000353	Syar.g_00469	Syag.g_02271
OG0000354	Syar.g_01514	Syag.g_01484
OG0000354	Syar.g_00487	Syag.g_02291
OG0000355	Syar.g_00471	Syag.g_02273
OG0000356	Syar.g_00472	Syag.g_02274
OG0000357	Syar.g_00473	Syag.g_02275
OG0000358	Syar.g_00477	Syag.g_02279
OG0000359	Syar.g_00479	Syag.g_02281
OG0000360	Syar.g_00480	Syag.g_02282
OG0000361	Syar.g_00481	Syag.g_02283
OG0000362	Syar.g_00483	Syag.g_02285
OG0000363	Syar.g_00484	Syag.g_02287
OG0000364	Syar.g_02928	Syag.g_02288
OG0000365	Syar.g_00493	Syag.g_02297
OG0000366	Syar.g_00494	Syag.g_02298
OG0000367	Syar.g_03262, Syar.g_00495	Syag.g_02299
OG0000368	Syar.g_00497	Syag.g_02301
OG0000369	Syar.g_00498	Syag.g_02302
OG0000370	Syar.g_00499	Syag.g_02303
OG0000371	Syar.g_00508	Syag.g_02312
OG0000372	Syar.g_00514	Syag.g_02317
OG0000373	Syar.g_00515	Syag.g_02318
OG0000374	Syar.g_00516	Syag.g_02319
OG0000375	Syar.g_00517	Syag.g_02326
OG0000376	Syar.g_00519	Syag.g_02328
OG0000377	Syar.g_00322	Syag.g_02119
OG0000378	Syar.g_00905	Syag.g_02099
OG0000379	Syar.g_00910	Syag.g_02091
OG0000380	Syar.g_03039	Syag.g_01817
OG0000381	Syar.g_03041	Syag.g_01820
OG0000382	Syar.g_03057	Syag.g_01838
OG0000383	Syar.g_03074	Syag.g_01843
OG0000384	Syar.g_03075	Syag.g_01844
OG0000385	Syar.g_03076	Syag.g_01845
OG0000386	Syar.g_03077	Syag.g_01846
OG0000387	Syar.g_03109	Syag.g_01876
OG0000388	Syar.g_03148, Syar.g_03113	Syag.g_01880
OG0000389	Syar.g_03118	Syag.g_01884
OG0000390	Syar.g_00033	Syag.g_01903
OG0000391	Syar.g_00038	Syag.g_01908
OG0000392	Syar.g_00045	Syag.g_01914
OG0000393	Syar.g_00048	Syag.g_01917
OG0000394	Syar.g_00049	Syag.g_01918
OG0000395	Syar.g_00050	Syag.g_01919
OG0000396	Syar.g_00053	Syag.g_01922
OG0000397	Syar.g_00055	Syag.g_01924
