Orthogroup	Syar	Prbl
OG0000198	Syar.g_00098	Prbl.g_00284
OG0000199	Syar.g_00106	Prbl.g_00277
OG0000200	Syar.g_00124	Prbl.g_00069
OG0000201	Syar.g_01000	Prbl.g_00088
OG0000202	Syar.g_00021, Syar.g_00998	Prbl.g_00089
OG0000203	Syar.g_00997, Syar.g_00020	Prbl.g_00090
OG0000204	Syar.g_00996	Prbl.g_00091
OG0000205	Syar.g_00988	Prbl.g_00098
OG0000206	Syar.g_00963	Prbl.g_01282
OG0000207	Syar.g_00957	Prbl.g_00130
OG0000208	Syar.g_00956	Prbl.g_00129
OG0000209	Syar.g_00936, Syar.g_03261	Prbl.g_01256
OG0000210	Syar.g_03260, Syar.g_00935	Prbl.g_01257
OG0000211	Syar.g_03026	Prbl.g_01922
OG0000212	Syar.g_03017	Prbl.g_00192
OG0000213	Syar.g_00187	Prbl.g_01496
OG0000214	Syar.g_00209	Prbl.g_01469
OG0000215	Syar.g_00239	Prbl.g_01439
OG0000216	Syar.g_00244	Prbl.g_01436
OG0000217	Syar.g_00854	Prbl.g_01432
OG0000218	Syar.g_00852	Prbl.g_01428
OG0000219	Syar.g_00851	Prbl.g_01427
OG0000220	Syar.g_00850, Syar.g_02026	Prbl.g_01426
OG0000221	Syar.g_00834	Prbl.g_01421
OG0000222	Syar.g_02119, Syar.g_00728	Prbl.g_00911
OG0000223	Syar.g_00649	Prbl.g_00888
OG0000224	Syar.g_00273, Syar.g_00762	Prbl.g_00877
OG0000225	Syar.g_01142	Prbl.g_01218
OG0000226	Syar.g_01146	Prbl.g_01222
OG0000227	Syar.g_01148	Prbl.g_01224
OG0000228	Syar.g_01161	Prbl.g_02673
OG0000229	Syar.g_01177, Syar.g_03273	Prbl.g_00652
OG0000230	Syar.g_01179	Prbl.g_00650
OG0000231	Syar.g_02865, Syar.g_03151	Prbl.g_00635
OG0000232	Syar.g_01424	Prbl.g_00619
OG0000233	Syar.g_03183, Syar.g_01247	Prbl.g_01360
OG0000234	Syar.g_01275	Prbl.g_01339
OG0000235	Syar.g_01468	Prbl.g_00510
OG0000236	Syar.g_01484, Syar.g_03311	Prbl.g_00526
OG0000237	Syar.g_01503	Prbl.g_00800
OG0000238	Syar.g_01508	Prbl.g_00795
OG0000239	Syar.g_03277, Syar.g_02687	Prbl.g_00779
OG0000240	Syar.g_02686, Syar.g_03278	Prbl.g_00778
OG0000241	Syar.g_02410	Prbl.g_01526
OG0000242	Syar.g_01926	Prbl.g_00768
OG0000243	Syar.g_02335	Prbl.g_02647
OG0000244	Syar.g_02327	Prbl.g_01879
OG0000245	Syar.g_02325, Syar.g_03238	Prbl.g_01882
OG0000246	Syar.g_02321	Prbl.g_01886
OG0000247	Syar.g_02310	Prbl.g_01897
OG0000248	Syar.g_02307, Syar.g_03293	Prbl.g_01900
OG0000249	Syar.g_02305	Prbl.g_01902
OG0000250	Syar.g_02299	Prbl.g_01799
OG0000251	Syar.g_03207, Syar.g_02194	Prbl.g_01775
OG0000252	Syar.g_02189, Syar.g_03263	Prbl.g_01772
OG0000253	Syar.g_03229, Syar.g_02028	Prbl.g_01766
OG0000254	Syar.g_02169	Prbl.g_01747
OG0000255	Syar.g_02224	Prbl.g_01612
OG0000256	Syar.g_02244	Prbl.g_01626
OG0000257	Syar.g_02407, Syar.g_01762	Prbl.g_01632
OG0000258	Syar.g_00010, Syar.g_02427	Prbl.g_01655
OG0000259	Syar.g_02472	Prbl.g_01406
OG0000260	Syar.g_03220, Syar.g_02475	Prbl.g_01403
OG0000261	Syar.g_01916	Prbl.g_01400
OG0000262	Syar.g_01690	Prbl.g_01395
OG0000263	Syar.g_01991	Prbl.g_01242
OG0000264	Syar.g_02135, Syar.g_03267	Prbl.g_01859
OG0000266	Syar.g_01570	Prbl.g_02556
OG0000267	Syar.g_01873	Prbl.g_02431
OG0000268	Syar.g_02589	Prbl.g_02432
OG0000269	Syar.g_02634	Prbl.g_02340
OG0000270	Syar.g_00744, Syar.g_02637	Prbl.g_02337
OG0000271	Syar.g_02645	Prbl.g_02329
OG0000272	Syar.g_02646	Prbl.g_02328
OG0000273	Syar.g_00008	Prbl.g_01534
OG0000274	Syar.g_02482	Prbl.g_01535
OG0000275	Syar.g_01810	Prbl.g_01538
OG0000276	Syar.g_01817	Prbl.g_01544
OG0000277	Syar.g_03242, Syar.g_01818	Prbl.g_01545
OG0000278	Syar.g_01821, Syar.g_03174	Prbl.g_01548
OG0000279	Syar.g_01838	Prbl.g_01556
OG0000280	Syar.g_02067, Syar.g_00734	Prbl.g_01562
OG0000281	Syar.g_02218	Prbl.g_01577
OG0000282	Syar.g_03255, Syar.g_01614	Prbl.g_02405
OG0000283	Syar.g_02574	Prbl.g_02443
OG0000284	Syar.g_02568	Prbl.g_02449
OG0000285	Syar.g_02560	Prbl.g_01688
OG0000286	Syar.g_02540	Prbl.g_02477
OG0000287	Syar.g_02512	Prbl.g_02608
OG0000288	Syar.g_01801	Prbl.g_02531
OG0000289	Syar.g_01786	Prbl.g_02544
OG0000290	Syar.g_01928	Prbl.g_00930
OG0000291	Syar.g_01930	Prbl.g_00928
OG0000292	Syar.g_00463	Prbl.g_02128
OG0000293	Syar.g_01526, Syar.g_03297	Prbl.g_02071
OG0000294	Syar.g_01527, Syar.g_03296	Prbl.g_02072
OG0000295	Syar.g_01951, Syar.g_03208	Prbl.g_00178
OG0000296	Syar.g_01953	Prbl.g_00180
OG0000297	Syar.g_03216	Prbl.g_01382
OG0000298	Syar.g_01968, Syar.g_03215	Prbl.g_01383
OG0000299	Syar.g_01704	Prbl.g_01372
OG0000300	Syar.g_01646	Prbl.g_02582
OG0000301	Syar.g_01712	Prbl.g_02583
OG0000302	Syar.g_01713	Prbl.g_02586
OG0000303	Syar.g_03136, Syar.g_01723	Prbl.g_00187
OG0000304	Syar.g_01728	Prbl.g_01102
OG0000305	Syar.g_01933, Syar.g_03163	Prbl.g_00926
OG0000306	Syar.g_01884	Prbl.g_01586
OG0000307	Syar.g_01452, Syar.g_03153	Prbl.g_00494
OG0000308	Syar.g_01450	Prbl.g_00492
OG0000309	Syar.g_01239	Prbl.g_00488
OG0000310	Syar.g_02826	Prbl.g_00160
OG0000311	Syar.g_02823	Prbl.g_00258
OG0000312	Syar.g_00015, Syar.g_02818	Prbl.g_00254
OG0000313	Syar.g_02804	Prbl.g_00230
OG0000314	Syar.g_01403	Prbl.g_00699
OG0000315	Syar.g_01393	Prbl.g_00709
OG0000316	Syar.g_02885	Prbl.g_00441
OG0000317	Syar.g_02926	Prbl.g_00399
OG0000318	Syar.g_02930	Prbl.g_00393
OG0000319	Syar.g_02954	Prbl.g_00376
OG0000320	Syar.g_02956	Prbl.g_00374
OG0000321	Syar.g_02957	Prbl.g_00373
OG0000322	Syar.g_02958	Prbl.g_00372
OG0000323	Syar.g_02973	Prbl.g_00361
OG0000324	Syar.g_00350, Syar.g_03001	Prbl.g_00332
OG0000325	Syar.g_03291, Syar.g_00148	Prbl.g_02683
