Orthogroup	Syak	Syae
OG0000493	Syak.g_01514	Syae.g_01924
OG0000494	Syak.g_01515	Syae.g_01923
OG0000495	Syak.g_01516	Syae.g_01922
OG0000496	Syak.g_01517	Syae.g_01921
OG0000497	Syak.g_01518	Syae.g_01920
OG0000498	Syak.g_01519	Syae.g_01919
OG0000499	Syak.g_01520	Syae.g_01918
OG0000500	Syak.g_01521	Syae.g_01917
OG0000501	Syak.g_01524	Syae.g_01914
OG0000502	Syak.g_01538	Syae.g_01902
OG0000503	Syak.g_01246	Syae.g_02192
OG0000504	Syak.g_01244	Syae.g_02194
OG0000505	Syak.g_01243	Syae.g_02195
OG0000506	Syak.g_01241	Syae.g_02197
OG0000507	Syak.g_01235	Syae.g_02203
OG0000508	Syak.g_01231	Syae.g_02207
OG0000509	Syak.g_01229	Syae.g_02209
OG0000510	Syak.g_01228	Syae.g_02210
OG0000511	Syak.g_01227	Syae.g_02211
OG0000512	Syak.g_01225	Syae.g_02213
OG0000513	Syak.g_01211	Syae.g_02223
OG0000514	Syak.g_01204	Syae.g_02229
OG0000515	Syak.g_01203	Syae.g_02230
OG0000516	Syak.g_01199	Syae.g_01000
OG0000517	Syak.g_01192	Syae.g_00995
OG0000518	Syak.g_01180	Syae.g_00983
OG0000519	Syak.g_01179	Syae.g_00982
OG0000520	Syak.g_01178	Syae.g_00981
OG0000521	Syak.g_01167	Syae.g_02491
OG0000522	Syak.g_01163	Syae.g_02493
OG0000523	Syak.g_01162	Syae.g_02494
OG0000524	Syak.g_01149	Syae.g_02501
OG0000525	Syak.g_01130	Syae.g_02520
OG0000526	Syak.g_01127	Syae.g_02523
OG0000527	Syak.g_01120	Syae.g_02528
OG0000528	Syak.g_02570	Syae.g_02304
OG0000529	Syak.g_02575	Syae.g_02310
OG0000530	Syak.g_02578	Syae.g_02313
OG0000531	Syak.g_02579	Syae.g_02314
OG0000532	Syak.g_02582	Syae.g_02317
OG0000533	Syak.g_02584	Syae.g_02318
OG0000534	Syak.g_02585	Syae.g_02319
OG0000535	Syak.g_02586	Syae.g_02320
OG0000536	Syak.g_02587	Syae.g_02321
OG0000537	Syak.g_02588	Syae.g_02322
OG0000538	Syak.g_02600	Syae.g_02333
OG0000539	Syak.g_02601	Syae.g_02334
