Orthogroup	Syak	Syaf
OG0000349	Syak.g_01740	Syaf.g_00445
OG0000350	Syak.g_01377	Syaf.g_00162
OG0000351	Syak.g_01823	Syaf.g_00528
OG0000352	Syak.g_01822	Syaf.g_00527
OG0000353	Syak.g_01796	Syaf.g_00499
OG0000354	Syak.g_02618	Syaf.g_02680
OG0000354	Syak.g_01775	Syaf.g_00479
OG0000355	Syak.g_01793	Syaf.g_00497
OG0000356	Syak.g_01792	Syaf.g_00496
OG0000357	Syak.g_01791	Syaf.g_00495
OG0000358	Syak.g_01787	Syaf.g_00491
OG0000359	Syak.g_01785	Syaf.g_00489
OG0000360	Syak.g_01784	Syaf.g_00488
OG0000361	Syak.g_01783	Syaf.g_00487
OG0000362	Syak.g_01781	Syaf.g_00485
OG0000363	Syak.g_01779	Syaf.g_00483
OG0000364	Syak.g_01778	Syaf.g_00482
OG0000365	Syak.g_01769	Syaf.g_00473
OG0000366	Syak.g_01768	Syaf.g_00472
OG0000367	Syak.g_01767	Syaf.g_00471
OG0000368	Syak.g_01765	Syaf.g_00469
OG0000369	Syak.g_01764	Syaf.g_00468
OG0000370	Syak.g_01763	Syaf.g_00467
OG0000371	Syak.g_01753	Syaf.g_00458
OG0000372	Syak.g_01748	Syaf.g_00453
OG0000373	Syak.g_01747	Syaf.g_00452
OG0000374	Syak.g_01746	Syaf.g_00451
OG0000375	Syak.g_01744	Syaf.g_00449
OG0000376	Syak.g_01742	Syaf.g_00447
OG0000377	Syak.g_01948	Syaf.g_00654
OG0000378	Syak.g_01968	Syaf.g_00668
OG0000379	Syak.g_01972	Syaf.g_00686
OG0000380	Syak.g_02256	Syaf.g_00965
OG0000381	Syak.g_02254	Syaf.g_00962
OG0000382	Syak.g_02236	Syaf.g_00945
OG0000383	Syak.g_02229	Syaf.g_00941
OG0000384	Syak.g_02228	Syaf.g_00940
OG0000385	Syak.g_02227	Syaf.g_00939
OG0000386	Syak.g_02226	Syaf.g_00938
OG0000387	Syak.g_02200	Syaf.g_00912
OG0000388	Syak.g_02196	Syaf.g_00908
OG0000389	Syak.g_02193, Syak.g_02345	Syaf.g_00904
OG0000390	Syak.g_02177	Syaf.g_00883
OG0000391	Syak.g_02172	Syaf.g_00878
OG0000392	Syak.g_02166	Syaf.g_00872
OG0000393	Syak.g_02163	Syaf.g_00870
OG0000394	Syak.g_02162	Syaf.g_00869
OG0000395	Syak.g_02161	Syaf.g_00868
OG0000396	Syak.g_02158	Syaf.g_00865
OG0000397	Syak.g_02156	Syaf.g_00863
OG0000398	Syak.g_02151	Syaf.g_00858
OG0000399	Syak.g_02150	Syaf.g_00857
OG0000400	Syak.g_02149	Syaf.g_00856
OG0000401	Syak.g_02148	Syaf.g_00855
OG0000402	Syak.g_02146	Syaf.g_00852
OG0000403	Syak.g_02145	Syaf.g_00851
OG0000404	Syak.g_02143	Syaf.g_00850
OG0000405	Syak.g_02131	Syaf.g_00835
OG0000406	Syak.g_02126	Syaf.g_00831
OG0000407	Syak.g_02125	Syaf.g_00830
OG0000408	Syak.g_02123	Syaf.g_00828
OG0000409	Syak.g_02121	Syaf.g_00826
OG0000410	Syak.g_02120	Syaf.g_00825
OG0000411	Syak.g_02119	Syaf.g_00824
OG0000412	Syak.g_02118	Syaf.g_00823
OG0000413	Syak.g_02116	Syaf.g_00821
OG0000415	Syak.g_02114	Syaf.g_00819
OG0000416	Syak.g_02113	Syaf.g_00818
OG0000417	Syak.g_02112	Syaf.g_00817
OG0000418	Syak.g_02107	Syaf.g_00812
OG0000419	Syak.g_02105	Syaf.g_00810
OG0000420	Syak.g_02103	Syaf.g_00808
OG0000421	Syak.g_02097	Syaf.g_00803
OG0000422	Syak.g_02096	Syaf.g_00802
OG0000423	Syak.g_02095	Syaf.g_00801
OG0000424	Syak.g_02094	Syaf.g_00800
OG0000425	Syak.g_02093	Syaf.g_00799
OG0000426	Syak.g_02092	Syaf.g_00798
OG0000427	Syak.g_02091	Syaf.g_00797
OG0000428	Syak.g_02088	Syaf.g_00794
OG0000429	Syak.g_02086	Syaf.g_00792
OG0000430	Syak.g_02084	Syaf.g_00790
OG0000431	Syak.g_02081	Syaf.g_00786
OG0000432	Syak.g_02075	Syaf.g_00779
OG0000433	Syak.g_02073	Syaf.g_00777
OG0000434	Syak.g_02072	Syaf.g_00776
OG0000435	Syak.g_02071	Syaf.g_00772
OG0000436	Syak.g_02064	Syaf.g_00767
OG0000437	Syak.g_02063	Syaf.g_00766
OG0000438	Syak.g_02062	Syaf.g_00765
OG0000439	Syak.g_02060	Syaf.g_00763
OG0000440	Syak.g_02059	Syaf.g_00762
OG0000441	Syak.g_02053	Syaf.g_00756
OG0000442	Syak.g_02043	Syaf.g_00743
OG0000443	Syak.g_02041	Syaf.g_00739
OG0000444	Syak.g_02022	Syaf.g_00733
OG0000445	Syak.g_02015	Syaf.g_00729
OG0000446	Syak.g_02013	Syaf.g_00728
