Orthogroup	Syak	Prbc
OG0000307	Syak.g_02556	Prbc.g_00666
OG0000308	Syak.g_02554	Prbc.g_00667
OG0000309	Syak.g_02549	Prbc.g_00671
OG0000310	Syak.g_00994	Prbc.g_00693
OG0000311	Syak.g_00999	Prbc.g_00695
OG0000312	Syak.g_01028	Prbc.g_00698
OG0000313	Syak.g_01046	Prbc.g_00713
OG0000314	Syak.g_01079	Prbc.g_00734
OG0000315	Syak.g_01090	Prbc.g_00744
OG0000316	Syak.g_02462	Prbc.g_00768
OG0000317	Syak.g_02419	Prbc.g_00830
OG0000318	Syak.g_02415	Prbc.g_00833
OG0000319	Syak.g_02399	Prbc.g_00844
OG0000320	Syak.g_02397	Prbc.g_00846
OG0000321	Syak.g_02396	Prbc.g_00847
OG0000322	Syak.g_02395	Prbc.g_00848
OG0000323	Syak.g_02380	Prbc.g_00857
OG0000324	Syak.g_02347	Prbc.g_00884
OG0000325	Syak.g_01391	Prbc.g_00935
OG0000326	Syak.g_01384	Prbc.g_00941
OG0000327	Syak.g_01350	Prbc.g_00326
OG0000328	Syak.g_01349	Prbc.g_00325
OG0000329	Syak.g_01331	Prbc.g_00308
OG0000330	Syak.g_01330	Prbc.g_00307
OG0000331	Syak.g_01329	Prbc.g_00306
OG0000332	Syak.g_01314	Prbc.g_00292
OG0000333	Syak.g_01311	Prbc.g_00290
OG0000334	Syak.g_01302	Prbc.g_00281
OG0000335	Syak.g_01298	Prbc.g_00276
OG0000336	Syak.g_01294	Prbc.g_00272
OG0000337	Syak.g_01555	Prbc.g_00241
OG0000338	Syak.g_01558	Prbc.g_00240
OG0000339	Syak.g_01566	Prbc.g_00235
OG0000340	Syak.g_01626	Prbc.g_00226
OG0000341	Syak.g_01628	Prbc.g_00224
OG0000342	Syak.g_01629	Prbc.g_00223
OG0000343	Syak.g_01631	Prbc.g_00222
OG0000344	Syak.g_01635	Prbc.g_00219
OG0000345	Syak.g_01645	Prbc.g_00214
OG0000346	Syak.g_01651	Prbc.g_00210
OG0000347	Syak.g_01694	Prbc.g_00190
OG0000348	Syak.g_01717	Prbc.g_00970
OG0000349	Syak.g_01740	Prbc.g_00988
OG0000350	Syak.g_01377	Prbc.g_01009
OG0000351	Syak.g_01823	Prbc.g_01047
OG0000352	Syak.g_01822	Prbc.g_01048
OG0000353	Syak.g_01796	Prbc.g_01068
OG0000355	Syak.g_01793	Prbc.g_01071
OG0000356	Syak.g_01792	Prbc.g_01072
OG0000357	Syak.g_01791	Prbc.g_01073
OG0000358	Syak.g_01787	Prbc.g_01077
OG0000359	Syak.g_01785	Prbc.g_01078
