Orthogroup	Pram	Syaq
OG0000196	Pram.g_00146	Syaq.g_01407
OG0000197	Pram.g_00147	Syaq.g_01406
OG0000198	Pram.g_00148	Syaq.g_01405
OG0000199	Pram.g_00155	Syaq.g_01398
OG0000200	Pram.g_00168	Syaq.g_01382
OG0000201	Pram.g_00177	Syaq.g_01365
OG0000202	Pram.g_00178	Syaq.g_01364
OG0000203	Pram.g_00179	Syaq.g_01363
OG0000204	Pram.g_00180	Syaq.g_01362
OG0000205	Pram.g_00187	Syaq.g_01355
OG0000206	Pram.g_00192	Syaq.g_01345
OG0000207	Pram.g_00194	Syaq.g_01338
OG0000208	Pram.g_00195	Syaq.g_01337
OG0000209	Pram.g_00204	Syaq.g_01310
OG0000210	Pram.g_00205	Syaq.g_01309
OG0000211	Pram.g_00220	Syaq.g_01570
OG0000212	Pram.g_00228	Syaq.g_01586
OG0000213	Pram.g_00246	Syaq.g_00729
OG0000214	Pram.g_00255	Syaq.g_00745
OG0000215	Pram.g_00282	Syaq.g_00777
OG0000216	Pram.g_00283	Syaq.g_00781
OG0000217	Pram.g_00286	Syaq.g_00844
OG0000218	Pram.g_00288	Syaq.g_00846
OG0000219	Pram.g_00289	Syaq.g_00847
OG0000220	Pram.g_00290	Syaq.g_00848
OG0000221	Pram.g_00291	Syaq.g_00856
OG0000222	Pram.g_00298	Syaq.g_00868
OG0000223	Pram.g_00311	Syaq.g_00946
OG0000224	Pram.g_00313	Syaq.g_00950
OG0000225	Pram.g_00341	Syaq.g_00543
OG0000226	Pram.g_00345	Syaq.g_00536
OG0000227	Pram.g_00347	Syaq.g_00534
OG0000228	Pram.g_00351	Syaq.g_00531
OG0000229	Pram.g_00371	Syaq.g_00501
OG0000230	Pram.g_00373	Syaq.g_00499
OG0000231	Pram.g_00384	Syaq.g_00485
OG0000232	Pram.g_00397	Syaq.g_00472
OG0000233	Pram.g_00402	Syaq.g_00464
OG0000234	Pram.g_00412	Syaq.g_00440
OG0000235	Pram.g_00415	Syaq.g_01771
OG0000236	Pram.g_00429	Syaq.g_01787
OG0000237	Pram.g_00443	Syaq.g_01805
OG0000238	Pram.g_00449	Syaq.g_01810
OG0000239	Pram.g_00462	Syaq.g_01826
OG0000240	Pram.g_00463	Syaq.g_01827
OG0000241	Pram.g_00468	Syaq.g_02074
OG0000242	Pram.g_00470	Syaq.g_01836
OG0000243	Pram.g_00480	Syaq.g_01922
OG0000244	Pram.g_00483	Syaq.g_01928
OG0000245	Pram.g_00485	Syaq.g_01930
