Orthogroup	Praa	Syas
OG0000460	Praa.g_00235	Syas.g_02554
OG0000461	Praa.g_00242	Syas.g_01686
OG0000462	Praa.g_00244	Syas.g_01688
OG0000463	Praa.g_00245	Syas.g_01689
OG0000464	Praa.g_00246	Syas.g_01690
OG0000465	Praa.g_00247	Syas.g_01692
OG0000466	Praa.g_00250	Syas.g_01697
OG0000467	Praa.g_00251	Syas.g_01698
OG0000468	Praa.g_00253	Syas.g_01703
OG0000469	Praa.g_00262	Syas.g_01725
OG0000470	Praa.g_00264	Syas.g_01727
OG0000471	Praa.g_00265	Syas.g_01728
OG0000472	Praa.g_00266	Syas.g_01729
OG0000473	Praa.g_00268	Syas.g_01731
OG0000474	Praa.g_00269	Syas.g_01732
OG0000475	Praa.g_00270	Syas.g_01733
OG0000476	Praa.g_00271	Syas.g_01735
OG0000477	Praa.g_00275	Syas.g_01740
OG0000478	Praa.g_00276	Syas.g_01741
OG0000479	Praa.g_00277	Syas.g_01749
OG0000480	Praa.g_00282	Syas.g_01756
OG0000481	Praa.g_00284	Syas.g_00161, Syas.g_00162
OG0000482	Praa.g_00285	Syas.g_01758
OG0000483	Praa.g_00288	Syas.g_01762
OG0000484	Praa.g_00289	Syas.g_01763
OG0000485	Praa.g_00290	Syas.g_01764
OG0000486	Praa.g_00291	Syas.g_01765
OG0000487	Praa.g_00295	Syas.g_01771
OG0000488	Praa.g_00298	Syas.g_01779
OG0000489	Praa.g_00303	Syas.g_01823
OG0000490	Praa.g_00308	Syas.g_01808
OG0000491	Praa.g_00309	Syas.g_01806
OG0000492	Praa.g_00311	Syas.g_01803
OG0000493	Praa.g_00312	Syas.g_01802
OG0000494	Praa.g_00313	Syas.g_01801
OG0000495	Praa.g_00314	Syas.g_01799
OG0000496	Praa.g_00315	Syas.g_01798
OG0000497	Praa.g_00316	Syas.g_01797
OG0000498	Praa.g_00317	Syas.g_01796
OG0000499	Praa.g_00318	Syas.g_01795
OG0000500	Praa.g_00319	Syas.g_01794
OG0000501	Praa.g_00321	Syas.g_01791
OG0000502	Praa.g_00324	Syas.g_02216
OG0000503	Praa.g_00334	Syas.g_01541
OG0000504	Praa.g_00335	Syas.g_01539
