Orthogroup	Praz	Prai
OG0000404	Praz.g_00498	Prai.g_00138
OG0000405	Praz.g_00502	Prai.g_00142
OG0000406	Praz.g_00507	Prai.g_00158
OG0000407	Praz.g_00508	Prai.g_00159
OG0000408	Praz.g_00510	Prai.g_00161
OG0000409	Praz.g_00512	Prai.g_00163
OG0000410	Praz.g_00513	Prai.g_00164
OG0000411	Praz.g_00514	Prai.g_00165
OG0000412	Praz.g_00515	Prai.g_00166
OG0000413	Praz.g_00516	Prai.g_00167
OG0000414	Praz.g_00517	Prai.g_00168
OG0000415	Praz.g_00518	Prai.g_00169
OG0000416	Praz.g_00519	Prai.g_00170
OG0000417	Praz.g_00520	Prai.g_00171
OG0000418	Praz.g_00525	Prai.g_00176
OG0000419	Praz.g_00527	Prai.g_00178
OG0000420	Praz.g_00528	Prai.g_00179
OG0000421	Praz.g_00533	Prai.g_00184
OG0000422	Praz.g_00534	Prai.g_00185
OG0000423	Praz.g_00535	Prai.g_00186
OG0000424	Praz.g_00536	Prai.g_00187
OG0000425	Praz.g_00537	Prai.g_00188
OG0000426	Praz.g_00538	Prai.g_00189
OG0000427	Praz.g_00539	Prai.g_00190
OG0000428	Praz.g_00541	Prai.g_00192
OG0000429	Praz.g_00542	Prai.g_00193
OG0000430	Praz.g_00543	Prai.g_00194
OG0000431	Praz.g_00545	Prai.g_00196
OG0000432	Praz.g_00548	Prai.g_00199
OG0000433	Praz.g_00549	Prai.g_00200
OG0000434	Praz.g_00550	Prai.g_00201
OG0000435	Praz.g_00551	Prai.g_00202
OG0000436	Praz.g_00556	Prai.g_00207
OG0000437	Praz.g_00557	Prai.g_00208
OG0000438	Praz.g_00558	Prai.g_00209
OG0000439	Praz.g_00560	Prai.g_00211
OG0000440	Praz.g_00561	Prai.g_00212
OG0000441	Praz.g_00564	Prai.g_00215
OG0000442	Praz.g_00565	Prai.g_00216
OG0000443	Praz.g_00566	Prai.g_00217
OG0000444	Praz.g_00571	Prai.g_00222
OG0000445	Praz.g_00572	Prai.g_00223
OG0000446	Praz.g_00573	Prai.g_00224
OG0000447	Praz.g_00574	Prai.g_00225
OG0000448	Praz.g_00575	Prai.g_00226
OG0000449	Praz.g_00576	Prai.g_00227
OG0000450	Praz.g_00577	Prai.g_00228
OG0000451	Praz.g_00578	Prai.g_00229
OG0000452	Praz.g_00581	Prai.g_00232
OG0000453	Praz.g_00582	Prai.g_00233
OG0000454	Praz.g_00583	Prai.g_00234
OG0000455	Praz.g_00584	Prai.g_00235
OG0000456	Praz.g_00585	Prai.g_00236
OG0000457	Praz.g_00586	Prai.g_00237
OG0000458	Praz.g_00587	Prai.g_00238
OG0000459	Praz.g_00588	Prai.g_00239
OG0000460	Praz.g_00595	Prai.g_00246
OG0000461	Praz.g_00602	Prai.g_00255
OG0000462	Praz.g_00604	Prai.g_00257
OG0000463	Praz.g_00605	Prai.g_00258
OG0000464	Praz.g_00606	Prai.g_00259
OG0000465	Praz.g_00607	Prai.g_00260
OG0000466	Praz.g_00610	Prai.g_00263
OG0000467	Praz.g_00611	Prai.g_00264
OG0000468	Praz.g_00613	Prai.g_00266
OG0000469	Praz.g_00621	Prai.g_00275
OG0000470	Praz.g_00623	Prai.g_00277
OG0000471	Praz.g_00624	Prai.g_00278
OG0000472	Praz.g_00625	Prai.g_00279
OG0000473	Praz.g_00627	Prai.g_00281
OG0000474	Praz.g_00628	Prai.g_00282
OG0000475	Praz.g_00629	Prai.g_00283
OG0000476	Praz.g_00630	Prai.g_00284
OG0000477	Praz.g_00633	Prai.g_00288
OG0000478	Praz.g_00634	Prai.g_00289
OG0000479	Praz.g_00635	Prai.g_00290
OG0000480	Praz.g_00640	Prai.g_00295
OG0000481	Praz.g_00642	Prai.g_00297
OG0000482	Praz.g_00643	Prai.g_00298
OG0000483	Praz.g_00646	Prai.g_00301
OG0000484	Praz.g_00647	Prai.g_00302
OG0000485	Praz.g_00648	Prai.g_00303
OG0000486	Praz.g_00649	Prai.g_00304
OG0000487	Praz.g_00652	Prai.g_00308
OG0000488	Praz.g_00655	Prai.g_00311
OG0000489	Praz.g_00660	Prai.g_00316
