Orthogroup	Syal	Prae
OG0000470	Syal.g_01242	Prae.g_00267
OG0000471	Syal.g_01243	Prae.g_00268
OG0000472	Syal.g_01245	Prae.g_00269
OG0000473	Syal.g_01247	Prae.g_00271
OG0000474	Syal.g_01248	Prae.g_00272
OG0000475	Syal.g_01249	Prae.g_00273
OG0000476	Syal.g_01251	Prae.g_00274
OG0000477	Syal.g_01257	Prae.g_00276
OG0000478	Syal.g_01258	Prae.g_00277
OG0000479	Syal.g_01259	Prae.g_00278
OG0000480	Syal.g_01266	Prae.g_00283
OG0000481	Syal.g_01268	Prae.g_00285
OG0000482	Syal.g_01269	Prae.g_00286
OG0000483	Syal.g_01273	Prae.g_00289
OG0000484	Syal.g_01274	Prae.g_00290
OG0000485	Syal.g_01275	Prae.g_00291
OG0000486	Syal.g_01276	Prae.g_00292
OG0000487	Syal.g_01282	Prae.g_00296
OG0000488	Syal.g_01286	Prae.g_00299
OG0000489	Syal.g_01298	Prae.g_00304
OG0000490	Syal.g_01307	Prae.g_00309
OG0000491	Syal.g_01308	Prae.g_00310
OG0000492	Syal.g_01310	Prae.g_00312
OG0000493	Syal.g_01311	Prae.g_00313
OG0000494	Syal.g_01312	Prae.g_00314
OG0000495	Syal.g_01313	Prae.g_00315
OG0000496	Syal.g_01314	Prae.g_00316
OG0000497	Syal.g_01315	Prae.g_00317
OG0000498	Syal.g_01316	Prae.g_00318
OG0000499	Syal.g_01317	Prae.g_00319
OG0000500	Syal.g_01318	Prae.g_00320
OG0000501	Syal.g_01321	Prae.g_00322
OG0000502	Syal.g_01328	Prae.g_00325
OG0000503	Syal.g_00347	Prae.g_00335
OG0000504	Syal.g_00349	Prae.g_00336
OG0000505	Syal.g_00350	Prae.g_00337
OG0000506	Syal.g_00352	Prae.g_00338
OG0000507	Syal.g_00358	Prae.g_00341
OG0000508	Syal.g_00362	Prae.g_00344
OG0000509	Syal.g_00364	Prae.g_00346
OG0000510	Syal.g_00365	Prae.g_00347
OG0000511	Syal.g_00366	Prae.g_00348
OG0000512	Syal.g_00368	Prae.g_00350
OG0000513	Syal.g_00551	Prae.g_00357
OG0000514	Syal.g_00539	Prae.g_00405
OG0000515	Syal.g_00538	Prae.g_00406
OG0000516	Syal.g_00534	Prae.g_00407
OG0000517	Syal.g_00526	Prae.g_00409
OG0000518	Syal.g_00514	Prae.g_00420
OG0000519	Syal.g_00513	Prae.g_00421
OG0000520	Syal.g_00512	Prae.g_00422
OG0000521	Syal.g_00502	Prae.g_00427
OG0000522	Syal.g_00500	Prae.g_00429
OG0000523	Syal.g_00499	Prae.g_00430
OG0000524	Syal.g_00491	Prae.g_00435
OG0000525	Syal.g_00473	Prae.g_00438
OG0000526	Syal.g_00471	Prae.g_00439
OG0000527	Syal.g_00465	Prae.g_00447
OG0000528	Syal.g_02893	Prae.g_00452
OG0000529	Syal.g_02898	Prae.g_00455
OG0000530	Syal.g_02901	Prae.g_00458
OG0000531	Syal.g_02902	Prae.g_00459
OG0000532	Syal.g_02905	Prae.g_00461
OG0000533	Syal.g_02907	Prae.g_00462
OG0000534	Syal.g_02908	Prae.g_00463
OG0000535	Syal.g_02909	Prae.g_00464
OG0000536	Syal.g_02910	Prae.g_00465
OG0000537	Syal.g_02911	Prae.g_00466
OG0000538	Syal.g_02923	Prae.g_00474
OG0000539	Syal.g_02924	Prae.g_00475
OG0000540	Syal.g_02925	Prae.g_00476
OG0000541	Syal.g_02926	Prae.g_00477
OG0000542	Syal.g_02929	Prae.g_00479
OG0000543	Syal.g_02931	Prae.g_00481
OG0000544	Syal.g_02932	Prae.g_00482
OG0000545	Syal.g_02934	Prae.g_00484
OG0000546	Syal.g_02936	Prae.g_00487
OG0000547	Syal.g_02938	Prae.g_00489
OG0000548	Syal.g_02939	Prae.g_00490
OG0000549	Syal.g_02945	Prae.g_00492
OG0000550	Syal.g_02949	Prae.g_00497
OG0000551	Syal.g_02953	Prae.g_00501
OG0000552	Syal.g_02954	Prae.g_00502
OG0000553	Syal.g_02843	Prae.g_00503
OG0000554	Syal.g_02837	Prae.g_00509
OG0000555	Syal.g_02823	Prae.g_00517
OG0000556	Syal.g_02819	Prae.g_00519
OG0000557	Syal.g_02816	Prae.g_00520
OG0000558	Syal.g_02814	Prae.g_00522
OG0000559	Syal.g_02305, Syal.g_02810	Prae.g_00526
OG0000560	Syal.g_02807	Prae.g_00529
OG0000561	Syal.g_02806	Prae.g_00530
OG0000562	Syal.g_02805	Prae.g_00531
OG0000563	Syal.g_02804	Prae.g_00532
OG0000564	Syal.g_02803	Prae.g_00533
OG0000565	Syal.g_02799	Prae.g_00536
OG0000566	Syal.g_02795	Prae.g_00538
OG0000567	Syal.g_02791	Prae.g_00542
OG0000568	Syal.g_02789	Prae.g_00543
OG0000569	Syal.g_02788	Prae.g_00544
OG0000570	Syal.g_02787	Prae.g_00545
OG0000571	Syal.g_02784	Prae.g_00547
OG0000572	Syal.g_02767	Prae.g_00560
OG0000573	Syal.g_02759	Prae.g_00566
OG0000574	Syal.g_02758	Prae.g_00567
OG0000575	Syal.g_02753	Prae.g_00571
OG0000576	Syal.g_02751	Prae.g_00573
OG0000577	Syal.g_02750	Prae.g_00574
OG0000578	Syal.g_02749	Prae.g_00575
OG0000579	Syal.g_02748	Prae.g_00576
OG0000580	Syal.g_02747	Prae.g_00577
OG0000581	Syal.g_02741	Prae.g_00579
OG0000582	Syal.g_02736	Prae.g_00582
OG0000583	Syal.g_02735	Prae.g_00583
OG0000584	Syal.g_02734	Prae.g_00584
