Orthogroup	Prbd	Pram
OG0000216	Prbd.g_00945	Pram.g_00283
OG0000217	Prbd.g_00942	Pram.g_00286
OG0000218	Prbd.g_00940	Pram.g_00288
OG0000219	Prbd.g_00939	Pram.g_00289
OG0000220	Prbd.g_00938	Pram.g_00290
OG0000221	Prbd.g_00937	Pram.g_00291
OG0000222	Prbd.g_00929	Pram.g_00298
OG0000223	Prbd.g_00916	Pram.g_00311
OG0000224	Prbd.g_00914	Pram.g_00313
OG0000225	Prbd.g_00893	Pram.g_00341
OG0000226	Prbd.g_00889	Pram.g_00345
OG0000227	Prbd.g_00887	Pram.g_00347
OG0000228	Prbd.g_00884	Pram.g_00351
OG0000229	Prbd.g_00806	Pram.g_00371
OG0000230	Prbd.g_00804	Pram.g_00373
OG0000231	Prbd.g_00793	Pram.g_00384
OG0000232	Prbd.g_00784	Pram.g_00397
OG0000233	Prbd.g_00779	Pram.g_00402
OG0000234	Prbd.g_00766	Pram.g_00412
OG0000235	Prbd.g_00763	Pram.g_00415
OG0000236	Prbd.g_00749	Pram.g_00429
OG0000237	Prbd.g_00736	Pram.g_00443
OG0000238	Prbd.g_00730	Pram.g_00449
OG0000239	Prbd.g_00717	Pram.g_00462
OG0000240	Prbd.g_00716	Pram.g_00463
OG0000241	Prbd.g_00712	Pram.g_00468
OG0000242	Prbd.g_00710	Pram.g_00470
OG0000243	Prbd.g_00699	Pram.g_00480
OG0000244	Prbd.g_00696	Pram.g_00483
OG0000245	Prbd.g_00694	Pram.g_00485
OG0000246	Prbd.g_00690	Pram.g_00489
OG0000247	Prbd.g_00680	Pram.g_00500
OG0000248	Prbd.g_00678	Pram.g_00503
OG0000249	Prbd.g_00676	Pram.g_00505
OG0000250	Prbd.g_00671	Pram.g_00510
OG0000251	Prbd.g_00653	Pram.g_00528
OG0000252	Prbd.g_00650	Pram.g_00531
OG0000253	Prbd.g_00649	Pram.g_00532
OG0000254	Prbd.g_00633	Pram.g_00549
OG0000255	Prbd.g_00627	Pram.g_00555
OG0000256	Prbd.g_00617	Pram.g_00566
OG0000257	Prbd.g_00614	Pram.g_01080
OG0000258	Prbd.g_00601	Pram.g_01067
OG0000259	Prbd.g_00584	Pram.g_01050
OG0000260	Prbd.g_00581	Pram.g_01047
OG0000261	Prbd.g_00579	Pram.g_01044
OG0000262	Prbd.g_00575	Pram.g_01039
OG0000263	Prbd.g_00563	Pram.g_00771
OG0000264	Prbd.g_00553	Pram.g_00782
OG0000265	Prbd.g_00007	Pram.g_00801
OG0000266	Prbd.g_00017	Pram.g_01020
OG0000267	Prbd.g_00028	Pram.g_01007
OG0000268	Prbd.g_00029	Pram.g_01006
OG0000269	Prbd.g_00097	Pram.g_00804
OG0000270	Prbd.g_00100	Pram.g_00807
OG0000271	Prbd.g_00108	Pram.g_00815
OG0000272	Prbd.g_00109	Pram.g_00816
OG0000273	Prbd.g_00132	Pram.g_00839
OG0000274	Prbd.g_00133	Pram.g_00840
OG0000275	Prbd.g_00136	Pram.g_00843
OG0000276	Prbd.g_00141	Pram.g_00849
OG0000277	Prbd.g_00142	Pram.g_00850
OG0000278	Prbd.g_00145	Pram.g_00853
OG0000279	Prbd.g_00152	Pram.g_00861
OG0000280	Prbd.g_00153	Pram.g_00862
OG0000281	Prbd.g_00158	Pram.g_00870
OG0000282	Prbd.g_00208	Pram.g_00736
OG0000283	Prbd.g_00241	Pram.g_00916
OG0000284	Prbd.g_00246	Pram.g_00921
OG0000285	Prbd.g_00251	Pram.g_00926
OG0000286	Prbd.g_00263	Pram.g_00942
OG0000287	Prbd.g_00280	Pram.g_01199
OG0000288	Prbd.g_00313	Pram.g_00977
OG0000289	Prbd.g_00324	Pram.g_00992
OG0000290	Prbd.g_00337	Pram.g_00891
OG0000291	Prbd.g_00339	Pram.g_00889
OG0000292	Prbd.g_00389	Pram.g_01185
OG0000293	Prbd.g_00459	Pram.g_01150
OG0000294	Prbd.g_00460	Pram.g_01149
OG0000295	Prbd.g_00480	Pram.g_01125
OG0000296	Prbd.g_00482	Pram.g_01123
OG0000297	Prbd.g_00490	Pram.g_01114
OG0000298	Prbd.g_00491	Pram.g_01113
OG0000299	Prbd.g_00508	Pram.g_01094
OG0000300	Prbd.g_00511	Pram.g_01091
OG0000301	Prbd.g_00512	Pram.g_01090
OG0000302	Prbd.g_00514	Pram.g_01088
OG0000303	Prbd.g_00521	Pram.g_01082
OG0000304	Prbd.g_00525	Pram.g_00571
OG0000305	Prbd.g_01772	Pram.g_01183
OG0000306	Prbd.g_01769	Pram.g_00874
OG0000307	Prbd.g_01755	Pram.g_01458
OG0000308	Prbd.g_01754	Pram.g_01457
OG0000309	Prbd.g_01750	Pram.g_01453
OG0000310	Prbd.g_01704	Pram.g_01395
OG0000311	Prbd.g_01702	Pram.g_01393
OG0000312	Prbd.g_01699	Pram.g_01390
OG0000313	Prbd.g_01685	Pram.g_01374
OG0000314	Prbd.g_01662	Pram.g_01351
OG0000315	Prbd.g_01652	Pram.g_01341
OG0000316	Prbd.g_01632	Pram.g_01315
OG0000317	Prbd.g_01527	Pram.g_01629
OG0000318	Prbd.g_01524	Pram.g_01633
OG0000319	Prbd.g_01511	Pram.g_01646
OG0000320	Prbd.g_01509	Pram.g_01648
OG0000321	Prbd.g_01508	Pram.g_01649
OG0000322	Prbd.g_01507	Pram.g_01650
OG0000323	Prbd.g_01498	Pram.g_01659
OG0000324	Prbd.g_01471	Pram.g_01687
OG0000325	Prbd.g_01462	Pram.g_01697
OG0000326	Prbd.g_01456	Pram.g_01704
OG0000327	Prbd.g_01432	Pram.g_01728
OG0000328	Prbd.g_01431	Pram.g_01729
OG0000329	Prbd.g_01414	Pram.g_01746
OG0000330	Prbd.g_01413	Pram.g_01747
OG0000331	Prbd.g_01412	Pram.g_01748
OG0000332	Prbd.g_01398	Pram.g_01762
OG0000333	Prbd.g_01396	Pram.g_01764
OG0000334	Prbd.g_01388	Pram.g_01773
OG0000335	Prbd.g_01383	Pram.g_01778
OG0000336	Prbd.g_01379	Pram.g_01782
OG0000337	Prbd.g_01363	Pram.g_01801
OG0000338	Prbd.g_01362	Pram.g_01802
OG0000339	Prbd.g_01358	Pram.g_01808
OG0000340	Prbd.g_01350	Pram.g_01817
OG0000341	Prbd.g_01348	Pram.g_01819
OG0000342	Prbd.g_01347	Pram.g_01820
OG0000343	Prbd.g_01346	Pram.g_01821
OG0000344	Prbd.g_01343	Pram.g_01824
OG0000345	Prbd.g_01338	Pram.g_01830
OG0000346	Prbd.g_01334	Pram.g_01834
OG0000347	Prbd.g_01317	Pram.g_01851
OG0000348	Prbd.g_01307	Pram.g_01859
OG0000349	Prbd.g_01290	Pram.g_01877
OG0000350	Prbd.g_01272	Pram.g_01898
OG0000351	Prbd.g_01255	Pram.g_01917
OG0000352	Prbd.g_01254	Pram.g_01918
OG0000353	Prbd.g_01238	Pram.g_01937
OG0000355	Prbd.g_01236	Pram.g_01939
OG0000356	Prbd.g_01235	Pram.g_01940
OG0000357	Prbd.g_01234	Pram.g_01941
OG0000358	Prbd.g_01230	Pram.g_01945
OG0000359	Prbd.g_01229	Pram.g_01946
OG0000360	Prbd.g_01228	Pram.g_01947
OG0000361	Prbd.g_01227	Pram.g_01948
OG0000362	Prbd.g_01225	Pram.g_01950
OG0000363	Prbd.g_01223	Pram.g_00001
OG0000364	Prbd.g_01222	Pram.g_00002
OG0000365	Prbd.g_01217	Pram.g_00007
OG0000366	Prbd.g_01216	Pram.g_00008
OG0000367	Prbd.g_01215	Pram.g_00009
OG0000368	Prbd.g_01213	Pram.g_00011
OG0000369	Prbd.g_01212	Pram.g_00012
OG0000370	Prbd.g_01211	Pram.g_00013
OG0000371	Prbd.g_01205	Pram.g_00019
OG0000372	Prbd.g_01202	Pram.g_00021
OG0000373	Prbd.g_01201	Pram.g_00022
OG0000374	Prbd.g_01200	Pram.g_00023
OG0000375	Prbd.g_01198	Pram.g_00024
OG0000376	Prbd.g_01196	Pram.g_00026
OG0000377	Prbd.g_01192	Pram.g_00030
OG0000378	Prbd.g_01190	Pram.g_00034
OG0000379	Prbd.g_01187	Pram.g_00037
OG0000380	Prbd.g_01178	Pram.g_00050
OG0000381	Prbd.g_01174	Pram.g_00055
OG0000382	Prbd.g_01163	Pram.g_00065
OG0000383	Prbd.g_01161	Pram.g_00067
OG0000384	Prbd.g_01160	Pram.g_00068
OG0000385	Prbd.g_01159	Pram.g_00069
OG0000386	Prbd.g_01158	Pram.g_00070
OG0000387	Prbd.g_01145	Pram.g_00083
OG0000388	Prbd.g_01142	Pram.g_00087
OG0000389	Prbd.g_01138	Pram.g_00090
OG0000390	Prbd.g_01131	Pram.g_00099
OG0000391	Prbd.g_01127	Pram.g_00102
OG0000392	Prbd.g_01123	Pram.g_00106
OG0000393	Prbd.g_01121	Pram.g_00109
OG0000394	Prbd.g_01120	Pram.g_00110
OG0000395	Prbd.g_01119	Pram.g_00111
OG0000396	Prbd.g_01116	Pram.g_00113
OG0000397	Prbd.g_01114	Pram.g_00115
OG0000398	Prbd.g_01112	Pram.g_00118
OG0000399	Prbd.g_01111	Pram.g_00119
OG0000400	Prbd.g_01110	Pram.g_00120
OG0000401	Prbd.g_01109	Pram.g_00121
OG0000402	Prbd.g_01107	Pram.g_01001
OG0000403	Prbd.g_01106	Pram.g_00123
OG0000404	Prbd.g_01105	Pram.g_00124
OG0000405	Prbd.g_01100	Pram.g_00128
OG0000406	Prbd.g_01093	Pram.g_00132
OG0000407	Prbd.g_01092	Pram.g_00133
OG0000408	Prbd.g_01090	Pram.g_00135
OG0000409	Prbd.g_01088	Pram.g_00137
OG0000410	Prbd.g_01087	Pram.g_00138
OG0000411	Prbd.g_01086	Pram.g_00139
OG0000412	Prbd.g_01085	Pram.g_00140
OG0000413	Prbd.g_01084	Pram.g_00141
OG0000414	Prbd.g_01083	Pram.g_00142
OG0000415	Prbd.g_01082	Pram.g_00143
OG0000416	Prbd.g_01081	Pram.g_00144
OG0000417	Prbd.g_01080	Pram.g_00145
OG0000418	Prbd.g_01075	Pram.g_00150
OG0000419	Prbd.g_01073	Pram.g_00152
OG0000420	Prbd.g_01072	Pram.g_00153
OG0000421	Prbd.g_01067	Pram.g_00157
OG0000422	Prbd.g_01066	Pram.g_00158
OG0000423	Prbd.g_01065	Pram.g_00159
OG0000424	Prbd.g_01064	Pram.g_00160
OG0000425	Prbd.g_01063	Pram.g_00161
OG0000426	Prbd.g_01062	Pram.g_00162
OG0000427	Prbd.g_01061	Pram.g_00163
OG0000428	Prbd.g_01059	Pram.g_00165
OG0000429	Prbd.g_01058	Pram.g_00166
OG0000430	Prbd.g_01057	Pram.g_00167
OG0000431	Prbd.g_01055	Pram.g_00169
OG0000432	Prbd.g_01052	Pram.g_00173
OG0000433	Prbd.g_01051	Pram.g_00174
OG0000434	Prbd.g_01050	Pram.g_00175
OG0000435	Prbd.g_01049	Pram.g_00176
OG0000436	Prbd.g_01044	Pram.g_00181
OG0000437	Prbd.g_01043	Pram.g_00182
OG0000438	Prbd.g_01042	Pram.g_00183
OG0000439	Prbd.g_01040	Pram.g_00185
OG0000440	Prbd.g_01039	Pram.g_00186
OG0000441	Prbd.g_01036	Pram.g_00189
OG0000442	Prbd.g_01035	Pram.g_00190
OG0000443	Prbd.g_01034	Pram.g_00191
OG0000444	Prbd.g_01029	Pram.g_00196
OG0000445	Prbd.g_01028	Pram.g_00197
OG0000446	Prbd.g_01027	Pram.g_00198
OG0000447	Prbd.g_01026	Pram.g_00199
OG0000448	Prbd.g_01025	Pram.g_00200
OG0000449	Prbd.g_01024	Pram.g_00201
OG0000450	Prbd.g_01023	Pram.g_00202
OG0000451	Prbd.g_01022	Pram.g_00203
OG0000452	Prbd.g_01019	Pram.g_00206
OG0000453	Prbd.g_01018	Pram.g_00207
OG0000454	Prbd.g_01017	Pram.g_00208
OG0000455	Prbd.g_01016	Pram.g_00209
OG0000456	Prbd.g_01015	Pram.g_00210
OG0000457	Prbd.g_01013	Pram.g_00212
OG0000458	Prbd.g_01012	Pram.g_00213
OG0000459	Prbd.g_01011	Pram.g_00214
OG0000460	Prbd.g_01004	Pram.g_00222
OG0000461	Prbd.g_00997	Pram.g_00230
OG0000462	Prbd.g_00995	Pram.g_00232
OG0000463	Prbd.g_00994	Pram.g_00233
OG0000464	Prbd.g_00993	Pram.g_00234
OG0000465	Prbd.g_00992	Pram.g_00235
OG0000466	Prbd.g_00989	Pram.g_00238
OG0000467	Prbd.g_00988	Pram.g_00239
OG0000468	Prbd.g_00986	Pram.g_00242
OG0000469	Prbd.g_00977	Pram.g_00250
OG0000470	Prbd.g_00975	Pram.g_00252
OG0000471	Prbd.g_00974	Pram.g_00253
OG0000472	Prbd.g_00973	Pram.g_00254
OG0000473	Prbd.g_00971	Pram.g_00256
OG0000474	Prbd.g_00970	Pram.g_00257
OG0000475	Prbd.g_00969	Pram.g_00258
OG0000476	Prbd.g_00968	Pram.g_00260
OG0000477	Prbd.g_00964	Pram.g_00263
OG0000478	Prbd.g_00963	Pram.g_00264
OG0000479	Prbd.g_00962	Pram.g_00265
OG0000480	Prbd.g_00957	Pram.g_00270
OG0000481	Prbd.g_00955	Pram.g_00273
OG0000482	Prbd.g_00954	Pram.g_00274
OG0000483	Prbd.g_00951	Pram.g_00277
OG0000484	Prbd.g_00950	Pram.g_00278
OG0000485	Prbd.g_00949	Pram.g_00280
OG0000486	Prbd.g_00948	Pram.g_00281
OG0000487	Prbd.g_00944	Pram.g_00284
OG0000488	Prbd.g_00941	Pram.g_00287
OG0000489	Prbd.g_00936	Pram.g_00292
OG0000490	Prbd.g_00931	Pram.g_00296
OG0000491	Prbd.g_00930	Pram.g_00297
OG0000492	Prbd.g_00928	Pram.g_00299
OG0000493	Prbd.g_00927	Pram.g_00300
OG0000494	Prbd.g_00926	Pram.g_00301
OG0000495	Prbd.g_00925	Pram.g_00302
OG0000496	Prbd.g_00924	Pram.g_00303
OG0000497	Prbd.g_00923	Pram.g_00304
OG0000498	Prbd.g_00922	Pram.g_00305
OG0000499	Prbd.g_00921	Pram.g_00306
OG0000500	Prbd.g_00920	Pram.g_00307
OG0000501	Prbd.g_00918	Pram.g_00309
OG0000502	Prbd.g_00915	Pram.g_00312
OG0000503	Prbd.g_00905	Pram.g_00328
OG0000504	Prbd.g_00904	Pram.g_00330
OG0000505	Prbd.g_00903	Pram.g_00331
OG0000506	Prbd.g_00901	Pram.g_00332
OG0000507	Prbd.g_00898	Pram.g_00336
OG0000508	Prbd.g_00894	Pram.g_00340
OG0000509	Prbd.g_00892	Pram.g_00342
OG0000510	Prbd.g_00891	Pram.g_00343
OG0000511	Prbd.g_00890	Pram.g_00344
OG0000512	Prbd.g_00888	Pram.g_00346
OG0000513	Prbd.g_00881	Pram.g_00355
OG0000514	Prbd.g_00811	Pram.g_00366
OG0000515	Prbd.g_00810	Pram.g_00367
OG0000516	Prbd.g_00809	Pram.g_00368
OG0000517	Prbd.g_00807	Pram.g_00370
OG0000518	Prbd.g_00796	Pram.g_00381
OG0000519	Prbd.g_00795	Pram.g_00382
OG0000520	Prbd.g_00794	Pram.g_00383
OG0000521	Prbd.g_00789	Pram.g_00393
OG0000522	Prbd.g_00787	Pram.g_00395
OG0000523	Prbd.g_00786	Pram.g_00396
OG0000524	Prbd.g_00781	Pram.g_00400
OG0000525	Prbd.g_00778	Pram.g_00404
OG0000526	Prbd.g_00777	Pram.g_00406
OG0000527	Prbd.g_00769	Pram.g_00409
OG0000528	Prbd.g_00764	Pram.g_00414
OG0000529	Prbd.g_00761	Pram.g_00417
OG0000530	Prbd.g_00758	Pram.g_00420
OG0000531	Prbd.g_00757	Pram.g_00421
OG0000532	Prbd.g_00755	Pram.g_00423
OG0000533	Prbd.g_00754	Pram.g_00424
OG0000534	Prbd.g_00753	Pram.g_00425
OG0000535	Prbd.g_00752	Pram.g_00426
OG0000536	Prbd.g_00751	Pram.g_00427
OG0000537	Prbd.g_00750	Pram.g_00428
OG0000538	Prbd.g_00742	Pram.g_00438
OG0000539	Prbd.g_00741	Pram.g_00439
OG0000540	Prbd.g_00740	Pram.g_00440
OG0000541	Prbd.g_00739	Pram.g_00441
OG0000542	Prbd.g_00737	Pram.g_00442
OG0000543	Prbd.g_00735	Pram.g_00444
OG0000544	Prbd.g_00734	Pram.g_00445
OG0000545	Prbd.g_00732	Pram.g_00447
OG0000546	Prbd.g_00729	Pram.g_00450
OG0000547	Prbd.g_00727	Pram.g_00452
OG0000548	Prbd.g_00726	Pram.g_00453
OG0000549	Prbd.g_00724	Pram.g_00456
OG0000550	Prbd.g_00719	Pram.g_00461
OG0000551	Prbd.g_00715	Pram.g_00464
OG0000552	Prbd.g_00714	Pram.g_00465
OG0000553	Prbd.g_00713	Pram.g_00466
OG0000554	Prbd.g_00708	Pram.g_00472
OG0000555	Prbd.g_00700	Pram.g_00479
OG0000556	Prbd.g_00698	Pram.g_00481
