Orthogroup	Prad	Syar
OG0000352	Prad.g_01552	Syar.g_00443
OG0000353	Prad.g_01537	Syar.g_00469
OG0000354	Prad.g_01041	Syar.g_00487
OG0000355	Prad.g_01535	Syar.g_00471
OG0000356	Prad.g_01534	Syar.g_00472
OG0000357	Prad.g_01533	Syar.g_00473
OG0000358	Prad.g_01529	Syar.g_00477
OG0000359	Prad.g_01528	Syar.g_00479
OG0000360	Prad.g_01527	Syar.g_00480
OG0000361	Prad.g_01976	Syar.g_00481
OG0000362	Prad.g_01974	Syar.g_00483
OG0000363	Prad.g_01972	Syar.g_00484
OG0000364	Prad.g_01971	Syar.g_02928
OG0000365	Prad.g_01966	Syar.g_00493
OG0000366	Prad.g_01965	Syar.g_00494
OG0000367	Prad.g_01964	Syar.g_03262, Syar.g_00495
OG0000368	Prad.g_01962	Syar.g_00497
OG0000369	Prad.g_01961	Syar.g_00498
OG0000370	Prad.g_01960	Syar.g_00499
OG0000371	Prad.g_01954	Syar.g_00508
OG0000372	Prad.g_01951	Syar.g_00514
OG0000373	Prad.g_01950	Syar.g_00515
OG0000374	Prad.g_01949	Syar.g_00516
OG0000375	Prad.g_01947	Syar.g_00517
OG0000376	Prad.g_01945	Syar.g_00519
OG0000377	Prad.g_01941	Syar.g_00322
OG0000378	Prad.g_01939	Syar.g_00905
OG0000379	Prad.g_01936	Syar.g_00910
OG0000380	Prad.g_01927	Syar.g_03039
OG0000381	Prad.g_01923	Syar.g_03041
OG0000382	Prad.g_01912	Syar.g_03057
OG0000383	Prad.g_01910	Syar.g_03074
OG0000384	Prad.g_01909	Syar.g_03075
OG0000385	Prad.g_01908	Syar.g_03076
OG0000386	Prad.g_01907	Syar.g_03077
OG0000387	Prad.g_01894	Syar.g_03109
OG0000388	Prad.g_01891	Syar.g_03148, Syar.g_03113
OG0000389	Prad.g_01887	Syar.g_03118
OG0000390	Prad.g_00011, Prad.g_01880	Syar.g_00033
OG0000391	Prad.g_01877	Syar.g_00038
OG0000392	Prad.g_01873	Syar.g_00045
OG0000393	Prad.g_01871	Syar.g_00048
OG0000394	Prad.g_01870	Syar.g_00049
OG0000395	Prad.g_01869	Syar.g_00050
OG0000396	Prad.g_01866	Syar.g_00053
OG0000397	Prad.g_01864	Syar.g_00055
OG0000398	Prad.g_01862	Syar.g_00060
OG0000399	Prad.g_01861	Syar.g_00061
OG0000400	Prad.g_01860	Syar.g_00062
OG0000401	Prad.g_01859	Syar.g_00063
OG0000402	Prad.g_01857	Syar.g_00065
OG0000403	Prad.g_01856	Syar.g_00066
OG0000404	Prad.g_01855	Syar.g_00067
OG0000405	Prad.g_01851	Syar.g_00076
OG0000406	Prad.g_01844	Syar.g_00080
OG0000407	Prad.g_01843	Syar.g_00081
OG0000408	Prad.g_01841	Syar.g_00083
OG0000409	Prad.g_01839	Syar.g_00085
OG0000410	Prad.g_01838	Syar.g_00086
OG0000411	Prad.g_01837	Syar.g_00087
OG0000412	Prad.g_01836	Syar.g_00088
OG0000413	Prad.g_01835	Syar.g_00090
OG0000414	Prad.g_01834	Syar.g_00091, Syar.g_03179
OG0000415	Prad.g_01833	Syar.g_00092
