Orthogroup	Prad	Syat
OG0000539	Prad.g_00128	Syat.g_03206
OG0000540	Prad.g_00127	Syat.g_03207
OG0000541	Prad.g_00126	Syat.g_03208
OG0000542	Prad.g_00124	Syat.g_03213
OG0000543	Prad.g_00122	Syat.g_03215
OG0000544	Prad.g_00121	Syat.g_03216
OG0000545	Prad.g_00119	Syat.g_03218
OG0000546	Prad.g_00116	Syat.g_03220
OG0000547	Prad.g_00114	Syat.g_03222
OG0000548	Prad.g_00113	Syat.g_03223
OG0000549	Prad.g_00111	Syat.g_01795
OG0000550	Prad.g_00106	Syat.g_01107
OG0000551	Prad.g_00102	Syat.g_01103
OG0000552	Prad.g_00101	Syat.g_01102
OG0000553	Prad.g_00100	Syat.g_01098
OG0000554	Prad.g_00095	Syat.g_03271
OG0000555	Prad.g_01332	Syat.g_00093
OG0000556	Prad.g_01334	Syat.g_00088
OG0000557	Prad.g_01335	Syat.g_00083
OG0000558	Prad.g_01337	Syat.g_00081
OG0000559	Prad.g_01341	Syat.g_00077
OG0000560	Prad.g_01344	Syat.g_00074
OG0000561	Prad.g_01345	Syat.g_00073
OG0000562	Prad.g_01346	Syat.g_00072
OG0000563	Prad.g_01347	Syat.g_00071
OG0000564	Prad.g_01348	Syat.g_00070
OG0000565	Prad.g_01351	Syat.g_00067
OG0000566	Prad.g_01353	Syat.g_00063
OG0000567	Prad.g_01357	Syat.g_00059
OG0000568	Prad.g_01358	Syat.g_00057
OG0000569	Prad.g_01359	Syat.g_00056
OG0000570	Prad.g_01360	Syat.g_00055
OG0000571	Prad.g_01362	Syat.g_00052
OG0000572	Prad.g_01375	Syat.g_00033
OG0000573	Prad.g_01381	Syat.g_00024
OG0000574	Prad.g_01382	Syat.g_00023
OG0000575	Prad.g_01386	Syat.g_00018
OG0000576	Prad.g_01388	Syat.g_00014
OG0000577	Prad.g_01389	Syat.g_00013
OG0000578	Prad.g_01390	Syat.g_00012
OG0000579	Prad.g_01391	Syat.g_00011
OG0000580	Prad.g_01392	Syat.g_00010
OG0000581	Prad.g_01394	Syat.g_00003
OG0000582	Prad.g_01397	Syat.g_03403
OG0000583	Prad.g_01398	Syat.g_03404
OG0000584	Prad.g_01399	Syat.g_03405
OG0000585	Prad.g_01401	Syat.g_03408
OG0000586	Prad.g_01402	Syat.g_03409
OG0000587	Prad.g_01403	Syat.g_00001
OG0000588	Prad.g_01407	Syat.g_00338
OG0000589	Prad.g_01410	Syat.g_03318
OG0000590	Prad.g_01411	Syat.g_03317
OG0000591	Prad.g_01414	Syat.g_03308
OG0000592	Prad.g_01415	Syat.g_03307
OG0000593	Prad.g_01421	Syat.g_00113
OG0000594	Prad.g_01422	Syat.g_00114
OG0000595	Prad.g_01423	Syat.g_00115
OG0000596	Prad.g_01427	Syat.g_00129
OG0000597	Prad.g_01429	Syat.g_00132
OG0000598	Prad.g_01430	Syat.g_00133
OG0000599	Prad.g_01433	Syat.g_00381
OG0000600	Prad.g_01219	Syat.g_00380
OG0000601	Prad.g_01220	Syat.g_00379
OG0000602	Prad.g_01222	Syat.g_00375
OG0000603	Prad.g_01223	Syat.g_00374
OG0000604	Prad.g_01224	Syat.g_00372
OG0000605	Prad.g_01225	Syat.g_00370
OG0000606	Prad.g_01228	Syat.g_00367
