Orthogroup	Prbf	Prbk
OG0000368	Prbf.g_01656	Prbk.g_00465
OG0000369	Prbf.g_01657	Prbk.g_00466
OG0000370	Prbf.g_01658	Prbk.g_00467
OG0000371	Prbf.g_01659	Prbk.g_00468
OG0000372	Prbf.g_01660	Prbk.g_00471
OG0000373	Prbf.g_01662	Prbk.g_00481
OG0000374	Prbf.g_01663	Prbk.g_00483
OG0000375	Prbf.g_01664	Prbk.g_00492
OG0000376	Prbf.g_01665	Prbk.g_00853
OG0000377	Prbf.g_01671	Prbk.g_00860
OG0000378	Prbf.g_01672	Prbk.g_00861
OG0000379	Prbf.g_01678	Prbk.g_00871
OG0000380	Prbf.g_01680	Prbk.g_00873
OG0000381	Prbf.g_01681	Prbk.g_00874
OG0000382	Prbf.g_01682	Prbk.g_00876
OG0000383	Prbf.g_01685	Prbk.g_00881
OG0000384	Prbf.g_01686	Prbk.g_00882
OG0000385	Prbf.g_01689	Prbk.g_00888
OG0000386	Prbf.g_01690	Prbk.g_00889
OG0000387	Prbf.g_01691	Prbk.g_00890
OG0000388	Prbf.g_01692	Prbk.g_00891
OG0000389	Prbf.g_01693	Prbk.g_00892
OG0000390	Prbf.g_01694	Prbk.g_00893
OG0000391	Prbf.g_01695	Prbk.g_00894
OG0000392	Prbf.g_01696	Prbk.g_00895
OG0000393	Prbf.g_01700	Prbk.g_00365
OG0000394	Prbf.g_01701	Prbk.g_00364
OG0000395	Prbf.g_01704	Prbk.g_00360
OG0000396	Prbf.g_01190	Prbk.g_02556
OG0000397	Prbf.g_00874	Prbk.g_01321
OG0000398	Prbf.g_00741	Prbk.g_00924
OG0000399	Prbf.g_00879	Prbk.g_01693
OG0000400	Prbf.g_00629	Prbk.g_01902
OG0000401	Prbf.g_01715	Prbk.g_00352
OG0000402	Prbf.g_01716	Prbk.g_00351
OG0000403	Prbf.g_01717	Prbk.g_00339
OG0000404	Prbf.g_01719	Prbk.g_00329
OG0000405	Prbf.g_01720	Prbk.g_00328
OG0000406	Prbf.g_01722	Prbk.g_00326
OG0000407	Prbf.g_01723	Prbk.g_00325
OG0000408	Prbf.g_01724	Prbk.g_00324
OG0000409	Prbf.g_01725	Prbk.g_00323
OG0000410	Prbf.g_01726	Prbk.g_00321
OG0000411	Prbf.g_01727	Prbk.g_00320
OG0000412	Prbf.g_01728	Prbk.g_00319
OG0000413	Prbf.g_01729	Prbk.g_00318
OG0000414	Prbf.g_01730	Prbk.g_00317
OG0000415	Prbf.g_01731	Prbk.g_00316
OG0000416	Prbf.g_01732	Prbk.g_00315
OG0000417	Prbf.g_01733	Prbk.g_00311
OG0000418	Prbf.g_01734	Prbk.g_00310
OG0000419	Prbf.g_01735	Prbk.g_00309
OG0000420	Prbf.g_01736	Prbk.g_00308
OG0000421	Prbf.g_01740	Prbk.g_00301
OG0000422	Prbf.g_01742	Prbk.g_00299
OG0000423	Prbf.g_01743	Prbk.g_00298
OG0000424	Prbf.g_01744	Prbk.g_00295
OG0000425	Prbf.g_01748	Prbk.g_02088
OG0000426	Prbf.g_01749	Prbk.g_02089
OG0000427	Prbf.g_01750	Prbk.g_02092
