Orthogroup	Syaq	Syae
OG0000270	Syaq.g_02338	Syae.g_00523
OG0000271	Syaq.g_02346	Syae.g_00515
OG0000272	Syaq.g_02347	Syae.g_00514
OG0000273	Syaq.g_02376	Syae.g_00825
OG0000274	Syaq.g_02377	Syae.g_00826
OG0000275	Syaq.g_02380	Syae.g_00832
OG0000276	Syaq.g_02387	Syae.g_00839
OG0000277	Syaq.g_02388	Syae.g_00840
OG0000278	Syaq.g_02391	Syae.g_00843
OG0000279	Syaq.g_02401	Syae.g_00851
OG0000280	Syaq.g_02410	Syae.g_00877
OG0000281	Syaq.g_02224	Syae.g_02057
OG0000282	Syaq.g_02271	Syae.g_00573
OG0000283	Syaq.g_02445	Syae.g_00321
OG0000284	Syaq.g_02450	Syae.g_00327
OG0000285	Syaq.g_02466	Syae.g_00340
OG0000286	Syaq.g_02484	Syae.g_00359
OG0000287	Syaq.g_02511	Syae.g_00387
OG0000288	Syaq.g_00067	Syae.g_00419
OG0000289	Syaq.g_00053	Syae.g_00433
OG0000290	Syaq.g_02682	Syae.g_00796
OG0000291	Syaq.g_02680	Syae.g_00794
OG0000292	Syaq.g_01157	Syae.g_01705
OG0000293	Syaq.g_00262	Syae.g_00938
OG0000294	Syaq.g_00261	Syae.g_00937
OG0000295	Syaq.g_00220	Syae.g_00893
OG0000296	Syaq.g_00218	Syae.g_00891
OG0000297	Syaq.g_00205	Syae.g_00645
OG0000298	Syaq.g_00204	Syae.g_00646
OG0000299	Syaq.g_00171	Syae.g_00680
OG0000300	Syaq.g_00164	Syae.g_00686
OG0000301	Syaq.g_00163	Syae.g_00687
OG0000302	Syaq.g_00162	Syae.g_00691
OG0000303	Syaq.g_00152	Syae.g_00700
OG0000304	Syaq.g_00146	Syae.g_00706
OG0000305	Syaq.g_02677	Syae.g_00791
OG0000306	Syaq.g_01861	Syae.g_00277
OG0000307	Syaq.g_01754	Syae.g_02290
OG0000308	Syaq.g_01752	Syae.g_02288
OG0000309	Syaq.g_01747	Syae.g_02283
OG0000310	Syaq.g_00347	Syae.g_02687
OG0000311	Syaq.g_00352	Syae.g_02682
OG0000312	Syaq.g_00359	Syae.g_02664
OG0000313	Syaq.g_00379	Syae.g_02647
OG0000314	Syaq.g_00408	Syae.g_02618
OG0000315	Syaq.g_00418	Syae.g_02609
OG0000316	Syaq.g_01716	Syae.g_01118
OG0000317	Syaq.g_01675	Syae.g_01160
OG0000318	Syaq.g_01672	Syae.g_01164
OG0000319	Syaq.g_01657	Syae.g_01181
OG0000320	Syaq.g_01655	Syae.g_01183
OG0000321	Syaq.g_01654	Syae.g_01184
OG0000322	Syaq.g_01653	Syae.g_01185
OG0000323	Syaq.g_01638	Syae.g_01200
OG0000324	Syaq.g_01605	Syae.g_01049
OG0000325	Syaq.g_00693	Syae.g_02033
OG0000326	Syaq.g_00686	Syae.g_02040
OG0000327	Syaq.g_00652	Syae.g_02080
OG0000328	Syaq.g_00651	Syae.g_02081
