Orthogroup	Syaq	Praw
OG0000500	Syaq.g_00877	Praw.g_00815
OG0000501	Syaq.g_00880	Praw.g_00813
OG0000502	Syaq.g_00953	Praw.g_00810
OG0000503	Syaq.g_00559	Praw.g_00796
OG0000504	Syaq.g_00557	Praw.g_00795
OG0000505	Syaq.g_00556	Praw.g_00794
OG0000506	Syaq.g_00554	Praw.g_00792
OG0000507	Syaq.g_00548	Praw.g_00790
OG0000508	Syaq.g_00544	Praw.g_00787
OG0000509	Syaq.g_00542	Praw.g_00785
OG0000510	Syaq.g_00538	Praw.g_00784
OG0000511	Syaq.g_00537	Praw.g_00783
OG0000512	Syaq.g_00535	Praw.g_00781
OG0000513	Syaq.g_00525	Praw.g_00774
OG0000514	Syaq.g_00514	Praw.g_00716
OG0000515	Syaq.g_00513	Praw.g_00715
OG0000516	Syaq.g_00509	Praw.g_00714
OG0000517	Syaq.g_00502	Praw.g_00712
OG0000518	Syaq.g_00490	Praw.g_00701
OG0000519	Syaq.g_00489	Praw.g_00700
OG0000520	Syaq.g_00488	Praw.g_00699
OG0000521	Syaq.g_00477	Praw.g_00694
OG0000522	Syaq.g_00475	Praw.g_00692
OG0000523	Syaq.g_00474	Praw.g_00691
OG0000524	Syaq.g_00469	Praw.g_00686
OG0000525	Syaq.g_00450	Praw.g_00683
OG0000526	Syaq.g_00448	Praw.g_00682
OG0000527	Syaq.g_00444	Praw.g_00674
OG0000528	Syaq.g_01768	Praw.g_00669
OG0000529	Syaq.g_01773	Praw.g_00666
OG0000530	Syaq.g_01776	Praw.g_00664
OG0000531	Syaq.g_01777	Praw.g_00663
OG0000532	Syaq.g_01780	Praw.g_00661
OG0000533	Syaq.g_01782	Praw.g_00660
OG0000534	Syaq.g_01783	Praw.g_00659
OG0000535	Syaq.g_01784	Praw.g_00658
OG0000536	Syaq.g_01785	Praw.g_00657
OG0000537	Syaq.g_01786	Praw.g_00656
OG0000538	Syaq.g_01798	Praw.g_00648
OG0000539	Syaq.g_01799	Praw.g_00647
OG0000540	Syaq.g_01800	Praw.g_00646
OG0000541	Syaq.g_01801	Praw.g_00645
OG0000542	Syaq.g_01804	Praw.g_00643
OG0000543	Syaq.g_01806	Praw.g_00641
OG0000544	Syaq.g_02567	Praw.g_00640
OG0000545	Syaq.g_01809	Praw.g_00638
OG0000546	Syaq.g_01811	Praw.g_00635
OG0000547	Syaq.g_01813	Praw.g_00633
OG0000548	Syaq.g_01814	Praw.g_00632
OG0000549	Syaq.g_01819	Praw.g_00630
OG0000550	Syaq.g_01824	Praw.g_00625
OG0000551	Syaq.g_01829	Praw.g_00621
OG0000552	Syaq.g_01830	Praw.g_00620
OG0000553	Syaq.g_01834	Praw.g_00619
OG0000554	Syaq.g_01839	Praw.g_00614
OG0000555	Syaq.g_01857	Praw.g_00606
OG0000556	Syaq.g_01925	Praw.g_00604
OG0000557	Syaq.g_01927	Praw.g_00603
OG0000558	Syaq.g_01929	Praw.g_00601
OG0000559	Syaq.g_01933	Praw.g_00597
OG0000560	Syaq.g_01936	Praw.g_00594
OG0000561	Syaq.g_01937	Praw.g_00593
OG0000562	Syaq.g_01938	Praw.g_00592
OG0000563	Syaq.g_01939	Praw.g_00591
OG0000564	Syaq.g_01940	Praw.g_00590
OG0000565	Syaq.g_01943	Praw.g_00587
OG0000566	Syaq.g_01947	Praw.g_00585
OG0000567	Syaq.g_01951	Praw.g_00581
OG0000568	Syaq.g_01954	Praw.g_00580
OG0000569	Syaq.g_01955	Praw.g_00579
OG0000570	Syaq.g_01956	Praw.g_00578
OG0000571	Syaq.g_01960	Praw.g_00576
OG0000572	Syaq.g_01977	Praw.g_01933
OG0000573	Syaq.g_01985	Praw.g_01938
OG0000574	Syaq.g_01986	Praw.g_01939
OG0000575	Syaq.g_01991	Praw.g_01943
OG0000576	Syaq.g_01993	Praw.g_01945
OG0000577	Syaq.g_01994	Praw.g_01946
OG0000578	Syaq.g_01995	Praw.g_01947
OG0000579	Syaq.g_01996	Praw.g_01948
