Orthogroup	Syaq	Prbe
OG0000286	Syaq.g_02484	Prbe.g_01349
OG0000287	Syaq.g_02511	Prbe.g_01615
OG0000288	Syaq.g_00067	Prbe.g_01388
OG0000289	Syaq.g_00053	Prbe.g_01404
OG0000290	Syaq.g_02682	Prbe.g_01300
OG0000291	Syaq.g_02680	Prbe.g_01298
OG0000292	Syaq.g_01157	Prbe.g_01594
OG0000293	Syaq.g_00262	Prbe.g_01559
OG0000294	Syaq.g_00261	Prbe.g_01558
OG0000295	Syaq.g_00220	Prbe.g_01535
OG0000296	Syaq.g_00218	Prbe.g_01533
OG0000297	Syaq.g_00205	Prbe.g_01524
OG0000298	Syaq.g_00204	Prbe.g_01523
OG0000299	Syaq.g_00171	Prbe.g_01504
OG0000300	Syaq.g_00164	Prbe.g_01501
OG0000301	Syaq.g_00163	Prbe.g_01500
OG0000302	Syaq.g_00162	Prbe.g_01498
OG0000303	Syaq.g_00152	Prbe.g_01492
OG0000304	Syaq.g_00146	Prbe.g_00501
OG0000305	Syaq.g_02677	Prbe.g_01592
OG0000306	Syaq.g_01861	Prbe.g_01286
OG0000307	Syaq.g_01754	Prbe.g_00364
OG0000308	Syaq.g_01752	Prbe.g_00363
OG0000309	Syaq.g_01747	Prbe.g_00359
OG0000310	Syaq.g_00347	Prbe.g_00325
OG0000311	Syaq.g_00352	Prbe.g_00323
OG0000312	Syaq.g_00359	Prbe.g_00320
OG0000313	Syaq.g_00379	Prbe.g_00307
OG0000314	Syaq.g_00408	Prbe.g_00284
OG0000315	Syaq.g_00418	Prbe.g_00274
OG0000316	Syaq.g_01716	Prbe.g_00249
OG0000317	Syaq.g_01675	Prbe.g_00988
OG0000318	Syaq.g_01672	Prbe.g_00984
OG0000319	Syaq.g_01657	Prbe.g_00971
OG0000320	Syaq.g_01655	Prbe.g_00969
OG0000321	Syaq.g_01654	Prbe.g_00968
OG0000322	Syaq.g_01653	Prbe.g_00967
OG0000323	Syaq.g_01638	Prbe.g_00958
OG0000324	Syaq.g_01605	Prbe.g_00931
OG0000325	Syaq.g_00693	Prbe.g_00920
OG0000326	Syaq.g_00686	Prbe.g_01109
OG0000327	Syaq.g_00652	Prbe.g_01088
OG0000328	Syaq.g_00651	Prbe.g_01087
OG0000329	Syaq.g_00633	Prbe.g_00860
OG0000330	Syaq.g_00632	Prbe.g_00859
