Orthogroup	Pral	Syab
OG0000370	Pral.g_01018	Syab.g_00032
OG0000371	Pral.g_01011	Syab.g_00711, Syab.g_00039
OG0000372	Pral.g_01009	Syab.g_00045
OG0000373	Pral.g_01008	Syab.g_00046
OG0000374	Pral.g_01007	Syab.g_00047
OG0000375	Pral.g_01005	Syab.g_00050
OG0000376	Pral.g_01003	Syab.g_00052
OG0000377	Pral.g_00999	Syab.g_02748
OG0000378	Pral.g_00995	Syab.g_02717
OG0000379	Pral.g_00992	Syab.g_02714
OG0000380	Pral.g_00982	Syab.g_02432
OG0000381	Pral.g_00977	Syab.g_02435
OG0000382	Pral.g_00966	Syab.g_02453
OG0000383	Pral.g_00964	Syab.g_02459
OG0000384	Pral.g_00963	Syab.g_02460
OG0000385	Pral.g_00962	Syab.g_02461
OG0000386	Pral.g_00961	Syab.g_02462
OG0000387	Pral.g_00948	Syab.g_02491
OG0000388	Pral.g_00944	Syab.g_02495
OG0000389	Pral.g_00941	Syab.g_02499
OG0000390	Pral.g_00932	Syab.g_02516
OG0000391	Pral.g_00929	Syab.g_02521
OG0000392	Pral.g_00925	Syab.g_02527
OG0000393	Pral.g_00922	Syab.g_02530
OG0000394	Pral.g_00921	Syab.g_02531
OG0000395	Pral.g_00920	Syab.g_02532
OG0000396	Pral.g_00918	Syab.g_02535
OG0000397	Pral.g_00916	Syab.g_02537
OG0000398	Pral.g_00913	Syab.g_02542
OG0000399	Pral.g_00912	Syab.g_02543
OG0000400	Pral.g_00911	Syab.g_02544
OG0000401	Pral.g_00910	Syab.g_02545
OG0000402	Pral.g_00450	Syab.g_02547
OG0000403	Pral.g_00908	Syab.g_02548
OG0000404	Pral.g_00907	Syab.g_02550
OG0000405	Pral.g_00903	Syab.g_02562
OG0000406	Pral.g_00898	Syab.g_02566
OG0000407	Pral.g_00897	Syab.g_02567
OG0000408	Pral.g_00895	Syab.g_02569
OG0000409	Pral.g_00893	Syab.g_02571
OG0000410	Pral.g_00892	Syab.g_02572
OG0000411	Pral.g_00891	Syab.g_02573
OG0000412	Pral.g_00890	Syab.g_02574
OG0000413	Pral.g_00888	Syab.g_02576
OG0000414	Pral.g_00887	Syab.g_02577
OG0000415	Pral.g_00886	Syab.g_02578
OG0000416	Pral.g_00885	Syab.g_02579
OG0000417	Pral.g_00884	Syab.g_02580
OG0000418	Pral.g_00879	Syab.g_02585
OG0000419	Pral.g_00877	Syab.g_02587
OG0000420	Pral.g_00875	Syab.g_02589
OG0000421	Pral.g_00871	Syab.g_02595
OG0000422	Pral.g_00870	Syab.g_02596
OG0000423	Pral.g_00869	Syab.g_02597
OG0000424	Pral.g_00868	Syab.g_02598
OG0000425	Pral.g_00867	Syab.g_02599
OG0000426	Pral.g_00866	Syab.g_02600
OG0000427	Pral.g_00865	Syab.g_02601
OG0000428	Pral.g_00863	Syab.g_02604
OG0000429	Pral.g_00862	Syab.g_02608
OG0000430	Pral.g_00861	Syab.g_02610
OG0000431	Pral.g_00859	Syab.g_02613
OG0000432	Pral.g_00855	Syab.g_02619
OG0000433	Pral.g_00854	Syab.g_02622
OG0000434	Pral.g_00853	Syab.g_02623
OG0000435	Pral.g_00852	Syab.g_02625
OG0000436	Pral.g_00847	Syab.g_02632
OG0000437	Pral.g_00846	Syab.g_02633
OG0000438	Pral.g_00845	Syab.g_02634
OG0000439	Pral.g_00844	Syab.g_02636
OG0000440	Pral.g_00843	Syab.g_02637
OG0000441	Pral.g_00840	Syab.g_02641
OG0000442	Pral.g_00839	Syab.g_02642
OG0000443	Pral.g_00838	Syab.g_02668
OG0000444	Pral.g_00833	Syab.g_02681
OG0000445	Pral.g_00832	Syab.g_02682
OG0000446	Pral.g_00831	Syab.g_02684
OG0000447	Pral.g_00830	Syab.g_02687
OG0000448	Pral.g_00829	Syab.g_02688
OG0000449	Pral.g_00828	Syab.g_02689
OG0000450	Pral.g_00827	Syab.g_02695
OG0000451	Pral.g_00826	Syab.g_02696
OG0000452	Pral.g_00823	Syab.g_02701
OG0000453	Pral.g_00822	Syab.g_02702
OG0000454	Pral.g_00821	Syab.g_02703
OG0000455	Pral.g_00820	Syab.g_02704
OG0000456	Pral.g_00819	Syab.g_02705
OG0000457	Pral.g_00817	Syab.g_02707
OG0000458	Pral.g_00816	Syab.g_02708
OG0000459	Pral.g_00815	Syab.g_02709
OG0000460	Pral.g_00805	Syab.g_02372
OG0000461	Pral.g_00796	Syab.g_00356
OG0000462	Pral.g_00795	Syab.g_00352
OG0000463	Pral.g_00794	Syab.g_00351
OG0000464	Pral.g_00793	Syab.g_00350
OG0000465	Pral.g_00792	Syab.g_00349
OG0000466	Pral.g_00789	Syab.g_00343
OG0000467	Pral.g_00788	Syab.g_00341
OG0000468	Pral.g_00785	Syab.g_00336
OG0000469	Pral.g_00777	Syab.g_00318
OG0000470	Pral.g_00775	Syab.g_00316
OG0000471	Pral.g_00774	Syab.g_00315
OG0000472	Pral.g_00773	Syab.g_00313
OG0000473	Pral.g_00771	Syab.g_00311
OG0000474	Pral.g_00770	Syab.g_00310
OG0000475	Pral.g_00769	Syab.g_00309
OG0000476	Pral.g_00767	Syab.g_00307
OG0000477	Pral.g_00764	Syab.g_00301
OG0000478	Pral.g_00763	Syab.g_00300
OG0000479	Pral.g_00762	Syab.g_00299
OG0000480	Pral.g_00756	Syab.g_00292
OG0000481	Pral.g_00754	Syab.g_00290
OG0000482	Pral.g_00753	Syab.g_00289
OG0000483	Pral.g_00750	Syab.g_00285
OG0000484	Pral.g_00749	Syab.g_00284
OG0000485	Pral.g_00748	Syab.g_00283
OG0000486	Pral.g_00747	Syab.g_00282
OG0000487	Pral.g_00743	Syab.g_00276
OG0000488	Pral.g_00740	Syab.g_00272
OG0000489	Pral.g_00735	Syab.g_00256
OG0000490	Pral.g_00731	Syab.g_00247
OG0000491	Pral.g_00730	Syab.g_00245
OG0000492	Pral.g_00728	Syab.g_00243
OG0000493	Pral.g_00727	Syab.g_00242
OG0000494	Pral.g_00726	Syab.g_00241
OG0000495	Pral.g_00725	Syab.g_00240
OG0000496	Pral.g_00724	Syab.g_00239
OG0000497	Pral.g_00723	Syab.g_00238
OG0000498	Pral.g_00722	Syab.g_00237
OG0000499	Pral.g_00721	Syab.g_00236
OG0000500	Pral.g_00720	Syab.g_00235
OG0000501	Pral.g_00718	Syab.g_00232
OG0000502	Pral.g_00715	Syab.g_00224
OG0000503	Pral.g_00698	Syab.g_00523
OG0000504	Pral.g_00696	Syab.g_00525
OG0000505	Pral.g_00695	Syab.g_00526
OG0000506	Pral.g_00694	Syab.g_00528
OG0000507	Pral.g_00691	Syab.g_00533
OG0000508	Pral.g_00687	Syab.g_00537
OG0000509	Pral.g_00685	Syab.g_00539
OG0000510	Pral.g_00684	Syab.g_00540
OG0000511	Pral.g_00683	Syab.g_00541
OG0000512	Pral.g_00681	Syab.g_00543
OG0000513	Pral.g_00673	Syab.g_00555
OG0000514	Pral.g_00663	Syab.g_00566
OG0000515	Pral.g_00662	Syab.g_00567
OG0000516	Pral.g_00661	Syab.g_00575
OG0000517	Pral.g_00659	Syab.g_00582
OG0000518	Pral.g_00647	Syab.g_00594
OG0000519	Pral.g_00646	Syab.g_00610
OG0000520	Pral.g_00645	Syab.g_00611
OG0000521	Pral.g_00635	Syab.g_00624
OG0000522	Pral.g_00633	Syab.g_00626
OG0000523	Pral.g_00632	Syab.g_00627
OG0000524	Pral.g_00627	Syab.g_00640
OG0000525	Pral.g_00623	Syab.g_00671
OG0000526	Pral.g_00622	Syab.g_00689
OG0000527	Pral.g_00619	Syab.g_00695
OG0000528	Pral.g_00613	Syab.g_02092
OG0000529	Pral.g_00610	Syab.g_02097
OG0000530	Pral.g_00607	Syab.g_02100
OG0000531	Pral.g_00606	Syab.g_02101
OG0000532	Pral.g_00603	Syab.g_02104
OG0000533	Pral.g_00602	Syab.g_02106
OG0000534	Pral.g_00601	Syab.g_02107
OG0000535	Pral.g_00600	Syab.g_02108
OG0000536	Pral.g_00599	Syab.g_02109
OG0000537	Pral.g_00598	Syab.g_02110
OG0000538	Pral.g_00590	Syab.g_02122
OG0000539	Pral.g_00589	Syab.g_02123
OG0000540	Pral.g_00588	Syab.g_02124
OG0000541	Pral.g_00587	Syab.g_02125
OG0000542	Pral.g_00585	Syab.g_02128
OG0000543	Pral.g_00583	Syab.g_02130
OG0000544	Pral.g_00582	Syab.g_02131
OG0000545	Pral.g_00580	Syab.g_02133
OG0000546	Pral.g_00577	Syab.g_02135
OG0000547	Pral.g_00575	Syab.g_02137
OG0000548	Pral.g_00574	Syab.g_02138
OG0000549	Pral.g_00571	Syab.g_02144
OG0000550	Pral.g_00566	Syab.g_02149
OG0000551	Pral.g_00563	Syab.g_02153
OG0000552	Pral.g_00562	Syab.g_02154
OG0000553	Pral.g_00561	Syab.g_02046
OG0000554	Pral.g_00556	Syab.g_02040
OG0000555	Pral.g_00548	Syab.g_02026
OG0000556	Pral.g_00546	Syab.g_02022
OG0000557	Pral.g_00545	Syab.g_02019
OG0000558	Pral.g_00543	Syab.g_02016
OG0000559	Pral.g_00539	Syab.g_02012
OG0000560	Pral.g_00536	Syab.g_02009
OG0000561	Pral.g_00535	Syab.g_02008
OG0000562	Pral.g_00534	Syab.g_02007
OG0000563	Pral.g_00533	Syab.g_02006
OG0000564	Pral.g_00532	Syab.g_02005
OG0000565	Pral.g_00529	Syab.g_02001
OG0000566	Pral.g_00525	Syab.g_01997
OG0000567	Pral.g_00521	Syab.g_01993
OG0000568	Pral.g_00520	Syab.g_01991
OG0000569	Pral.g_00519	Syab.g_01990
OG0000570	Pral.g_00518	Syab.g_01989
