Orthogroup	Prbl	Praw
OG0000409	Prbl.g_01218	Praw.g_00786
OG0000410	Prbl.g_01219	Praw.g_00785
OG0000411	Prbl.g_01220	Praw.g_00784
OG0000412	Prbl.g_01221	Praw.g_00783
OG0000413	Prbl.g_01222	Praw.g_00782
OG0000414	Prbl.g_01223	Praw.g_00781
OG0000415	Prbl.g_01224	Praw.g_00780
OG0000416	Prbl.g_02673	Praw.g_00777
OG0000417	Prbl.g_02674	Praw.g_00776
OG0000418	Prbl.g_02677	Praw.g_00775
OG0000419	Prbl.g_02678	Praw.g_00774
OG0000420	Prbl.g_01564	Praw.g_00773
OG0000421	Prbl.g_00609	Praw.g_00761
OG0000422	Prbl.g_00410	Praw.g_00754
OG0000423	Prbl.g_01693	Praw.g_00753
OG0000424	Prbl.g_02681	Praw.g_00748
OG0000425	Prbl.g_00676	Praw.g_00716
OG0000426	Prbl.g_00675	Praw.g_00715
OG0000427	Prbl.g_00663	Praw.g_00714
OG0000428	Prbl.g_00653	Praw.g_00712
OG0000429	Prbl.g_00652	Praw.g_00711
OG0000430	Prbl.g_00650	Praw.g_00709
OG0000431	Prbl.g_00649	Praw.g_00708
OG0000432	Prbl.g_00648	Praw.g_00707
OG0000433	Prbl.g_00647	Praw.g_00706
OG0000434	Prbl.g_00645	Praw.g_00705
OG0000435	Prbl.g_00644	Praw.g_00704
OG0000436	Prbl.g_00643	Praw.g_00703
OG0000437	Prbl.g_00642	Praw.g_00702
OG0000438	Prbl.g_00641	Praw.g_00701
OG0000439	Prbl.g_00640	Praw.g_00700
OG0000440	Prbl.g_00639	Praw.g_00699
OG0000441	Prbl.g_00635	Praw.g_00698
OG0000442	Prbl.g_00634	Praw.g_00697
OG0000443	Prbl.g_00633	Praw.g_00696
OG0000444	Prbl.g_00632	Praw.g_00695
OG0000445	Prbl.g_00625	Praw.g_00694
OG0000446	Prbl.g_00623	Praw.g_00692
OG0000447	Prbl.g_00622	Praw.g_00691
OG0000448	Prbl.g_00619	Praw.g_00689
OG0000449	Prbl.g_01364	Praw.g_00686
OG0000450	Prbl.g_01363	Praw.g_00685
OG0000451	Prbl.g_01360	Praw.g_00684
OG0000452	Prbl.g_01348	Praw.g_00683
OG0000453	Prbl.g_01346	Praw.g_00682
OG0000454	Prbl.g_01344	Praw.g_00676
OG0000455	Prbl.g_01342	Praw.g_00674
OG0000456	Prbl.g_00503	Praw.g_00670
OG0000457	Prbl.g_00506	Praw.g_00669
OG0000458	Prbl.g_00510	Praw.g_00668
OG0000459	Prbl.g_00512	Praw.g_00666
OG0000460	Prbl.g_00514	Praw.g_00665
OG0000461	Prbl.g_00515	Praw.g_00664
OG0000462	Prbl.g_00516	Praw.g_00663
OG0000463	Prbl.g_00519	Praw.g_00661
OG0000464	Prbl.g_00521	Praw.g_00660
OG0000465	Prbl.g_00522	Praw.g_00659
OG0000466	Prbl.g_00523	Praw.g_00658
OG0000467	Prbl.g_00524	Praw.g_00657
OG0000468	Prbl.g_00525	Praw.g_00656
OG0000469	Prbl.g_00526	Praw.g_00655
OG0000470	Prbl.g_00527	Praw.g_00654
OG0000471	Prbl.g_00528	Praw.g_00653
OG0000472	Prbl.g_00536	Praw.g_00648
OG0000473	Prbl.g_00806	Praw.g_00647
OG0000474	Prbl.g_00805	Praw.g_00646
OG0000475	Prbl.g_00804	Praw.g_00645
OG0000476	Prbl.g_00801	Praw.g_00643
OG0000477	Prbl.g_00800	Praw.g_00642
OG0000478	Prbl.g_00799	Praw.g_00641
OG0000479	Prbl.g_00798	Praw.g_00640
OG0000480	Prbl.g_00797	Praw.g_00638
OG0000481	Prbl.g_00795	Praw.g_00636
OG0000482	Prbl.g_00794	Praw.g_00635
OG0000483	Prbl.g_00792	Praw.g_00633
OG0000484	Prbl.g_00791	Praw.g_00632
OG0000485	Prbl.g_00790	Praw.g_00631
OG0000486	Prbl.g_00785	Praw.g_00630
OG0000487	Prbl.g_00780	Praw.g_00625
OG0000488	Prbl.g_00779	Praw.g_00623
OG0000489	Prbl.g_00778	Praw.g_00622
OG0000490	Prbl.g_00776	Praw.g_00621
OG0000491	Prbl.g_00775	Praw.g_00620
OG0000492	Prbl.g_00770	Praw.g_00619
OG0000493	Prbl.g_01526	Praw.g_00618
OG0000494	Prbl.g_00032	Praw.g_00617
OG0000495	Prbl.g_00765	Praw.g_00614
OG0000496	Prbl.g_00763	Praw.g_00613
OG0000497	Prbl.g_00761	Praw.g_00612
OG0000498	Prbl.g_00760	Praw.g_00611
OG0000499	Prbl.g_00754	Praw.g_00610
OG0000500	Prbl.g_00751	Praw.g_00608
OG0000501	Prbl.g_00749	Praw.g_00607
OG0000502	Prbl.g_00747	Praw.g_00606
OG0000503	Prbl.g_02645	Praw.g_00604
OG0000504	Prbl.g_01878	Praw.g_00603
OG0000505	Prbl.g_01879	Praw.g_00602
OG0000506	Prbl.g_01881	Praw.g_00601
OG0000507	Prbl.g_01882	Praw.g_00600
OG0000508	Prbl.g_01883	Praw.g_00599
OG0000509	Prbl.g_01884	Praw.g_00598
OG0000510	Prbl.g_01885	Praw.g_00597
OG0000511	Prbl.g_01887	Praw.g_00595
OG0000512	Prbl.g_01888	Praw.g_00594
OG0000513	Prbl.g_01889	Praw.g_00593
OG0000514	Prbl.g_01890	Praw.g_00592
OG0000515	Prbl.g_01891	Praw.g_00591
OG0000516	Prbl.g_01892	Praw.g_00590
OG0000517	Prbl.g_01894	Praw.g_00588
