Orthogroup	Prbg	Prap
OG0000371	Prbg.g_00098	Prap.g_01391
OG0000372	Prbg.g_00099	Prap.g_01390
OG0000373	Prbg.g_00101	Prap.g_01388
OG0000374	Prbg.g_00102	Prap.g_01387
OG0000375	Prbg.g_00103	Prap.g_01386
OG0000376	Prbg.g_00104	Prap.g_01385
OG0000377	Prbg.g_00110	Prap.g_01379
OG0000378	Prbg.g_00111	Prap.g_01378
OG0000379	Prbg.g_00117	Prap.g_01372
OG0000380	Prbg.g_00119	Prap.g_01370
OG0000381	Prbg.g_00120	Prap.g_01369
OG0000382	Prbg.g_00121	Prap.g_01368
OG0000383	Prbg.g_00124	Prap.g_01365
OG0000384	Prbg.g_00125	Prap.g_01364
OG0000385	Prbg.g_00128	Prap.g_01361
OG0000386	Prbg.g_00129	Prap.g_01360
OG0000387	Prbg.g_00130	Prap.g_01359
OG0000388	Prbg.g_00131	Prap.g_01358
OG0000389	Prbg.g_00132	Prap.g_01357
OG0000390	Prbg.g_01941	Prap.g_01356
OG0000391	Prbg.g_01942	Prap.g_01355
OG0000392	Prbg.g_01943	Prap.g_01354
OG0000393	Prbg.g_00136	Prap.g_01350
OG0000394	Prbg.g_00137	Prap.g_01349
OG0000395	Prbg.g_00140	Prap.g_01346
OG0000396	Prbg.g_01214	Prap.g_00728
OG0000397	Prbg.g_01530	Prap.g_00500
OG0000398	Prbg.g_01602	Prap.g_01827
OG0000399	Prbg.g_01525	Prap.g_00495
OG0000400	Prbg.g_01714	Prap.g_01714
OG0000401	Prbg.g_00151	Prap.g_01335
OG0000402	Prbg.g_00152	Prap.g_01334
OG0000403	Prbg.g_00153	Prap.g_01333
OG0000404	Prbg.g_00155	Prap.g_01331
OG0000405	Prbg.g_00156	Prap.g_01330
OG0000406	Prbg.g_00158	Prap.g_01328
OG0000407	Prbg.g_00159	Prap.g_01327
OG0000408	Prbg.g_00160	Prap.g_01326
OG0000409	Prbg.g_00161	Prap.g_01325
OG0000410	Prbg.g_00162	Prap.g_01324
OG0000411	Prbg.g_00163	Prap.g_01323
OG0000412	Prbg.g_00164	Prap.g_01322
OG0000413	Prbg.g_00165	Prap.g_01321
OG0000414	Prbg.g_00166	Prap.g_01320
OG0000415	Prbg.g_00167	Prap.g_01319
OG0000416	Prbg.g_00168	Prap.g_01318
OG0000417	Prbg.g_00169	Prap.g_01317
OG0000418	Prbg.g_00170	Prap.g_01316
OG0000419	Prbg.g_00171	Prap.g_01315
OG0000420	Prbg.g_00172	Prap.g_01314
OG0000421	Prbg.g_00176	Prap.g_01310
OG0000422	Prbg.g_00178	Prap.g_01308
OG0000423	Prbg.g_00179	Prap.g_01307
OG0000424	Prbg.g_00180	Prap.g_01306
OG0000425	Prbg.g_00184	Prap.g_01302
OG0000426	Prbg.g_00185	Prap.g_01301
OG0000427	Prbg.g_00186	Prap.g_01300
OG0000428	Prbg.g_00188	Prap.g_01298
OG0000429	Prbg.g_00189	Prap.g_01297
OG0000430	Prbg.g_00190	Prap.g_01296
OG0000431	Prbg.g_00192	Prap.g_01294
OG0000432	Prbg.g_00193	Prap.g_01293
OG0000433	Prbg.g_00196	Prap.g_01290
OG0000434	Prbg.g_00197	Prap.g_01289
OG0000435	Prbg.g_00198	Prap.g_01288
OG0000436	Prbg.g_00200	Prap.g_01286
OG0000437	Prbg.g_00202	Prap.g_01284
OG0000438	Prbg.g_00203	Prap.g_01283
OG0000439	Prbg.g_00204	Prap.g_01282
OG0000440	Prbg.g_00206	Prap.g_01280
OG0000441	Prbg.g_00207	Prap.g_01279
OG0000442	Prbg.g_00208	Prap.g_01278
OG0000443	Prbg.g_00209	Prap.g_01277
OG0000444	Prbg.g_00210	Prap.g_01276
OG0000445	Prbg.g_00211	Prap.g_01275
OG0000446	Prbg.g_00212	Prap.g_01274
OG0000447	Prbg.g_00213	Prap.g_01273
OG0000448	Prbg.g_00214	Prap.g_01272
OG0000449	Prbg.g_00220	Prap.g_01266
OG0000450	Prbg.g_00221	Prap.g_01265
OG0000451	Prbg.g_00222	Prap.g_01264
OG0000452	Prbg.g_00223	Prap.g_01263
OG0000453	Prbg.g_00224	Prap.g_01262
OG0000454	Prbg.g_00225	Prap.g_01261
OG0000455	Prbg.g_00226	Prap.g_01260
OG0000456	Prbg.g_00227	Prap.g_01259
OG0000457	Prbg.g_00229	Prap.g_01257
OG0000458	Prbg.g_00231	Prap.g_01255
OG0000459	Prbg.g_00232	Prap.g_01254
OG0000460	Prbg.g_00234	Prap.g_01252
OG0000461	Prbg.g_00235	Prap.g_01251
OG0000462	Prbg.g_00236	Prap.g_01250
OG0000463	Prbg.g_00237	Prap.g_01249
OG0000464	Prbg.g_00241	Prap.g_01245
OG0000465	Prbg.g_00242	Prap.g_01244
OG0000466	Prbg.g_00243	Prap.g_01243
OG0000467	Prbg.g_00244	Prap.g_01242
OG0000468	Prbg.g_00245	Prap.g_01241
OG0000469	Prbg.g_00246	Prap.g_01240
OG0000470	Prbg.g_00247	Prap.g_01239
OG0000471	Prbg.g_00248	Prap.g_01238
OG0000472	Prbg.g_00251	Prap.g_01235
OG0000473	Prbg.g_00252	Prap.g_01234
OG0000474	Prbg.g_00253	Prap.g_01233
OG0000475	Prbg.g_00254	Prap.g_01232
OG0000476	Prbg.g_00255	Prap.g_01231
OG0000477	Prbg.g_00257	Prap.g_01229
OG0000478	Prbg.g_00258	Prap.g_01228
OG0000479	Prbg.g_00259	Prap.g_01227
OG0000480	Prbg.g_00261	Prap.g_01225
OG0000481	Prbg.g_00262	Prap.g_01224
OG0000482	Prbg.g_00264	Prap.g_01223
OG0000483	Prbg.g_00265	Prap.g_01222
OG0000484	Prbg.g_00266	Prap.g_01221
OG0000485	Prbg.g_00267	Prap.g_01220
OG0000486	Prbg.g_00268	Prap.g_01219
OG0000487	Prbg.g_00269	Prap.g_01218
OG0000488	Prbg.g_00271	Prap.g_01216
OG0000489	Prbg.g_00272	Prap.g_01215
OG0000490	Prbg.g_00273	Prap.g_01214
OG0000491	Prbg.g_00274	Prap.g_01213
OG0000492	Prbg.g_00275	Prap.g_01212
OG0000493	Prbg.g_00276	Prap.g_01211
OG0000494	Prbg.g_00277	Prap.g_01210
OG0000495	Prbg.g_00278	Prap.g_01209
OG0000496	Prbg.g_00280	Prap.g_01207
OG0000497	Prbg.g_00282	Prap.g_01205
OG0000498	Prbg.g_00283	Prap.g_01204
OG0000499	Prbg.g_00285	Prap.g_01202
OG0000500	Prbg.g_00286	Prap.g_01201
OG0000501	Prbg.g_00288	Prap.g_01199
OG0000502	Prbg.g_00289	Prap.g_01198
OG0000503	Prbg.g_00290	Prap.g_01197
