Orthogroup	Syar	Prae
OG0000446	Syar.g_00951	Prae.g_00216
OG0000447	Syar.g_00948	Prae.g_00217
OG0000448	Syar.g_00947	Prae.g_00218
OG0000449	Syar.g_00946	Prae.g_00219
OG0000450	Syar.g_00939	Prae.g_00220
OG0000451	Syar.g_00938	Prae.g_00221
OG0000452	Syar.g_00934	Prae.g_00224
OG0000453	Syar.g_00933	Prae.g_00225
OG0000454	Syar.g_00932	Prae.g_00226
OG0000455	Syar.g_00931	Prae.g_00227
OG0000456	Syar.g_00930	Prae.g_00228
OG0000457	Syar.g_00928	Prae.g_00229
OG0000458	Syar.g_00918	Prae.g_00230
OG0000459	Syar.g_00917	Prae.g_00231
OG0000460	Syar.g_03024	Prae.g_00238
OG0000461	Syar.g_00153	Prae.g_00245
OG0000462	Syar.g_00155	Prae.g_00247
OG0000463	Syar.g_00156	Prae.g_00248
OG0000464	Syar.g_00157	Prae.g_00249
OG0000465	Syar.g_00159	Prae.g_00250
OG0000466	Syar.g_00164	Prae.g_00253
OG0000467	Syar.g_00165	Prae.g_00254
OG0000468	Syar.g_00170	Prae.g_00256
OG0000469	Syar.g_00203	Prae.g_00265
OG0000470	Syar.g_00206	Prae.g_00267
OG0000471	Syar.g_00207	Prae.g_00268
OG0000472	Syar.g_00208	Prae.g_00269
OG0000473	Syar.g_00210	Prae.g_00271
OG0000474	Syar.g_00211	Prae.g_00272
OG0000475	Syar.g_00212	Prae.g_00273
OG0000476	Syar.g_00214	Prae.g_00274
OG0000477	Syar.g_00219	Prae.g_00276
OG0000478	Syar.g_00220	Prae.g_00277
OG0000479	Syar.g_00221	Prae.g_00278
OG0000480	Syar.g_00228	Prae.g_00283
OG0000481	Syar.g_00230	Prae.g_00285
OG0000482	Syar.g_00231	Prae.g_00286
OG0000483	Syar.g_00235	Prae.g_00289
OG0000484	Syar.g_00236	Prae.g_00290
OG0000485	Syar.g_00237	Prae.g_00291
OG0000486	Syar.g_00024, Syar.g_00238	Prae.g_00292
OG0000487	Syar.g_00245	Prae.g_00296
OG0000488	Syar.g_00853	Prae.g_00299
