Orthogroup	Prbk	Syaj
OG0000465	Prbk.g_01008	Syaj.g_02617
OG0000466	Prbk.g_01003	Syaj.g_02612
OG0000467	Prbk.g_01001	Syaj.g_02610
OG0000468	Prbk.g_00371	Syaj.g_02605
OG0000469	Prbk.g_00384	Syaj.g_02590
OG0000470	Prbk.g_00397	Syaj.g_02586
OG0000471	Prbk.g_00398	Syaj.g_02585
OG0000472	Prbk.g_00400	Syaj.g_02583
OG0000473	Prbk.g_00402	Syaj.g_02581
OG0000474	Prbk.g_00403	Syaj.g_02580
OG0000475	Prbk.g_00404	Syaj.g_02579
OG0000476	Prbk.g_00406	Syaj.g_02577
OG0000477	Prbk.g_00411	Syaj.g_02571
OG0000478	Prbk.g_00412	Syaj.g_02570
OG0000479	Prbk.g_00413	Syaj.g_02569
OG0000480	Prbk.g_00420	Syaj.g_02562
OG0000481	Prbk.g_00422	Syaj.g_02560
OG0000482	Prbk.g_00423	Syaj.g_02559
OG0000483	Prbk.g_00427	Syaj.g_02555
OG0000484	Prbk.g_00428	Syaj.g_02554
OG0000485	Prbk.g_00429	Syaj.g_02553
OG0000486	Prbk.g_00430	Syaj.g_02552
OG0000487	Prbk.g_00435	Syaj.g_02546
OG0000488	Prbk.g_00439	Syaj.g_02542
OG0000489	Prbk.g_00450	Syaj.g_02529
OG0000490	Prbk.g_00456	Syaj.g_02519
OG0000491	Prbk.g_00457	Syaj.g_02517
OG0000492	Prbk.g_00460	Syaj.g_02515
OG0000493	Prbk.g_00461	Syaj.g_02514
OG0000494	Prbk.g_00462	Syaj.g_02513
OG0000495	Prbk.g_00463	Syaj.g_02512
OG0000496	Prbk.g_00464	Syaj.g_02511
OG0000497	Prbk.g_00465	Syaj.g_02510
OG0000498	Prbk.g_00466	Syaj.g_02509
OG0000499	Prbk.g_00467	Syaj.g_02508
OG0000500	Prbk.g_00468	Syaj.g_02507
OG0000501	Prbk.g_00471	Syaj.g_02504
OG0000502	Prbk.g_00483	Syaj.g_02492
OG0000503	Prbk.g_00871	Syaj.g_02805
OG0000504	Prbk.g_00873	Syaj.g_02807
OG0000505	Prbk.g_00874	Syaj.g_02808
OG0000506	Prbk.g_00876	Syaj.g_02810
OG0000507	Prbk.g_00881	Syaj.g_02816
OG0000508	Prbk.g_00888	Syaj.g_02820
OG0000509	Prbk.g_00890	Syaj.g_02822
OG0000510	Prbk.g_00891	Syaj.g_02823
OG0000511	Prbk.g_00892	Syaj.g_02824
OG0000512	Prbk.g_00894	Syaj.g_02826
OG0000513	Prbk.g_00360	Syaj.g_02833
OG0000514	Prbk.g_00352	Syaj.g_02839
OG0000515	Prbk.g_00351	Syaj.g_02840
OG0000516	Prbk.g_00339	Syaj.g_01561
OG0000517	Prbk.g_00329	Syaj.g_01556
OG0000518	Prbk.g_00317	Syaj.g_01544
OG0000519	Prbk.g_00316	Syaj.g_01543
OG0000520	Prbk.g_00315	Syaj.g_01542
OG0000521	Prbk.g_00301	Syaj.g_00271
OG0000522	Prbk.g_00299	Syaj.g_00273
OG0000523	Prbk.g_00298	Syaj.g_00274
OG0000524	Prbk.g_02088	Syaj.g_01485
OG0000525	Prbk.g_02105	Syaj.g_01454
OG0000526	Prbk.g_02107	Syaj.g_01451
OG0000527	Prbk.g_02111	Syaj.g_01446
OG0000528	Prbk.g_02056	Syaj.g_00065
OG0000529	Prbk.g_02062	Syaj.g_00073
OG0000530	Prbk.g_02065	Syaj.g_00076
OG0000531	Prbk.g_02066	Syaj.g_00077
OG0000532	Prbk.g_02069	Syaj.g_00080
OG0000533	Prbk.g_02071	Syaj.g_00081
OG0000534	Prbk.g_02072	Syaj.g_00082
OG0000535	Prbk.g_02073	Syaj.g_00083
