Orthogroup	Prbk	Syae
OG0000308	Prbk.g_02042	Syae.g_02288
OG0000309	Prbk.g_02038	Syae.g_02283
OG0000310	Prbk.g_01937	Syae.g_02687
OG0000311	Prbk.g_00243	Syae.g_02682
OG0000312	Prbk.g_00247	Syae.g_02664
OG0000313	Prbk.g_00271	Syae.g_02647
OG0000314	Prbk.g_01222	Syae.g_02618
OG0000315	Prbk.g_01212	Syae.g_02609
OG0000316	Prbk.g_01991	Syae.g_01118
OG0000317	Prbk.g_00913	Syae.g_01160
OG0000318	Prbk.g_00906	Syae.g_01164
OG0000319	Prbk.g_01443	Syae.g_01181
OG0000320	Prbk.g_01441	Syae.g_01183
OG0000321	Prbk.g_01440	Syae.g_01184
OG0000322	Prbk.g_01439	Syae.g_01185
OG0000323	Prbk.g_01428	Syae.g_01200
OG0000324	Prbk.g_01399	Syae.g_01049
OG0000325	Prbk.g_01904	Syae.g_02033
OG0000326	Prbk.g_01912	Syae.g_02040
OG0000327	Prbk.g_00987	Syae.g_02080
OG0000328	Prbk.g_00986	Syae.g_02081
OG0000329	Prbk.g_00969	Syae.g_02099
OG0000330	Prbk.g_00968	Syae.g_02100
OG0000331	Prbk.g_00967	Syae.g_02101
OG0000332	Prbk.g_00952	Syae.g_02116
OG0000333	Prbk.g_00950	Syae.g_02119
OG0000334	Prbk.g_00801	Syae.g_02128
OG0000335	Prbk.g_00806	Syae.g_02132
OG0000336	Prbk.g_00810	Syae.g_02136
OG0000337	Prbk.g_00506	Syae.g_01879
OG0000338	Prbk.g_00510	Syae.g_01876
OG0000339	Prbk.g_00516	Syae.g_01869
OG0000340	Prbk.g_00528	Syae.g_01855
OG0000341	Prbk.g_00530	Syae.g_01853
OG0000342	Prbk.g_00531	Syae.g_01852
OG0000343	Prbk.g_00215	Syae.g_01848
OG0000344	Prbk.g_00218	Syae.g_01843
OG0000345	Prbk.g_00233	Syae.g_01833
OG0000346	Prbk.g_00238	Syae.g_01828
OG0000347	Prbk.g_01540	Syae.g_01805
OG0000348	Prbk.g_01578	Syae.g_01781
OG0000349	Prbk.g_01602	Syae.g_01763
OG0000350	Prbk.g_02204	Syae.g_02047
OG0000351	Prbk.g_02252	Syae.g_01684
OG0000352	Prbk.g_02253	Syae.g_01685
OG0000353	Prbk.g_02277	Syae.g_01711
OG0000354	Prbk.g_01057	Syae.g_02351
OG0000354	Prbk.g_01635	Syae.g_01731
OG0000355	Prbk.g_02279	Syae.g_01713
OG0000356	Prbk.g_02280	Syae.g_01714
OG0000357	Prbk.g_02281	Syae.g_01715
OG0000358	Prbk.g_02285	Syae.g_01719
OG0000359	Prbk.g_02287	Syae.g_01721
OG0000360	Prbk.g_02288	Syae.g_01722
OG0000361	Prbk.g_02289	Syae.g_01723
OG0000362	Prbk.g_02291	Syae.g_01725
OG0000363	Prbk.g_01639	Syae.g_01727
OG0000364	Prbk.g_01638	Syae.g_01728
OG0000365	Prbk.g_01629	Syae.g_01737
OG0000366	Prbk.g_01628	Syae.g_01738
OG0000367	Prbk.g_01627	Syae.g_01739
OG0000368	Prbk.g_01625	Syae.g_01741
OG0000369	Prbk.g_01624	Syae.g_01742
OG0000370	Prbk.g_01623	Syae.g_01743
OG0000371	Prbk.g_01614	Syae.g_01751
OG0000372	Prbk.g_01609	Syae.g_01756
OG0000373	Prbk.g_01608	Syae.g_01757
OG0000374	Prbk.g_01607	Syae.g_01758
OG0000375	Prbk.g_01606	Syae.g_01759
OG0000376	Prbk.g_01604	Syae.g_01761
OG0000377	Prbk.g_02155	Syae.g_01561
OG0000378	Prbk.g_02141	Syae.g_01553
OG0000379	Prbk.g_02125	Syae.g_01550
OG0000380	Prbk.g_01323	Syae.g_01281
OG0000381	Prbk.g_01319	Syae.g_01285
OG0000382	Prbk.g_01304	Syae.g_01322
OG0000383	Prbk.g_01302	Syae.g_01324
OG0000384	Prbk.g_01301	Syae.g_01325
OG0000385	Prbk.g_01300	Syae.g_01326
OG0000386	Prbk.g_01299	Syae.g_01327
OG0000387	Prbk.g_00020	Syae.g_01354
OG0000388	Prbk.g_00016	Syae.g_01358
OG0000389	Prbk.g_00012	Syae.g_01362
OG0000390	Prbk.g_00191	Syae.g_01378
OG0000391	Prbk.g_00196	Syae.g_01383
OG0000392	Prbk.g_00202	Syae.g_01389
OG0000393	Prbk.g_00207	Syae.g_01392
OG0000394	Prbk.g_00208	Syae.g_01393
OG0000395	Prbk.g_00209	Syae.g_01394
OG0000396	Prbk.g_00542	Syae.g_01397
OG0000397	Prbk.g_00544	Syae.g_01400
OG0000398	Prbk.g_00549	Syae.g_01405
OG0000399	Prbk.g_00550	Syae.g_01406
OG0000400	Prbk.g_00551	Syae.g_01407
OG0000401	Prbk.g_00552	Syae.g_01408
OG0000402	Prbk.g_00554	Syae.g_01410
OG0000403	Prbk.g_00555	Syae.g_01411
OG0000404	Prbk.g_00557	Syae.g_01412
OG0000405	Prbk.g_00749	Syae.g_01426
OG0000406	Prbk.g_00753	Syae.g_01430
OG0000407	Prbk.g_00754	Syae.g_01431
OG0000408	Prbk.g_00756	Syae.g_01433
OG0000409	Prbk.g_00758	Syae.g_01435
OG0000410	Prbk.g_00759	Syae.g_01436
OG0000411	Prbk.g_00760	Syae.g_01437
OG0000412	Prbk.g_00761	Syae.g_01438
OG0000413	Prbk.g_00763	Syae.g_01440
OG0000415	Prbk.g_00765	Syae.g_01441
OG0000416	Prbk.g_00766	Syae.g_01442
OG0000417	Prbk.g_00767	Syae.g_01443
OG0000418	Prbk.g_00772	Syae.g_01448
OG0000419	Prbk.g_00774	Syae.g_01450
OG0000420	Prbk.g_00775	Syae.g_01452
OG0000421	Prbk.g_00779	Syae.g_01457
OG0000422	Prbk.g_00780	Syae.g_01458
OG0000423	Prbk.g_00781	Syae.g_01459
OG0000424	Prbk.g_00782	Syae.g_01460
OG0000425	Prbk.g_00783	Syae.g_01461
OG0000426	Prbk.g_00784	Syae.g_01462
OG0000427	Prbk.g_00785	Syae.g_01463
OG0000428	Prbk.g_02425	Syae.g_01466
OG0000429	Prbk.g_01283	Syae.g_01468
OG0000430	Prbk.g_01281	Syae.g_01470
OG0000431	Prbk.g_01277	Syae.g_01473
OG0000432	Prbk.g_01270	Syae.g_01481
OG0000433	Prbk.g_01267	Syae.g_01484
OG0000434	Prbk.g_01266	Syae.g_01485
OG0000435	Prbk.g_01263	Syae.g_01486
OG0000436	Prbk.g_01257	Syae.g_01491
OG0000437	Prbk.g_01256	Syae.g_01492
OG0000438	Prbk.g_01255	Syae.g_01493
OG0000439	Prbk.g_01253	Syae.g_01495
OG0000440	Prbk.g_01252	Syae.g_01496
OG0000441	Prbk.g_01245	Syae.g_01501
