Orthogroup	Syae	Syas
OG0000376	Syae.g_01761	Syas.g_02083
OG0000377	Syae.g_01561	Syas.g_01879
OG0000378	Syae.g_01553	Syas.g_01867
OG0000379	Syae.g_01550	Syas.g_01859
OG0000380	Syae.g_01281	Syas.g_02523
OG0000381	Syae.g_01285	Syas.g_02521
OG0000382	Syae.g_01322	Syas.g_02503
OG0000383	Syae.g_01324	Syas.g_02480
OG0000384	Syae.g_01325	Syas.g_02479
OG0000385	Syae.g_01326	Syas.g_02478
OG0000386	Syae.g_01327	Syas.g_02477
OG0000387	Syae.g_01354	Syas.g_00134
OG0000388	Syae.g_01358	Syas.g_02426
OG0000389	Syae.g_01362	Syas.g_02422
OG0000390	Syae.g_01378	Syas.g_02406
OG0000391	Syae.g_01383	Syas.g_02401
OG0000392	Syae.g_01389	Syas.g_02396
OG0000393	Syae.g_01392	Syas.g_02394
OG0000394	Syae.g_01393	Syas.g_02393
OG0000395	Syae.g_01394	Syas.g_02392
OG0000396	Syae.g_01397	Syas.g_02389
OG0000397	Syae.g_01400	Syas.g_02387
OG0000398	Syae.g_01405	Syas.g_02382
OG0000399	Syae.g_01406	Syas.g_02381
OG0000400	Syae.g_01407	Syas.g_02380
OG0000401	Syae.g_01408	Syas.g_02379
OG0000402	Syae.g_01410	Syas.g_02377
OG0000403	Syae.g_01411	Syas.g_02376
OG0000404	Syae.g_01412	Syas.g_02375
OG0000405	Syae.g_01426	Syas.g_02369
OG0000406	Syae.g_01430	Syas.g_02365
OG0000407	Syae.g_01431	Syas.g_02364
OG0000408	Syae.g_01433	Syas.g_02361
OG0000409	Syae.g_01435	Syas.g_02359
OG0000410	Syae.g_01436	Syas.g_02358
OG0000411	Syae.g_01437	Syas.g_02357
OG0000412	Syae.g_01438	Syas.g_02356
OG0000413	Syae.g_01440	Syas.g_02354
OG0000415	Syae.g_01441	Syas.g_02352
OG0000416	Syae.g_01442	Syas.g_02351
OG0000417	Syae.g_01443	Syas.g_02338
OG0000418	Syae.g_01448	Syas.g_02333
OG0000419	Syae.g_01450	Syas.g_02331
OG0000420	Syae.g_01452	Syas.g_02329
OG0000421	Syae.g_01457	Syas.g_02324
OG0000422	Syae.g_01458	Syas.g_02323
OG0000423	Syae.g_01459	Syas.g_02322
OG0000424	Syae.g_01460	Syas.g_02321
OG0000425	Syae.g_01461	Syas.g_02320
OG0000426	Syae.g_01462	Syas.g_02319
OG0000427	Syae.g_01463	Syas.g_02318
OG0000428	Syae.g_01466	Syas.g_02315
OG0000429	Syae.g_01468	Syas.g_02312
OG0000430	Syae.g_01470	Syas.g_02311
OG0000431	Syae.g_01473	Syas.g_02296
OG0000432	Syae.g_01481	Syas.g_02288
OG0000433	Syae.g_01484	Syas.g_02286
OG0000434	Syae.g_01485	Syas.g_02285
OG0000435	Syae.g_01486	Syas.g_02282
OG0000436	Syae.g_01491	Syas.g_02273
OG0000437	Syae.g_01492	Syas.g_02272
OG0000438	Syae.g_01493	Syas.g_02271
OG0000439	Syae.g_01495	Syas.g_02269
OG0000440	Syae.g_01496	Syas.g_02268
OG0000441	Syae.g_01501	Syas.g_02265
OG0000442	Syae.g_01502	Syas.g_02259
OG0000443	Syae.g_01503	Syas.g_02241
OG0000444	Syae.g_01509	Syas.g_02234
OG0000445	Syae.g_01510	Syas.g_02233
OG0000446	Syae.g_01512	Syas.g_02231
OG0000447	Syae.g_01517	Syas.g_02229
OG0000448	Syae.g_01518	Syas.g_02228
OG0000449	Syae.g_01519	Syas.g_02226
OG0000450	Syae.g_01525	Syas.g_01834
OG0000451	Syae.g_01526	Syas.g_01835
OG0000452	Syae.g_01530	Syas.g_01844
OG0000453	Syae.g_01531	Syas.g_01845
OG0000454	Syae.g_01532	Syas.g_01846
OG0000455	Syae.g_01533	Syas.g_01847
OG0000456	Syae.g_01534	Syas.g_01848
OG0000457	Syae.g_01536	Syas.g_01850
OG0000458	Syae.g_01538	Syas.g_01851
OG0000459	Syae.g_01539	Syas.g_01852
OG0000460	Syae.g_02236	Syas.g_02554
OG0000461	Syae.g_02024	Syas.g_01686
OG0000462	Syae.g_02021	Syas.g_01688
OG0000463	Syae.g_02020	Syas.g_01689
OG0000464	Syae.g_02019	Syas.g_01690
OG0000465	Syae.g_02018	Syas.g_01692
OG0000466	Syae.g_02014	Syas.g_01697
OG0000467	Syae.g_02012	Syas.g_01698
OG0000468	Syae.g_02007	Syas.g_01703
OG0000469	Syae.g_01992	Syas.g_01725
OG0000470	Syae.g_01990	Syas.g_01727
OG0000471	Syae.g_01989	Syas.g_01728
OG0000472	Syae.g_01987	Syas.g_01729
OG0000473	Syae.g_01985	Syas.g_01731
OG0000474	Syae.g_01984	Syas.g_01732
OG0000475	Syae.g_01983	Syas.g_01733
OG0000476	Syae.g_01981	Syas.g_01735
OG0000477	Syae.g_01975	Syas.g_01740
OG0000478	Syae.g_01974	Syas.g_01741
OG0000479	Syae.g_01973	Syas.g_01749
OG0000480	Syae.g_01966	Syas.g_01756
OG0000481	Syae.g_01964	Syas.g_00161, Syas.g_00162
OG0000482	Syae.g_01963	Syas.g_01758
OG0000483	Syae.g_01959	Syas.g_01762
OG0000484	Syae.g_01958	Syas.g_01763
OG0000485	Syae.g_01957	Syas.g_01764
OG0000486	Syae.g_01956	Syas.g_01765
OG0000487	Syae.g_01950	Syas.g_01771
OG0000488	Syae.g_01946	Syas.g_01779
OG0000489	Syae.g_01936	Syas.g_01823
OG0000490	Syae.g_01928	Syas.g_01808
OG0000491	Syae.g_01927	Syas.g_01806
OG0000492	Syae.g_01925	Syas.g_01803
OG0000493	Syae.g_01924	Syas.g_01802
OG0000494	Syae.g_01923	Syas.g_01801
OG0000495	Syae.g_01922	Syas.g_01799
OG0000496	Syae.g_01921	Syas.g_01798
OG0000497	Syae.g_01920	Syas.g_01797
OG0000498	Syae.g_01919	Syas.g_01796
OG0000499	Syae.g_01918	Syas.g_01795
OG0000500	Syae.g_01917	Syas.g_01794
OG0000501	Syae.g_01914	Syas.g_01791
OG0000502	Syae.g_01902	Syas.g_02216
OG0000503	Syae.g_02192	Syas.g_01541
OG0000504	Syae.g_02194	Syas.g_01539
OG0000505	Syae.g_02195	Syas.g_01538
OG0000506	Syae.g_02197	Syas.g_01536
OG0000507	Syae.g_02203	Syas.g_01530
OG0000508	Syae.g_02207	Syas.g_01523
OG0000509	Syae.g_02209	Syas.g_01521
OG0000510	Syae.g_02210	Syas.g_01520
OG0000511	Syae.g_02211	Syas.g_01519
OG0000512	Syae.g_02213	Syas.g_01517
OG0000513	Syae.g_02223	Syas.g_01508
OG0000514	Syae.g_02229	Syas.g_01504
OG0000515	Syae.g_02230	Syas.g_01503
OG0000516	Syae.g_01000	Syas.g_01501
OG0000517	Syae.g_00995	Syas.g_01498
OG0000518	Syae.g_00983	Syas.g_00360, Syas.g_02746
OG0000519	Syae.g_00982	Syas.g_02747
OG0000520	Syae.g_00981	Syas.g_02748
OG0000521	Syae.g_02491	Syas.g_01281
OG0000522	Syae.g_02493	Syas.g_01279
OG0000523	Syae.g_02494	Syas.g_01278
OG0000524	Syae.g_02501	Syas.g_01354
OG0000525	Syae.g_02520	Syas.g_01342
OG0000526	Syae.g_02523	Syas.g_01340
OG0000527	Syae.g_02528	Syas.g_01335
OG0000528	Syae.g_02304	Syas.g_01256
OG0000529	Syae.g_02310	Syas.g_01252
OG0000530	Syae.g_02313	Syas.g_01249
OG0000531	Syae.g_02314	Syas.g_01248
OG0000532	Syae.g_02317	Syas.g_01245
OG0000533	Syae.g_02318	Syas.g_01243
OG0000534	Syae.g_02319	Syas.g_01242
OG0000535	Syae.g_02320	Syas.g_01241
OG0000536	Syae.g_02321	Syas.g_01240
OG0000537	Syae.g_02322	Syas.g_01238
OG0000538	Syae.g_02333	Syas.g_01228
OG0000539	Syae.g_02334	Syas.g_01227
OG0000540	Syae.g_02335	Syas.g_01226
OG0000541	Syae.g_02336	Syas.g_01225
OG0000542	Syae.g_02339	Syas.g_01221
OG0000543	Syae.g_02341	Syas.g_01219
OG0000544	Syae.g_02342	Syas.g_01218
OG0000545	Syae.g_02344	Syas.g_01216
OG0000546	Syae.g_02346	Syas.g_01214
OG0000547	Syae.g_02348	Syas.g_01212
OG0000548	Syae.g_02349	Syas.g_01211
OG0000549	Syae.g_02354	Syas.g_00005
OG0000550	Syae.g_02358	Syas.g_00010
OG0000551	Syae.g_02363	Syas.g_00015
OG0000552	Syae.g_02364	Syas.g_00016
OG0000553	Syae.g_02366	Syas.g_00019
OG0000554	Syae.g_02375	Syas.g_00063
OG0000555	Syae.g_02390	Syas.g_00775
OG0000556	Syae.g_02394	Syas.g_00781
OG0000557	Syae.g_02398	Syas.g_00783
OG0000558	Syae.g_02400	Syas.g_00785
OG0000559	Syae.g_02404	Syas.g_00789
OG0000560	Syae.g_02407	Syas.g_00792
OG0000561	Syae.g_02408	Syas.g_00793
OG0000562	Syae.g_02409	Syas.g_00794
OG0000563	Syae.g_02410	Syas.g_00795
OG0000564	Syae.g_02411	Syas.g_00796
OG0000565	Syae.g_02414	Syas.g_00800
OG0000566	Syae.g_02418	Syas.g_00804
OG0000567	Syae.g_02422	Syas.g_00808
OG0000568	Syae.g_02427	Syas.g_00810
OG0000569	Syae.g_02428	Syas.g_00811
OG0000570	Syae.g_02429	Syas.g_00812
