Orthogroup	Praa	Praj
OG0000460	Praa.g_00483	Praj.g_00476
OG0000461	Praa.g_00484	Praj.g_00477
OG0000462	Praa.g_00485	Praj.g_00478
OG0000463	Praa.g_00487	Praj.g_00479
OG0000464	Praa.g_00488	Praj.g_00480
OG0000465	Praa.g_00489	Praj.g_00481
OG0000466	Praa.g_00490	Praj.g_00482
OG0000467	Praa.g_00491	Praj.g_00483
OG0000468	Praa.g_00492	Praj.g_00484
OG0000469	Praa.g_00493	Praj.g_00485
OG0000470	Praa.g_00494	Praj.g_00486
OG0000471	Praa.g_00495	Praj.g_00487
OG0000472	Praa.g_00500	Praj.g_00492
OG0000473	Praa.g_00501	Praj.g_00493
OG0000474	Praa.g_00502	Praj.g_00494
OG0000475	Praa.g_00503	Praj.g_00495
OG0000476	Praa.g_00505	Praj.g_00497
OG0000477	Praa.g_00506	Praj.g_00498
OG0000478	Praa.g_00507	Praj.g_00499
OG0000479	Praa.g_00508	Praj.g_00500
OG0000480	Praa.g_00510	Praj.g_00502
OG0000481	Praa.g_00512	Praj.g_00504
OG0000482	Praa.g_00513	Praj.g_00505
OG0000483	Praa.g_00515	Praj.g_00507
OG0000484	Praa.g_00516	Praj.g_00508
OG0000485	Praa.g_00517	Praj.g_00509
OG0000486	Praa.g_00518	Praj.g_00511
OG0000487	Praa.g_00523	Praj.g_00515
OG0000488	Praa.g_00525	Praj.g_00516
OG0000489	Praa.g_00526	Praj.g_00517
OG0000490	Praa.g_00527	Praj.g_00518
OG0000491	Praa.g_00528	Praj.g_00519
OG0000492	Praa.g_00529	Praj.g_00520
OG0000493	Praa.g_00530	Praj.g_00521
OG0000494	Praa.g_00531	Praj.g_00522
OG0000495	Praa.g_00534	Praj.g_00525
OG0000496	Praa.g_00535	Praj.g_00526
OG0000497	Praa.g_00536	Praj.g_00527
OG0000498	Praa.g_00537	Praj.g_00528
OG0000499	Praa.g_00538	Praj.g_00529
OG0000500	Praa.g_00540	Praj.g_00531
OG0000501	Praa.g_00541	Praj.g_00532
OG0000502	Praa.g_00543	Praj.g_00533
OG0000503	Praa.g_00545	Praj.g_00535
OG0000504	Praa.g_00546	Praj.g_00536
OG0000505	Praa.g_00547	Praj.g_00537
OG0000506	Praa.g_00548	Praj.g_00538
OG0000507	Praa.g_00549	Praj.g_00539
OG0000508	Praa.g_00550	Praj.g_00540
OG0000509	Praa.g_00551	Praj.g_00541
OG0000510	Praa.g_00552	Praj.g_00542
OG0000511	Praa.g_00554	Praj.g_00544
OG0000512	Praa.g_00555	Praj.g_00545
OG0000513	Praa.g_00556	Praj.g_00546
OG0000514	Praa.g_00557	Praj.g_00547
OG0000515	Praa.g_00558	Praj.g_00548
OG0000516	Praa.g_00559	Praj.g_00549
OG0000517	Praa.g_00561	Praj.g_00551
OG0000518	Praa.g_00562	Praj.g_00552
OG0000519	Praa.g_00563	Praj.g_00553
OG0000520	Praa.g_00564	Praj.g_00554
OG0000521	Praa.g_00565	Praj.g_00555
OG0000522	Praa.g_00566	Praj.g_00556
OG0000523	Praa.g_00567	Praj.g_00557
OG0000524	Praa.g_00568	Praj.g_00558
OG0000525	Praa.g_00569	Praj.g_00559
OG0000526	Praa.g_00570	Praj.g_00560
OG0000527	Praa.g_00571	Praj.g_00561
OG0000528	Praa.g_00572	Praj.g_00562
OG0000529	Praa.g_00573	Praj.g_00563
OG0000530	Praa.g_00574	Praj.g_00564
OG0000531	Praa.g_00575	Praj.g_00565
OG0000532	Praa.g_00576	Praj.g_00566
OG0000533	Praa.g_00578	Praj.g_00567
OG0000534	Praa.g_00579	Praj.g_00568
OG0000535	Praa.g_00580	Praj.g_00569
OG0000536	Praa.g_00581	Praj.g_00570
OG0000537	Praa.g_00582	Praj.g_00571
OG0000538	Praa.g_00583	Praj.g_00572
OG0000539	Praa.g_00586	Praj.g_00574
OG0000540	Praa.g_00587	Praj.g_00575
OG0000541	Praa.g_00588	Praj.g_00576
OG0000542	Praa.g_00591	Praj.g_00578
OG0000543	Praa.g_00592	Praj.g_00579
OG0000544	Praa.g_00593	Praj.g_00581
OG0000545	Praa.g_00594	Praj.g_00580
OG0000546	Praa.g_00595	Praj.g_00582
OG0000547	Praa.g_00596	Praj.g_00583
OG0000548	Praa.g_00597	Praj.g_00584
OG0000549	Praa.g_00599	Praj.g_00586
OG0000550	Praa.g_00600	Praj.g_00587
OG0000551	Praa.g_00601	Praj.g_00588
OG0000552	Praa.g_00602	Praj.g_00589
OG0000553	Praa.g_00603	Praj.g_00590
OG0000554	Praa.g_00604	Praj.g_00591
OG0000555	Praa.g_00605	Praj.g_00593
OG0000556	Praa.g_00606	Praj.g_00594
OG0000557	Praa.g_00607	Praj.g_00595
OG0000558	Praa.g_00608	Praj.g_00596
OG0000559	Praa.g_00609	Praj.g_00597
OG0000560	Praa.g_00610	Praj.g_00598
OG0000561	Praa.g_00611	Praj.g_00599
OG0000562	Praa.g_00612	Praj.g_00600
OG0000563	Praa.g_00613	Praj.g_00601
OG0000564	Praa.g_00614	Praj.g_00602
OG0000565	Praa.g_00615	Praj.g_00603
OG0000566	Praa.g_00616	Praj.g_00604
OG0000567	Praa.g_00617	Praj.g_00605
OG0000568	Praa.g_00618	Praj.g_00606
OG0000569	Praa.g_00621	Praj.g_00609
