Orthogroup	Prbk	Syad
OG0000432	Prbk.g_01270	Syad.g_02930
OG0000433	Prbk.g_01267	Syad.g_02933
OG0000434	Prbk.g_01266	Syad.g_02934
OG0000435	Prbk.g_01263	Syad.g_02936
OG0000436	Prbk.g_01257	Syad.g_02942
OG0000437	Prbk.g_01256	Syad.g_02943
OG0000438	Prbk.g_01255	Syad.g_02944
OG0000439	Prbk.g_01253	Syad.g_02946
OG0000440	Prbk.g_01252	Syad.g_02947
OG0000441	Prbk.g_01245	Syad.g_02951
OG0000442	Prbk.g_01244	Syad.g_02952
OG0000443	Prbk.g_00631	Syad.g_02953
OG0000444	Prbk.g_00683	Syad.g_02964
OG0000445	Prbk.g_00682	Syad.g_02965
OG0000446	Prbk.g_00680	Syad.g_02967
OG0000447	Prbk.g_00670	Syad.g_02970
OG0000448	Prbk.g_00669	Syad.g_02971
OG0000449	Prbk.g_00668	Syad.g_02972
OG0000450	Prbk.g_00662	Syad.g_02978
OG0000451	Prbk.g_00661	Syad.g_02979
OG0000452	Prbk.g_00656	Syad.g_02983
OG0000453	Prbk.g_00655	Syad.g_02984
OG0000454	Prbk.g_00654	Syad.g_02985
OG0000455	Prbk.g_00653	Syad.g_02986
OG0000456	Prbk.g_00652	Syad.g_02987
OG0000457	Prbk.g_00650	Syad.g_02989
OG0000458	Prbk.g_00649	Syad.g_02998
OG0000459	Prbk.g_00648	Syad.g_02999
OG0000460	Prbk.g_01369	Syad.g_00815
OG0000461	Prbk.g_01900	Syad.g_00579
OG0000462	Prbk.g_01012	Syad.g_00576
OG0000463	Prbk.g_01011	Syad.g_00575
OG0000464	Prbk.g_01010	Syad.g_00574
OG0000465	Prbk.g_01008	Syad.g_00573
OG0000466	Prbk.g_01003	Syad.g_00568
OG0000467	Prbk.g_01001	Syad.g_00566
OG0000468	Prbk.g_00371	Syad.g_00561
OG0000469	Prbk.g_00384	Syad.g_00545
OG0000470	Prbk.g_00397	Syad.g_00542
OG0000471	Prbk.g_00398	Syad.g_00541
