Orthogroup	Pral	Praw
OG0000494	Pral.g_00530	Praw.g_00588
OG0000495	Pral.g_00529	Praw.g_00587
OG0000496	Pral.g_00527	Praw.g_00586
OG0000497	Pral.g_00525	Praw.g_00585
OG0000498	Pral.g_00524	Praw.g_00584
OG0000499	Pral.g_00522	Praw.g_00582
OG0000500	Pral.g_00521	Praw.g_00581
OG0000501	Pral.g_00519	Praw.g_00579
OG0000502	Pral.g_00518	Praw.g_00578
OG0000503	Pral.g_00516	Praw.g_00577
OG0000504	Pral.g_00515	Praw.g_00576
OG0000505	Pral.g_00514	Praw.g_00575
OG0000506	Pral.g_00513	Praw.g_01922
OG0000507	Pral.g_00512	Praw.g_01923
OG0000508	Pral.g_00510	Praw.g_01925
OG0000509	Pral.g_00509	Praw.g_01926
OG0000510	Pral.g_00508	Praw.g_01927
OG0000511	Pral.g_00507	Praw.g_01928
OG0000512	Pral.g_00506	Praw.g_01929
OG0000513	Pral.g_00505	Praw.g_01930
OG0000514	Pral.g_00504	Praw.g_01931
OG0000515	Pral.g_00503	Praw.g_01933
OG0000516	Pral.g_00502	Praw.g_01934
OG0000517	Pral.g_00501	Praw.g_01935
OG0000518	Pral.g_00498	Praw.g_01937
OG0000519	Pral.g_00497	Praw.g_01938
OG0000520	Pral.g_00496	Praw.g_01939
OG0000521	Pral.g_00495	Praw.g_01940
OG0000522	Pral.g_00494	Praw.g_01941
OG0000523	Pral.g_00493	Praw.g_01942
OG0000524	Pral.g_00492	Praw.g_01943
OG0000525	Pral.g_00490	Praw.g_01945
OG0000526	Pral.g_00489	Praw.g_01946
OG0000527	Pral.g_00488	Praw.g_01947
OG0000528	Pral.g_00487	Praw.g_01948
OG0000529	Pral.g_00486	Praw.g_01949
OG0000530	Pral.g_00485	Praw.g_00140
OG0000531	Pral.g_00483	Praw.g_00141
OG0000532	Pral.g_00482	Praw.g_00142
OG0000533	Pral.g_00481	Praw.g_00143
OG0000534	Pral.g_00480	Praw.g_00144
OG0000535	Pral.g_00479	Praw.g_00145
OG0000536	Pral.g_00478	Praw.g_00146
OG0000537	Pral.g_00477	Praw.g_00147
OG0000538	Pral.g_00476	Praw.g_00148
OG0000539	Pral.g_00475	Praw.g_00149
OG0000540	Pral.g_00474	Praw.g_00150
OG0000541	Pral.g_00472	Praw.g_00151
OG0000542	Pral.g_00471	Praw.g_00152
OG0000543	Pral.g_00470	Praw.g_00153
OG0000544	Pral.g_00469	Praw.g_00154
