Orthogroup	Prak	Prbl
OG0000430	Prak.g_00432	Prbl.g_01344
OG0000431	Prak.g_00434	Prbl.g_01342
OG0000432	Prak.g_00435	Prbl.g_01341
OG0000433	Prak.g_00438	Prbl.g_00503
OG0000434	Prak.g_00439	Prbl.g_00506
OG0000435	Prak.g_00440	Prbl.g_00510
OG0000436	Prak.g_00442	Prbl.g_00512
OG0000437	Prak.g_00444	Prbl.g_00514
OG0000438	Prak.g_00445	Prbl.g_00515
OG0000439	Prak.g_00446	Prbl.g_00516
OG0000440	Prak.g_00448	Prbl.g_00519
OG0000441	Prak.g_00449	Prbl.g_00521
OG0000442	Prak.g_00450	Prbl.g_00522
OG0000443	Prak.g_00451	Prbl.g_00523
OG0000444	Prak.g_00452	Prbl.g_00524
OG0000445	Prak.g_00453	Prbl.g_00525
OG0000446	Prak.g_00454	Prbl.g_00526
OG0000447	Prak.g_00455	Prbl.g_00527
OG0000448	Prak.g_00456	Prbl.g_00528
OG0000449	Prak.g_00462	Prbl.g_00536
OG0000450	Prak.g_00463	Prbl.g_00806
OG0000451	Prak.g_00464	Prbl.g_00805
OG0000452	Prak.g_00465	Prbl.g_00804
OG0000453	Prak.g_00466	Prbl.g_00801
OG0000454	Prak.g_00467	Prbl.g_00800
OG0000455	Prak.g_00468	Prbl.g_00799
OG0000456	Prak.g_00469	Prbl.g_00798
OG0000457	Prak.g_00471	Prbl.g_00797
OG0000458	Prak.g_00473	Prbl.g_00795
OG0000459	Prak.g_00474	Prbl.g_00794
OG0000460	Prak.g_00476	Prbl.g_00792
OG0000461	Prak.g_00477	Prbl.g_00791
OG0000462	Prak.g_00478	Prbl.g_00790
OG0000463	Prak.g_00479	Prbl.g_00785
OG0000464	Prak.g_00483	Prbl.g_00780
OG0000465	Prak.g_00484	Prbl.g_00779
OG0000466	Prak.g_00485	Prbl.g_00778
OG0000467	Prak.g_00486	Prbl.g_00776
OG0000468	Prak.g_00487	Prbl.g_00775
OG0000469	Prak.g_00488	Prbl.g_00770
OG0000470	Prak.g_00489	Prbl.g_01526
OG0000471	Prak.g_00490	Prbl.g_00032
OG0000472	Prak.g_00493	Prbl.g_00765
OG0000473	Prak.g_00494	Prbl.g_00763
OG0000474	Prak.g_00495	Prbl.g_00761
OG0000475	Prak.g_00496	Prbl.g_00760
OG0000476	Prak.g_00497	Prbl.g_00754
OG0000477	Prak.g_00499	Prbl.g_00751
OG0000478	Prak.g_00500	Prbl.g_00749
OG0000479	Prak.g_00501	Prbl.g_00747
OG0000480	Prak.g_00503	Prbl.g_02645
OG0000481	Prak.g_00504	Prbl.g_01878
OG0000482	Prak.g_00506	Prbl.g_01879
OG0000483	Prak.g_00507	Prbl.g_01881
OG0000484	Prak.g_00508	Prbl.g_01882
OG0000485	Prak.g_00509	Prbl.g_01883
OG0000486	Prak.g_00510	Prbl.g_01884
OG0000487	Prak.g_00511	Prbl.g_01885
OG0000488	Prak.g_00513	Prbl.g_01887
OG0000489	Prak.g_00514	Prbl.g_01888
OG0000490	Prak.g_00515	Prbl.g_01889
OG0000491	Prak.g_00516	Prbl.g_01890
OG0000492	Prak.g_00517	Prbl.g_01891
OG0000493	Prak.g_00518	Prbl.g_01892
OG0000494	Prak.g_00519	Prbl.g_01894
OG0000495	Prak.g_00520	Prbl.g_01895
OG0000496	Prak.g_00522	Prbl.g_01897
OG0000497	Prak.g_00524	Prbl.g_01899
OG0000498	Prak.g_00525	Prbl.g_01900
OG0000499	Prak.g_00527	Prbl.g_01902
OG0000500	Prak.g_00528	Prbl.g_01903
OG0000501	Prak.g_00530	Prbl.g_01801
OG0000502	Prak.g_00531	Prbl.g_01800
OG0000503	Prak.g_00532	Prbl.g_01799
OG0000504	Prak.g_00533	Prbl.g_01797
OG0000505	Prak.g_00534	Prbl.g_01796
OG0000506	Prak.g_00535	Prbl.g_01795
OG0000507	Prak.g_00536	Prbl.g_01794
OG0000508	Prak.g_00538	Prbl.g_01790
OG0000509	Prak.g_00539	Prbl.g_01789
OG0000510	Prak.g_00540	Prbl.g_01788
OG0000511	Prak.g_00541	Prbl.g_01787
OG0000512	Prak.g_00542	Prbl.g_01786
OG0000513	Prak.g_00543	Prbl.g_01785
OG0000514	Prak.g_00544	Prbl.g_01784
OG0000515	Prak.g_00547	Prbl.g_01781
OG0000516	Prak.g_00548	Prbl.g_01780
OG0000517	Prak.g_00549	Prbl.g_01779
OG0000518	Prak.g_00552	Prbl.g_01775
OG0000519	Prak.g_00553	Prbl.g_01774
OG0000520	Prak.g_00554	Prbl.g_01773
OG0000521	Prak.g_00555	Prbl.g_01772
OG0000522	Prak.g_00556	Prbl.g_01766
OG0000523	Prak.g_00557	Prbl.g_01765
OG0000524	Prak.g_00558	Prbl.g_01764
OG0000525	Prak.g_00560	Prbl.g_01762
OG0000526	Prak.g_00561	Prbl.g_01761
OG0000527	Prak.g_00562	Prbl.g_01760
OG0000528	Prak.g_00563	Prbl.g_01759
OG0000529	Prak.g_00564	Prbl.g_01758
OG0000530	Prak.g_00565	Prbl.g_01757
OG0000531	Prak.g_00567	Prbl.g_01754
OG0000532	Prak.g_00568	Prbl.g_01752
OG0000533	Prak.g_00569	Prbl.g_01751
OG0000534	Prak.g_00570	Prbl.g_01750
OG0000535	Prak.g_00571	Prbl.g_01749
OG0000536	Prak.g_00572	Prbl.g_01748
OG0000537	Prak.g_00573	Prbl.g_01747
OG0000538	Prak.g_00574	Prbl.g_01746
OG0000539	Prak.g_00575	Prbl.g_01744
OG0000540	Prak.g_00576	Prbl.g_01742
OG0000541	Prak.g_00577	Prbl.g_01610
OG0000542	Prak.g_00578	Prbl.g_01611
OG0000543	Prak.g_00579	Prbl.g_01612
OG0000544	Prak.g_00580	Prbl.g_01613
OG0000545	Prak.g_00582	Prbl.g_01616
OG0000546	Prak.g_00583	Prbl.g_01617
OG0000547	Prak.g_00585	Prbl.g_01619
OG0000548	Prak.g_00587	Prbl.g_01624
OG0000549	Prak.g_00588	Prbl.g_01625
OG0000550	Prak.g_00589	Prbl.g_01626
OG0000551	Prak.g_00591	Prbl.g_01629
OG0000552	Prak.g_00592	Prbl.g_01631
OG0000553	Prak.g_01113	Prbl.g_01632
OG0000554	Prak.g_01112	Prbl.g_01634
OG0000555	Prak.g_01111	Prbl.g_01635
OG0000556	Prak.g_01110	Prbl.g_01636
OG0000557	Prak.g_01109	Prbl.g_01637
OG0000558	Prak.g_01108	Prbl.g_01639
OG0000559	Prak.g_01107	Prbl.g_01640
OG0000560	Prak.g_01105	Prbl.g_01642
OG0000561	Prak.g_01104	Prbl.g_01643
OG0000562	Prak.g_01102	Prbl.g_01645
OG0000563	Prak.g_01101	Prbl.g_01646
OG0000564	Prak.g_01100	Prbl.g_01647
OG0000565	Prak.g_01099	Prbl.g_01655
OG0000566	Prak.g_01098	Prbl.g_01656
