Orthogroup	Prbn	Prav
OG0000239	Prbn.g_01303	Prav.g_00179
OG0000240	Prbn.g_01302	Prav.g_00180
OG0000241	Prbn.g_01301	Prav.g_00181
OG0000242	Prbn.g_01300	Prav.g_00182
OG0000243	Prbn.g_01297	Prav.g_00185
OG0000244	Prbn.g_01294	Prav.g_00187
OG0000245	Prbn.g_01293	Prav.g_00188
OG0000246	Prbn.g_01292	Prav.g_00189
OG0000247	Prbn.g_01290	Prav.g_00192
OG0000248	Prbn.g_01288	Prav.g_00194
OG0000249	Prbn.g_01286	Prav.g_00195
OG0000250	Prbn.g_01285	Prav.g_00196
OG0000251	Prbn.g_01284	Prav.g_00197
OG0000252	Prbn.g_01283	Prav.g_00198
OG0000253	Prbn.g_01282	Prav.g_00199
OG0000254	Prbn.g_01356	Prav.g_00201
OG0000255	Prbn.g_01280	Prav.g_00202
OG0000256	Prbn.g_01277	Prav.g_00205
OG0000257	Prbn.g_01275	Prav.g_00207
OG0000258	Prbn.g_01269	Prav.g_00212
OG0000259	Prbn.g_01268	Prav.g_00213
OG0000260	Prbn.g_01267	Prav.g_00214
OG0000261	Prbn.g_01266	Prav.g_00215
OG0000262	Prbn.g_01265	Prav.g_00216
OG0000263	Prbn.g_01263	Prav.g_00887
OG0000264	Prbn.g_01262	Prav.g_00886
OG0000265	Prbn.g_01261	Prav.g_00885
OG0000266	Prbn.g_01260	Prav.g_00884
OG0000267	Prbn.g_01259	Prav.g_00883
OG0000268	Prbn.g_01257	Prav.g_00882
OG0000269	Prbn.g_01255	Prav.g_00880
OG0000270	Prbn.g_01254	Prav.g_00879
OG0000271	Prbn.g_01253	Prav.g_00878
OG0000272	Prbn.g_01252	Prav.g_00877
OG0000273	Prbn.g_01251	Prav.g_00876
OG0000274	Prbn.g_01250	Prav.g_00875
OG0000275	Prbn.g_01249	Prav.g_00874
OG0000276	Prbn.g_01248	Prav.g_00873
OG0000277	Prbn.g_01246	Prav.g_00871
OG0000278	Prbn.g_01245	Prav.g_00870
OG0000279	Prbn.g_01244	Prav.g_00869
OG0000280	Prbn.g_00383	Prav.g_00867
OG0000281	Prbn.g_00381	Prav.g_00865
OG0000282	Prbn.g_00380	Prav.g_00864
OG0000283	Prbn.g_00379	Prav.g_00863
OG0000284	Prbn.g_00378	Prav.g_00862
OG0000285	Prbn.g_00377	Prav.g_00861
OG0000286	Prbn.g_00376	Prav.g_00860
OG0000287	Prbn.g_00375	Prav.g_00859
OG0000288	Prbn.g_00373	Prav.g_00857
OG0000289	Prbn.g_00372	Prav.g_00856
OG0000290	Prbn.g_00371	Prav.g_00855
OG0000291	Prbn.g_00369	Prav.g_00853
OG0000292	Prbn.g_00367	Prav.g_00852
OG0000293	Prbn.g_00366	Prav.g_00851
OG0000294	Prbn.g_00365	Prav.g_00850
OG0000295	Prbn.g_00364	Prav.g_00849
OG0000296	Prbn.g_00363	Prav.g_00848
OG0000297	Prbn.g_00362	Prav.g_00847
OG0000298	Prbn.g_00360	Prav.g_00845
OG0000299	Prbn.g_00359	Prav.g_00844
OG0000300	Prbn.g_00358	Prav.g_00843
OG0000301	Prbn.g_00357	Prav.g_00842
OG0000302	Prbn.g_00356	Prav.g_00841
OG0000303	Prbn.g_00355	Prav.g_00840
