Orthogroup	Syar	Prav
OG0000317	Syar.g_02926	Prav.g_01759
OG0000318	Syar.g_02930	Prav.g_01762
OG0000319	Syar.g_02954	Prav.g_01775
OG0000320	Syar.g_02956	Prav.g_01777
OG0000321	Syar.g_02957	Prav.g_01778
OG0000322	Syar.g_02958	Prav.g_01779
OG0000323	Syar.g_02973	Prav.g_01788
OG0000324	Syar.g_00350, Syar.g_03001	Prav.g_01815
OG0000325	Syar.g_03291, Syar.g_00148	Prav.g_00269
OG0000326	Syar.g_00139, Syar.g_03134	Prav.g_00275
OG0000327	Syar.g_01029	Prav.g_00591
OG0000328	Syar.g_01030	Prav.g_00592
OG0000329	Syar.g_03189, Syar.g_01048	Prav.g_00609
OG0000330	Syar.g_03190, Syar.g_01049	Prav.g_00610
OG0000331	Syar.g_01050, Syar.g_03191	Prav.g_00611
OG0000332	Syar.g_01064, Syar.g_03299	Prav.g_00625
OG0000333	Syar.g_01067	Prav.g_00627
OG0000334	Syar.g_01076	Prav.g_00635
OG0000335	Syar.g_01080	Prav.g_00640
OG0000336	Syar.g_01084	Prav.g_00644
OG0000337	Syar.g_00285	Prav.g_00661
OG0000338	Syar.g_03225, Syar.g_00287	Prav.g_00662
OG0000339	Syar.g_00658	Prav.g_00666
OG0000340	Syar.g_00247	Prav.g_00674
OG0000341	Syar.g_00249	Prav.g_00676
OG0000342	Syar.g_00250	Prav.g_00677
OG0000343	Syar.g_00256	Prav.g_00678
OG0000344	Syar.g_00260	Prav.g_00681
OG0000345	Syar.g_00612	Prav.g_00686
OG0000346	Syar.g_00607	Prav.g_00690
OG0000347	Syar.g_00558	Prav.g_00706
OG0000348	Syar.g_00544	Prav.g_00715
OG0000349	Syar.g_00521	Prav.g_00732
OG0000350	Syar.g_00132	Prav.g_00751
OG0000351	Syar.g_00442	Prav.g_00768
OG0000352	Syar.g_00443	Prav.g_00769
OG0000353	Syar.g_00469	Prav.g_00785
OG0000354	Syar.g_00487	Prav.g_01352
OG0000355	Syar.g_00471	Prav.g_00787
OG0000356	Syar.g_00472	Prav.g_00788
OG0000357	Syar.g_00473	Prav.g_00789
OG0000358	Syar.g_00477	Prav.g_00793
OG0000359	Syar.g_00479	Prav.g_00794
OG0000360	Syar.g_00480	Prav.g_00795
OG0000361	Syar.g_00481	Prav.g_00078
OG0000362	Syar.g_00483	Prav.g_00080
OG0000363	Syar.g_00484	Prav.g_00082
OG0000364	Syar.g_02928	Prav.g_00083
OG0000365	Syar.g_00493	Prav.g_00088
OG0000366	Syar.g_00494	Prav.g_00089
OG0000367	Syar.g_03262, Syar.g_00495	Prav.g_00090
OG0000368	Syar.g_00497	Prav.g_00092
OG0000369	Syar.g_00498	Prav.g_00093
OG0000370	Syar.g_00499	Prav.g_00094
OG0000371	Syar.g_00508	Prav.g_00100
OG0000372	Syar.g_00514	Prav.g_00103
OG0000373	Syar.g_00515	Prav.g_00104
OG0000374	Syar.g_00516	Prav.g_00105
OG0000375	Syar.g_00517	Prav.g_00111
OG0000376	Syar.g_00519	Prav.g_00113
OG0000377	Syar.g_00322	Prav.g_00116
OG0000378	Syar.g_00905	Prav.g_00118
OG0000379	Syar.g_00910	Prav.g_00121
OG0000380	Syar.g_03039	Prav.g_00131
OG0000381	Syar.g_03041	Prav.g_00135
OG0000382	Syar.g_03057	Prav.g_00146
OG0000383	Syar.g_03074	Prav.g_00148
OG0000384	Syar.g_03075	Prav.g_00149
OG0000385	Syar.g_03076	Prav.g_00150
OG0000386	Syar.g_03077	Prav.g_00151
OG0000387	Syar.g_03109	Prav.g_00164
OG0000388	Syar.g_03148, Syar.g_03113	Prav.g_00167
OG0000389	Syar.g_03118	Prav.g_00171
OG0000390	Syar.g_00033	Prav.g_00178
OG0000391	Syar.g_00038	Prav.g_00181
OG0000392	Syar.g_00045	Prav.g_00185
OG0000393	Syar.g_00048	Prav.g_00187
OG0000394	Syar.g_00049	Prav.g_00188
OG0000395	Syar.g_00050	Prav.g_00189
OG0000396	Syar.g_00053	Prav.g_00192
OG0000397	Syar.g_00055	Prav.g_00194
OG0000398	Syar.g_00060	Prav.g_00196
OG0000399	Syar.g_00061	Prav.g_00197
OG0000400	Syar.g_00062	Prav.g_00198
OG0000401	Syar.g_00063	Prav.g_00199
OG0000402	Syar.g_00065	Prav.g_00201
OG0000403	Syar.g_00066	Prav.g_00202
OG0000404	Syar.g_00067	Prav.g_00203
OG0000405	Syar.g_00076	Prav.g_00207
OG0000406	Syar.g_00080	Prav.g_00214
OG0000407	Syar.g_00081	Prav.g_00215
OG0000409	Syar.g_00085	Prav.g_00886
OG0000410	Syar.g_00086	Prav.g_00885
OG0000411	Syar.g_00087	Prav.g_00884
OG0000412	Syar.g_00088	Prav.g_00883
OG0000413	Syar.g_00090	Prav.g_00882
OG0000414	Syar.g_00091, Syar.g_03179	Prav.g_00881
OG0000415	Syar.g_00092	Prav.g_00880
OG0000416	Syar.g_00093	Prav.g_00879
OG0000417	Syar.g_00095	Prav.g_00878
