Orthogroup	Prad	Prbm
OG0000337	Prad.g_00779	Prbm.g_02064
OG0000338	Prad.g_00778	Prbm.g_02065
OG0000339	Prad.g_00774	Prbm.g_02070
OG0000340	Prad.g_00766, Prad.g_01294	Prbm.g_02079
OG0000341	Prad.g_00764	Prbm.g_02081
OG0000342	Prad.g_00763	Prbm.g_02082
OG0000343	Prad.g_00762	Prbm.g_02083
OG0000344	Prad.g_01639	Prbm.g_02086
OG0000345	Prad.g_01634	Prbm.g_02091
OG0000346	Prad.g_01630	Prbm.g_02095
OG0000347	Prad.g_01615	Prbm.g_02114
OG0000348	Prad.g_01606	Prbm.g_02149
OG0000349	Prad.g_01589	Prbm.g_02167
OG0000350	Prad.g_01570	Prbm.g_02188
OG0000351	Prad.g_01553	Prbm.g_02212
OG0000352	Prad.g_01552	Prbm.g_02213
OG0000353	Prad.g_01537	Prbm.g_02232
OG0000354	Prad.g_01041	Prbm.g_01220
OG0000355	Prad.g_01535	Prbm.g_00001
OG0000356	Prad.g_01534	Prbm.g_00002
OG0000357	Prad.g_01533	Prbm.g_00003
OG0000358	Prad.g_01529	Prbm.g_00007
OG0000359	Prad.g_01528	Prbm.g_00008
OG0000360	Prad.g_01527	Prbm.g_00009
OG0000361	Prad.g_01976	Prbm.g_00010
OG0000362	Prad.g_01974	Prbm.g_00012
OG0000363	Prad.g_01972	Prbm.g_00014
OG0000364	Prad.g_01971	Prbm.g_00015
OG0000365	Prad.g_01966	Prbm.g_00020
OG0000366	Prad.g_01965	Prbm.g_00021
OG0000367	Prad.g_01964	Prbm.g_00022
OG0000368	Prad.g_01962	Prbm.g_00024
OG0000369	Prad.g_01961	Prbm.g_00025
OG0000370	Prad.g_01960	Prbm.g_00026
OG0000371	Prad.g_01954	Prbm.g_00032
OG0000372	Prad.g_01951	Prbm.g_00033
OG0000373	Prad.g_01950	Prbm.g_00034
OG0000374	Prad.g_01949	Prbm.g_00035
OG0000375	Prad.g_01947	Prbm.g_00049
OG0000376	Prad.g_01945	Prbm.g_00051
OG0000377	Prad.g_01941	Prbm.g_00054
OG0000378	Prad.g_01939	Prbm.g_00056
OG0000379	Prad.g_01936	Prbm.g_00059
OG0000380	Prad.g_01927	Prbm.g_00123
OG0000381	Prad.g_01923	Prbm.g_00127
OG0000382	Prad.g_01912	Prbm.g_00138
OG0000383	Prad.g_01910	Prbm.g_00140
OG0000384	Prad.g_01909	Prbm.g_00141
OG0000385	Prad.g_01908	Prbm.g_00142
OG0000386	Prad.g_01907	Prbm.g_00143
OG0000387	Prad.g_01894	Prbm.g_00156
OG0000388	Prad.g_01891	Prbm.g_00160
OG0000389	Prad.g_01887	Prbm.g_00163
OG0000390	Prad.g_01880, Prad.g_00011	Prbm.g_00172
OG0000391	Prad.g_01877	Prbm.g_00176
OG0000392	Prad.g_01873	Prbm.g_00179
OG0000393	Prad.g_01871	Prbm.g_00182
OG0000394	Prad.g_01870	Prbm.g_00183
OG0000395	Prad.g_01869	Prbm.g_00184
OG0000396	Prad.g_01866	Prbm.g_00187
OG0000397	Prad.g_01864	Prbm.g_00189
OG0000398	Prad.g_01862	Prbm.g_00192
OG0000399	Prad.g_01861	Prbm.g_00193
OG0000400	Prad.g_01860	Prbm.g_00194
OG0000401	Prad.g_01859	Prbm.g_00195
OG0000402	Prad.g_01857	Prbm.g_01096
OG0000403	Prad.g_01856	Prbm.g_00196
OG0000404	Prad.g_01855	Prbm.g_00197
OG0000405	Prad.g_01851	Prbm.g_00202
OG0000406	Prad.g_01844	Prbm.g_00206
OG0000407	Prad.g_01843	Prbm.g_00207
OG0000408	Prad.g_01841	Prbm.g_00209
OG0000409	Prad.g_01839	Prbm.g_00211
OG0000410	Prad.g_01838	Prbm.g_00212
OG0000411	Prad.g_01837	Prbm.g_00213
OG0000412	Prad.g_01836	Prbm.g_00214
OG0000413	Prad.g_01835	Prbm.g_00215
OG0000414	Prad.g_01834	Prbm.g_00216
OG0000415	Prad.g_01833	Prbm.g_00217
OG0000416	Prad.g_01832	Prbm.g_00218
OG0000417	Prad.g_01831	Prbm.g_00219
OG0000418	Prad.g_01826	Prbm.g_00224
OG0000419	Prad.g_01824	Prbm.g_00226
OG0000420	Prad.g_01823	Prbm.g_00227
OG0000421	Prad.g_01818	Prbm.g_00232
OG0000422	Prad.g_01817	Prbm.g_00233
OG0000423	Prad.g_01816	Prbm.g_00234
OG0000424	Prad.g_01815	Prbm.g_00235
OG0000425	Prad.g_01814	Prbm.g_00236
OG0000426	Prad.g_01813	Prbm.g_00237
OG0000427	Prad.g_01812	Prbm.g_00238
OG0000428	Prad.g_01810	Prbm.g_00240
OG0000429	Prad.g_01809	Prbm.g_00241
OG0000430	Prad.g_01808	Prbm.g_00242
OG0000431	Prad.g_01806	Prbm.g_00244
OG0000432	Prad.g_01803	Prbm.g_00248
OG0000433	Prad.g_01802	Prbm.g_00249
OG0000434	Prad.g_01801	Prbm.g_00250
OG0000435	Prad.g_01800	Prbm.g_00251
OG0000436	Prad.g_01795	Prbm.g_00256
OG0000437	Prad.g_01794	Prbm.g_00257
OG0000438	Prad.g_01793	Prbm.g_00258
OG0000439	Prad.g_01791	Prbm.g_00260
OG0000440	Prad.g_01790	Prbm.g_00261
OG0000441	Prad.g_01787	Prbm.g_00263
OG0000442	Prad.g_01786	Prbm.g_00264
OG0000443	Prad.g_01785	Prbm.g_00265
OG0000444	Prad.g_01780	Prbm.g_00270
OG0000445	Prad.g_01779	Prbm.g_00271
OG0000446	Prad.g_01778	Prbm.g_00272
OG0000447	Prad.g_01777	Prbm.g_00273
OG0000448	Prad.g_01776	Prbm.g_00274
OG0000449	Prad.g_01775	Prbm.g_00275
OG0000450	Prad.g_01774	Prbm.g_00276
OG0000451	Prad.g_01773	Prbm.g_00277
OG0000452	Prad.g_01770	Prbm.g_00280
OG0000453	Prad.g_01769	Prbm.g_00281
OG0000454	Prad.g_01768	Prbm.g_00282
OG0000455	Prad.g_01767	Prbm.g_00283
OG0000456	Prad.g_01766	Prbm.g_00284
OG0000457	Prad.g_01765	Prbm.g_00285
OG0000458	Prad.g_01764	Prbm.g_00286
OG0000459	Prad.g_01763	Prbm.g_00287
OG0000460	Prad.g_01756	Prbm.g_00295
OG0000461	Prad.g_01749	Prbm.g_00303
OG0000462	Prad.g_01747	Prbm.g_00305
OG0000463	Prad.g_01746	Prbm.g_00306
OG0000464	Prad.g_01745	Prbm.g_00307
OG0000465	Prad.g_01744	Prbm.g_00308
OG0000466	Prad.g_01741	Prbm.g_00309
OG0000467	Prad.g_01740	Prbm.g_00310
OG0000468	Prad.g_01738	Prbm.g_00312
OG0000469	Prad.g_01729	Prbm.g_00320
OG0000470	Prad.g_01727	Prbm.g_00322
OG0000471	Prad.g_01726	Prbm.g_00323
OG0000472	Prad.g_01725	Prbm.g_00324
OG0000473	Prad.g_01723	Prbm.g_00326
OG0000474	Prad.g_01722	Prbm.g_00327
OG0000475	Prad.g_01721	Prbm.g_00328
OG0000476	Prad.g_01720	Prbm.g_00330
OG0000477	Prad.g_01716	Prbm.g_00332
OG0000478	Prad.g_01715	Prbm.g_00333
OG0000479	Prad.g_01714	Prbm.g_00334
OG0000480	Prad.g_01709	Prbm.g_00339
OG0000481	Prad.g_01707	Prbm.g_00341
OG0000482	Prad.g_01706	Prbm.g_00342
OG0000483	Prad.g_01703	Prbm.g_00345
OG0000484	Prad.g_01702	Prbm.g_00346
OG0000485	Prad.g_01701	Prbm.g_00347
OG0000486	Prad.g_01700	Prbm.g_00348
OG0000487	Prad.g_01696	Prbm.g_00351
OG0000488	Prad.g_01693	Prbm.g_00354
OG0000489	Prad.g_01688	Prbm.g_00359
OG0000490	Prad.g_01683	Prbm.g_00364
OG0000491	Prad.g_01682	Prbm.g_00365
OG0000492	Prad.g_01680	Prbm.g_00367
OG0000493	Prad.g_01679	Prbm.g_00368
OG0000494	Prad.g_01678	Prbm.g_00369
OG0000495	Prad.g_01677	Prbm.g_00370
OG0000496	Prad.g_01676	Prbm.g_00371
OG0000497	Prad.g_01675	Prbm.g_00372
OG0000498	Prad.g_01674	Prbm.g_00373
OG0000499	Prad.g_01673	Prbm.g_00374
OG0000500	Prad.g_01672	Prbm.g_00375
OG0000501	Prad.g_01670	Prbm.g_00376
OG0000502	Prad.g_01667	Prbm.g_00379
OG0000503	Prad.g_01657	Prbm.g_00400
OG0000504	Prad.g_01656	Prbm.g_00402
OG0000505	Prad.g_01655	Prbm.g_00403
OG0000506	Prad.g_01653	Prbm.g_00404
OG0000507	Prad.g_01650	Prbm.g_00407
OG0000508	Prad.g_01646	Prbm.g_00410
OG0000509	Prad.g_01644	Prbm.g_00412
OG0000510	Prad.g_01643	Prbm.g_00413
OG0000511	Prad.g_01642	Prbm.g_00414
OG0000512	Prad.g_00760	Prbm.g_00416
OG0000513	Prad.g_00753	Prbm.g_00426
OG0000514	Prad.g_00671	Prbm.g_00440
OG0000515	Prad.g_00670	Prbm.g_00441
OG0000516	Prad.g_00669	Prbm.g_00442
OG0000517	Prad.g_00667	Prbm.g_00445
OG0000518	Prad.g_00061	Prbm.g_00456
OG0000519	Prad.g_00060	Prbm.g_00457
OG0000520	Prad.g_00059	Prbm.g_00458
OG0000521	Prad.g_00054	Prbm.g_00480
OG0000522	Prad.g_00052	Prbm.g_00482
OG0000523	Prad.g_00051	Prbm.g_00483
OG0000524	Prad.g_00045	Prbm.g_00490
OG0000525	Prad.g_00042	Prbm.g_00494
OG0000526	Prad.g_00041	Prbm.g_00495
OG0000527	Prad.g_00034	Prbm.g_00498
OG0000528	Prad.g_00029	Prbm.g_00504
OG0000529	Prad.g_00026	Prbm.g_00507
OG0000530	Prad.g_00023	Prbm.g_00510
OG0000531	Prad.g_00022	Prbm.g_00511
OG0000532	Prad.g_00020	Prbm.g_00512
OG0000533	Prad.g_00019	Prbm.g_00513
OG0000534	Prad.g_00018	Prbm.g_00514
OG0000535	Prad.g_00017	Prbm.g_00515
OG0000536	Prad.g_00016	Prbm.g_00516
OG0000537	Prad.g_00015	Prbm.g_00517
OG0000538	Prad.g_00129	Prbm.g_00534
