Orthogroup	Praj	Praq
OG0000355	Praj.g_00304	Praq.g_01736
OG0000356	Praj.g_00305	Praq.g_01735
OG0000357	Praj.g_00306	Praq.g_01734
OG0000358	Praj.g_00307	Praq.g_01733
OG0000359	Praj.g_00309	Praq.g_01732
OG0000360	Praj.g_00311	Praq.g_01728
OG0000361	Praj.g_00312	Praq.g_01727
OG0000362	Praj.g_00313	Praq.g_01726
OG0000363	Praj.g_00314	Praq.g_01725
OG0000364	Praj.g_00318	Praq.g_01721
OG0000365	Praj.g_00319	Praq.g_01719
OG0000366	Praj.g_00321	Praq.g_01717
OG0000367	Praj.g_00322	Praq.g_01716
OG0000368	Praj.g_00323	Praq.g_01715
OG0000369	Praj.g_00324	Praq.g_01714
OG0000370	Praj.g_00325	Praq.g_01713
OG0000371	Praj.g_00326	Praq.g_01712
OG0000372	Praj.g_00327	Praq.g_01711
OG0000373	Praj.g_00328	Praq.g_01710
OG0000374	Praj.g_00329	Praq.g_01708
OG0000375	Praj.g_00330	Praq.g_01707
OG0000376	Praj.g_00333	Praq.g_01704
OG0000377	Praj.g_00334	Praq.g_01703
OG0000378	Praj.g_00335	Praq.g_01702
OG0000379	Praj.g_00336	Praq.g_01701
OG0000380	Praj.g_00337	Praq.g_01700
OG0000381	Praj.g_00338	Praq.g_01699
OG0000382	Praj.g_00339	Praq.g_01698
OG0000383	Praj.g_00340	Praq.g_01697
OG0000384	Praj.g_00343	Praq.g_01694
OG0000385	Praj.g_00344	Praq.g_01693
OG0000386	Praj.g_00345	Praq.g_01692
OG0000387	Praj.g_00346	Praq.g_01691
OG0000388	Praj.g_00347	Praq.g_01690
OG0000389	Praj.g_00348	Praq.g_01689
OG0000390	Praj.g_00349	Praq.g_01688
OG0000391	Praj.g_00350	Praq.g_01687
OG0000392	Praj.g_00351	Praq.g_01686
OG0000393	Praj.g_00352	Praq.g_01685
OG0000394	Praj.g_00353	Praq.g_01684
OG0000395	Praj.g_00354	Praq.g_01683
OG0000396	Praj.g_00356	Praq.g_01681
OG0000397	Praj.g_00358	Praq.g_01679
OG0000398	Praj.g_00359	Praq.g_01678
OG0000399	Praj.g_00362	Praq.g_01675
OG0000400	Praj.g_00368	Praq.g_01674
OG0000401	Praj.g_00724	Praq.g_01673
OG0000402	Praj.g_00380	Praq.g_01211
OG0000403	Praj.g_00382	Praq.g_01210
OG0000404	Praj.g_00383	Praq.g_01209
OG0000405	Praj.g_00384	Praq.g_01207
OG0000406	Praj.g_00387	Praq.g_01204
OG0000407	Praj.g_00388	Praq.g_01203
OG0000408	Praj.g_00390	Praq.g_01200
OG0000409	Praj.g_00391	Praq.g_01199
OG0000410	Praj.g_00392	Praq.g_01198
OG0000411	Praj.g_00393	Praq.g_01197
OG0000412	Praj.g_00394	Praq.g_01196
OG0000413	Praj.g_00395	Praq.g_01195
OG0000414	Praj.g_00396	Praq.g_01194
OG0000415	Praj.g_00397	Praq.g_01193
OG0000416	Praj.g_00402	Praq.g_01189
OG0000417	Praj.g_00403	Praq.g_01188
OG0000418	Praj.g_00405	Praq.g_01187
OG0000419	Praj.g_00406	Praq.g_01186
OG0000420	Praj.g_00824	Praq.g_01185
OG0000421	Praj.g_01049	Praq.g_01172
OG0000422	Praj.g_01081	Praq.g_01164
OG0000423	Praj.g_01244	Praq.g_01163
OG0000424	Praj.g_01869	Praq.g_01158
OG0000425	Praj.g_00425	Praq.g_01126
OG0000426	Praj.g_00426	Praq.g_01125
OG0000427	Praj.g_00427	Praq.g_01124
OG0000428	Praj.g_00429	Praq.g_01122
OG0000429	Praj.g_00430	Praq.g_01121
OG0000430	Praj.g_00432	Praq.g_01119
OG0000431	Praj.g_00433	Praq.g_01118
OG0000432	Praj.g_00434	Praq.g_01117
OG0000433	Praj.g_00435	Praq.g_01116
OG0000434	Praj.g_00436	Praq.g_01115
OG0000435	Praj.g_00437	Praq.g_01114
OG0000436	Praj.g_00438	Praq.g_01113
OG0000437	Praj.g_00439	Praq.g_01112
OG0000438	Praj.g_00440	Praq.g_01111
OG0000439	Praj.g_00441	Praq.g_01110
OG0000440	Praj.g_00442	Praq.g_01109
OG0000441	Praj.g_00443	Praq.g_01108
OG0000442	Praj.g_00444	Praq.g_01107
OG0000443	Praj.g_00445	Praq.g_00500
OG0000444	Praj.g_00446	Praq.g_00501
OG0000445	Praj.g_00447	Praq.g_00502
OG0000446	Praj.g_00449	Praq.g_00504
OG0000447	Praj.g_00450	Praq.g_00505
OG0000448	Praj.g_00451	Praq.g_00507
OG0000449	Praj.g_00457	Praq.g_00511
OG0000450	Praj.g_00458	Praq.g_00512
OG0000451	Praj.g_00459	Praq.g_00513
OG0000452	Praj.g_00461	Praq.g_00514
OG0000453	Praj.g_00462	Praq.g_00515
OG0000454	Praj.g_00464	Praq.g_00522
OG0000455	Praj.g_00465	Praq.g_00524
OG0000456	Praj.g_00469	Praq.g_00528
OG0000457	Praj.g_00471	Praq.g_00529
OG0000458	Praj.g_00472	Praq.g_00530
OG0000459	Praj.g_00474	Praq.g_00532
OG0000460	Praj.g_00476	Praq.g_00534
OG0000461	Praj.g_00477	Praq.g_00535
OG0000462	Praj.g_00478	Praq.g_00536
OG0000463	Praj.g_00479	Praq.g_00538
OG0000464	Praj.g_00480	Praq.g_00539
OG0000465	Praj.g_00481	Praq.g_00540
OG0000466	Praj.g_00482	Praq.g_00541
OG0000467	Praj.g_00483	Praq.g_00542
OG0000468	Praj.g_00484	Praq.g_00543
OG0000469	Praj.g_00485	Praq.g_00544
OG0000470	Praj.g_00486	Praq.g_00545
OG0000471	Praj.g_00487	Praq.g_00546
OG0000472	Praj.g_00492	Praq.g_01102
OG0000473	Praj.g_00493	Praq.g_01101
OG0000474	Praj.g_00494	Praq.g_01100
OG0000475	Praj.g_00495	Praq.g_01099
OG0000476	Praj.g_00497	Praq.g_01097
OG0000477	Praj.g_00498	Praq.g_01096
OG0000478	Praj.g_00499	Praq.g_01095
OG0000479	Praj.g_00500	Praq.g_01094
OG0000480	Praj.g_00502	Praq.g_01092
OG0000481	Praj.g_00504	Praq.g_01090
OG0000482	Praj.g_00505	Praq.g_01089
OG0000483	Praj.g_00507	Praq.g_01087
OG0000484	Praj.g_00508	Praq.g_01086
OG0000485	Praj.g_00509	Praq.g_01085
OG0000486	Praj.g_00511	Praq.g_01084
OG0000487	Praj.g_00515	Praq.g_01079
OG0000488	Praj.g_00516	Praq.g_01077
OG0000489	Praj.g_00517	Praq.g_01076
OG0000490	Praj.g_00518	Praq.g_01075
OG0000491	Praj.g_00519	Praq.g_01074
OG0000492	Praj.g_00520	Praq.g_01073
OG0000493	Praj.g_00521	Praq.g_01072
OG0000494	Praj.g_00522	Praq.g_01071
OG0000495	Praj.g_00525	Praq.g_01068
OG0000496	Praj.g_00526	Praq.g_01067
OG0000497	Praj.g_00527	Praq.g_01066
OG0000498	Praj.g_00528	Praq.g_01065
OG0000499	Praj.g_00529	Praq.g_01064
OG0000500	Praj.g_00531	Praq.g_01062
OG0000501	Praj.g_00532	Praq.g_01061
OG0000502	Praj.g_00533	Praq.g_01060
OG0000503	Praj.g_00535	Praq.g_01058
OG0000504	Praj.g_00536	Praq.g_01057
OG0000505	Praj.g_00537	Praq.g_01056
OG0000506	Praj.g_00538	Praq.g_01055
OG0000507	Praj.g_00539	Praq.g_01054
OG0000508	Praj.g_00540	Praq.g_01053
OG0000509	Praj.g_00541	Praq.g_01052
OG0000510	Praj.g_00542	Praq.g_01051
OG0000511	Praj.g_00544	Praq.g_01049
OG0000512	Praj.g_00545	Praq.g_01048
OG0000513	Praj.g_00546	Praq.g_01047
OG0000514	Praj.g_00547	Praq.g_01046
OG0000515	Praj.g_00548	Praq.g_01045
OG0000516	Praj.g_00549	Praq.g_01044
OG0000517	Praj.g_00551	Praq.g_01042
OG0000518	Praj.g_00552	Praq.g_01041
OG0000519	Praj.g_00553	Praq.g_01040
OG0000520	Praj.g_00554	Praq.g_01039
OG0000521	Praj.g_00555	Praq.g_01038
OG0000522	Praj.g_00556	Praq.g_01037
OG0000523	Praj.g_00557	Praq.g_01036
OG0000524	Praj.g_00558	Praq.g_01035
OG0000525	Praj.g_00559	Praq.g_01034
OG0000526	Praj.g_00560	Praq.g_01033
OG0000527	Praj.g_00561	Praq.g_01032
OG0000528	Praj.g_00562	Praq.g_01031
OG0000529	Praj.g_00563	Praq.g_01030
OG0000530	Praj.g_00564	Praq.g_01029
OG0000531	Praj.g_00565	Praq.g_01028
OG0000532	Praj.g_00566	Praq.g_01027
OG0000533	Praj.g_00567	Praq.g_01025
OG0000534	Praj.g_00568	Praq.g_01024
OG0000535	Praj.g_00569	Praq.g_01023
OG0000536	Praj.g_00570	Praq.g_01022
OG0000537	Praj.g_00571	Praq.g_01021
OG0000538	Praj.g_00572	Praq.g_01020
OG0000539	Praj.g_00574	Praq.g_01017
OG0000540	Praj.g_00575	Praq.g_01016
OG0000541	Praj.g_00576	Praq.g_01015
