Orthogroup	Prae	Prbc
OG0000332	Prae.g_01751	Prbc.g_00292
OG0000333	Prae.g_01753	Prbc.g_00290
OG0000334	Prae.g_01761	Prbc.g_00281
OG0000335	Prae.g_01767	Prbc.g_00276
OG0000336	Prae.g_01771	Prbc.g_00272
OG0000337	Prae.g_01787	Prbc.g_00241
OG0000338	Prae.g_01788	Prbc.g_00240
OG0000339	Prae.g_01792	Prbc.g_00235
OG0000340	Prae.g_01800	Prbc.g_00226
OG0000341	Prae.g_01802	Prbc.g_00224
OG0000342	Prae.g_01803	Prbc.g_00223
OG0000343	Prae.g_01804	Prbc.g_00222
OG0000344	Prae.g_01807	Prbc.g_00219
OG0000345	Prae.g_01812	Prbc.g_00214
OG0000346	Prae.g_01816	Prbc.g_00210
OG0000347	Prae.g_01832	Prbc.g_00190
OG0000348	Prae.g_01841	Prbc.g_00970
OG0000349	Prae.g_01858	Prbc.g_00988
OG0000350	Prae.g_01877	Prbc.g_01009
OG0000351	Prae.g_01894	Prbc.g_01047
OG0000352	Prae.g_01895	Prbc.g_01048
OG0000353	Prae.g_01910	Prbc.g_01068
OG0000355	Prae.g_00001	Prbc.g_01071
OG0000356	Prae.g_00002	Prbc.g_01072
OG0000357	Prae.g_00003	Prbc.g_01073
OG0000358	Prae.g_00007	Prbc.g_01077
OG0000359	Prae.g_00008	Prbc.g_01078
OG0000360	Prae.g_00009	Prbc.g_01079
OG0000361	Prae.g_00010	Prbc.g_01080
OG0000362	Prae.g_00012	Prbc.g_01082
OG0000363	Prae.g_00014	Prbc.g_01084
OG0000364	Prae.g_00015	Prbc.g_01085
OG0000365	Prae.g_00020	Prbc.g_01090
OG0000366	Prae.g_00021	Prbc.g_01091
OG0000367	Prae.g_00022	Prbc.g_01092
OG0000368	Prae.g_00024	Prbc.g_01094
OG0000369	Prae.g_00025	Prbc.g_01095
OG0000370	Prae.g_00026	Prbc.g_01096
OG0000371	Prae.g_00032	Prbc.g_01102
OG0000372	Prae.g_00035	Prbc.g_01104
OG0000373	Prae.g_00036	Prbc.g_01105
OG0000374	Prae.g_00037	Prbc.g_01106
OG0000375	Prae.g_00042	Prbc.g_01118
OG0000376	Prae.g_00044	Prbc.g_01120
OG0000377	Prae.g_00047	Prbc.g_01123
OG0000378	Prae.g_00049	Prbc.g_01125
OG0000379	Prae.g_00052	Prbc.g_01128
OG0000380	Prae.g_00066	Prbc.g_00507
OG0000381	Prae.g_00070	Prbc.g_00503
OG0000382	Prae.g_00081	Prbc.g_00492
OG0000383	Prae.g_00083	Prbc.g_00490
OG0000384	Prae.g_00084	Prbc.g_00489
OG0000385	Prae.g_00085	Prbc.g_00488
OG0000386	Prae.g_00086	Prbc.g_00487
OG0000387	Prae.g_00099	Prbc.g_00474
OG0000388	Prae.g_00102	Prbc.g_00470
OG0000389	Prae.g_00105	Prbc.g_00467
OG0000390	Prae.g_00112	Prbc.g_00458
OG0000391	Prae.g_00116	Prbc.g_00454
OG0000392	Prae.g_00120	Prbc.g_00451
OG0000393	Prae.g_00122	Prbc.g_00448
OG0000394	Prae.g_00123	Prbc.g_00447
OG0000395	Prae.g_00124	Prbc.g_00446
OG0000396	Prae.g_00127	Prbc.g_00443
OG0000397	Prae.g_00129	Prbc.g_00441
OG0000398	Prae.g_00131	Prbc.g_00438
OG0000399	Prae.g_00132	Prbc.g_00437
OG0000400	Prae.g_00133	Prbc.g_00436
OG0000401	Prae.g_00134	Prbc.g_00435
OG0000402	Prae.g_00136	Prbc.g_02145
OG0000403	Prae.g_00137	Prbc.g_00434
OG0000404	Prae.g_00138	Prbc.g_00433
OG0000405	Prae.g_00142	Prbc.g_00428
OG0000406	Prae.g_00150	Prbc.g_00424
OG0000407	Prae.g_00151	Prbc.g_00423
OG0000408	Prae.g_00153	Prbc.g_00421
OG0000409	Prae.g_00155	Prbc.g_00419
OG0000410	Prae.g_00156	Prbc.g_00418
OG0000411	Prae.g_00157	Prbc.g_00417
OG0000412	Prae.g_00158	Prbc.g_00416
OG0000413	Prae.g_00159	Prbc.g_00415
OG0000414	Prae.g_00160	Prbc.g_00414
OG0000415	Prae.g_00161	Prbc.g_00413
OG0000416	Prae.g_00162	Prbc.g_00412
OG0000417	Prae.g_00163	Prbc.g_00411
OG0000418	Prae.g_00168	Prbc.g_00406
OG0000419	Prae.g_00170	Prbc.g_00404
OG0000420	Prae.g_00171	Prbc.g_00403
OG0000421	Prae.g_00176	Prbc.g_00399
OG0000422	Prae.g_00177	Prbc.g_00398
OG0000423	Prae.g_00178	Prbc.g_00397
OG0000424	Prae.g_00179	Prbc.g_00396
OG0000425	Prae.g_00180	Prbc.g_00395
OG0000426	Prae.g_00181	Prbc.g_00394
OG0000427	Prae.g_00182	Prbc.g_00393
OG0000428	Prae.g_00184	Prbc.g_00391
OG0000429	Prae.g_00185	Prbc.g_00390
OG0000430	Prae.g_00186	Prbc.g_00389
OG0000431	Prae.g_00188	Prbc.g_00387
OG0000432	Prae.g_00191	Prbc.g_00383
OG0000433	Prae.g_00192	Prbc.g_00382
OG0000434	Prae.g_00193	Prbc.g_00381
OG0000435	Prae.g_00194	Prbc.g_00380
OG0000436	Prae.g_00199	Prbc.g_00375
OG0000437	Prae.g_00200	Prbc.g_00374
OG0000438	Prae.g_00201	Prbc.g_00373
OG0000439	Prae.g_00203	Prbc.g_00371
OG0000440	Prae.g_00204	Prbc.g_00370
OG0000441	Prae.g_00207	Prbc.g_00368
OG0000442	Prae.g_00208	Prbc.g_00367
OG0000443	Prae.g_00209	Prbc.g_00366
OG0000444	Prae.g_00214	Prbc.g_00361
OG0000445	Prae.g_00215	Prbc.g_00360
OG0000446	Prae.g_00216	Prbc.g_00358
OG0000447	Prae.g_00217	Prbc.g_00357
OG0000448	Prae.g_00218	Prbc.g_00356
OG0000449	Prae.g_00219	Prbc.g_00355
OG0000450	Prae.g_00220	Prbc.g_00354
OG0000451	Prae.g_00221	Prbc.g_00353
OG0000452	Prae.g_00224	Prbc.g_00350
OG0000453	Prae.g_00225	Prbc.g_00349
OG0000454	Prae.g_00226	Prbc.g_00348
OG0000455	Prae.g_00227	Prbc.g_00347
OG0000456	Prae.g_00228	Prbc.g_00346
OG0000457	Prae.g_00229	Prbc.g_00345
OG0000458	Prae.g_00230	Prbc.g_00344
OG0000459	Prae.g_00231	Prbc.g_00343
OG0000460	Prae.g_00238	Prbc.g_00335
OG0000461	Prae.g_00245	Prbc.g_01140
