Orthogroup	Prar	Syaa
OG0000330	Prar.g_01049	Syaa.g_02274
OG0000331	Prar.g_01048	Syaa.g_02273
OG0000332	Prar.g_01034	Syaa.g_02258
OG0000333	Prar.g_01032	Syaa.g_02255
OG0000334	Prar.g_01024	Syaa.g_02246
OG0000335	Prar.g_01020	Syaa.g_02241
OG0000336	Prar.g_01016	Syaa.g_02237
OG0000337	Prar.g_00625	Syaa.g_00167
OG0000338	Prar.g_00626	Syaa.g_00162
OG0000339	Prar.g_00630	Syaa.g_00156
OG0000340	Prar.g_00638	Syaa.g_00144
OG0000341	Prar.g_00640	Syaa.g_00142
OG0000342	Prar.g_00641	Syaa.g_00141
OG0000343	Prar.g_00642	Syaa.g_00140
OG0000344	Prar.g_00645	Syaa.g_00136
OG0000345	Prar.g_00650	Syaa.g_00127
OG0000346	Prar.g_00654	Syaa.g_00122
OG0000347	Prar.g_00669	Syaa.g_00088
OG0000348	Prar.g_00678	Syaa.g_00071
OG0000349	Prar.g_00695	Syaa.g_00053
OG0000350	Prar.g_00072	Syaa.g_02336
OG0000351	Prar.g_00055	Syaa.g_02730
OG0000352	Prar.g_00054	Syaa.g_02731
OG0000353	Prar.g_00039	Syaa.g_02757
OG0000355	Prar.g_00037	Syaa.g_00001
OG0000356	Prar.g_00036	Syaa.g_00002
OG0000357	Prar.g_00035	Syaa.g_00003
OG0000358	Prar.g_00031	Syaa.g_00007
OG0000359	Prar.g_00030	Syaa.g_00009
OG0000360	Prar.g_00029	Syaa.g_00010
OG0000361	Prar.g_00028	Syaa.g_00011
OG0000362	Prar.g_00026	Syaa.g_00013
OG0000363	Prar.g_00024	Syaa.g_00015
OG0000364	Prar.g_00023	Syaa.g_00016
OG0000365	Prar.g_00018	Syaa.g_00027
OG0000366	Prar.g_00017	Syaa.g_00028
OG0000367	Prar.g_00016	Syaa.g_00029
OG0000368	Prar.g_00014	Syaa.g_00031
OG0000369	Prar.g_00013	Syaa.g_00032
OG0000370	Prar.g_00012	Syaa.g_00033
OG0000371	Prar.g_00006	Syaa.g_00041
OG0000372	Prar.g_00002	Syaa.g_00046
OG0000373	Prar.g_00001	Syaa.g_00047
OG0000374	Prar.g_00594	Syaa.g_00048
