Orthogroup	Prai	Prbb
OG0000265	Prai.g_00748	Prbb.g_00713
OG0000266	Prai.g_00758	Prbb.g_00723
OG0000267	Prai.g_00769	Prbb.g_00736
OG0000268	Prai.g_00770	Prbb.g_00737
OG0000269	Prai.g_00853	Prbb.g_00778
OG0000270	Prai.g_00850	Prbb.g_00781
OG0000271	Prai.g_00842	Prbb.g_00789
OG0000272	Prai.g_00840, Prai.g_00841	Prbb.g_00790
OG0000273	Prai.g_00817	Prbb.g_00814
OG0000274	Prai.g_00816	Prbb.g_00815
OG0000275	Prai.g_00741, Prai.g_00813	Prbb.g_00817
OG0000276	Prai.g_00808	Prbb.g_00823
OG0000277	Prai.g_00807	Prbb.g_00824
OG0000278	Prai.g_00804	Prbb.g_00828
OG0000279	Prai.g_00797	Prbb.g_00835
OG0000280	Prai.g_00796	Prbb.g_01370
OG0000281	Prai.g_00791	Prbb.g_00841
OG0000282	Prai.g_01044	Prbb.g_00934
OG0000283	Prai.g_01012	Prbb.g_00965
OG0000284	Prai.g_01007	Prbb.g_00970
OG0000285	Prai.g_01002	Prbb.g_00975
OG0000286	Prai.g_00990	Prbb.g_00990
OG0000287	Prai.g_00973	Prbb.g_00101
OG0000288	Prai.g_00944	Prbb.g_01039
OG0000289	Prai.g_00934	Prbb.g_01051
OG0000290	Prai.g_00921	Prbb.g_01067
OG0000291	Prai.g_00919	Prbb.g_01069
OG0000292	Prai.g_01107	Prbb.g_01238
OG0000293	Prai.g_01163	Prbb.g_01527
OG0000294	Prai.g_01164	Prbb.g_01526
OG0000295	Prai.g_01183	Prbb.g_01502
OG0000296	Prai.g_01185	Prbb.g_01500
OG0000297	Prai.g_01193	Prbb.g_01491
OG0000298	Prai.g_01194	Prbb.g_01490
OG0000299	Prai.g_01213	Prbb.g_01471
OG0000300	Prai.g_01216	Prbb.g_01468
OG0000301	Prai.g_01217	Prbb.g_01467
OG0000302	Prai.g_01219	Prbb.g_01464
OG0000303	Prai.g_01226	Prbb.g_01459
OG0000304	Prai.g_01230	Prbb.g_01456
