Orthogroup	Praw	Prbb
OG0000261	Praw.g_01258	Prbb.g_00233
OG0000262	Praw.g_01257	Prbb.g_00234
OG0000263	Praw.g_01256	Prbb.g_00235
OG0000264	Praw.g_01254	Prbb.g_00237
OG0000265	Praw.g_01253	Prbb.g_00238
OG0000266	Praw.g_01252	Prbb.g_00239
OG0000267	Praw.g_01250	Prbb.g_00241
OG0000268	Praw.g_01249	Prbb.g_00243
OG0000269	Praw.g_01248	Prbb.g_00244
OG0000270	Praw.g_01247	Prbb.g_00245
OG0000271	Praw.g_01246	Prbb.g_00246
OG0000272	Praw.g_01245	Prbb.g_00247
OG0000273	Praw.g_01244	Prbb.g_00248
OG0000274	Praw.g_01243	Prbb.g_00249
OG0000275	Praw.g_01242	Prbb.g_00250
OG0000276	Praw.g_01241	Prbb.g_00251
OG0000277	Praw.g_01240	Prbb.g_00252
OG0000278	Praw.g_01239	Prbb.g_00253
OG0000279	Praw.g_01238	Prbb.g_00254
OG0000280	Praw.g_01237	Prbb.g_00255
OG0000281	Praw.g_01235	Prbb.g_00257
OG0000282	Praw.g_01234	Prbb.g_00258
OG0000283	Praw.g_01231	Prbb.g_00260
OG0000284	Praw.g_01230	Prbb.g_00261
OG0000285	Praw.g_01229	Prbb.g_00262
OG0000286	Praw.g_01227	Prbb.g_00264
OG0000287	Praw.g_01226	Prbb.g_00265
OG0000288	Praw.g_01225	Prbb.g_00266
OG0000289	Praw.g_01224	Prbb.g_00267
OG0000290	Praw.g_01223	Prbb.g_00268
OG0000291	Praw.g_01222	Prbb.g_00269
OG0000292	Praw.g_01221	Prbb.g_00270
OG0000293	Praw.g_01220	Prbb.g_00271
OG0000294	Praw.g_01219	Prbb.g_00272
OG0000295	Praw.g_01218	Prbb.g_00273
OG0000296	Praw.g_01217	Prbb.g_00274
OG0000297	Praw.g_01216	Prbb.g_00275
OG0000298	Praw.g_01215	Prbb.g_00276
OG0000299	Praw.g_01214	Prbb.g_00277
OG0000300	Praw.g_01213	Prbb.g_00278
OG0000301	Praw.g_01212	Prbb.g_00279
OG0000302	Praw.g_01211	Prbb.g_00280
OG0000303	Praw.g_01210	Prbb.g_00281
OG0000304	Praw.g_01209	Prbb.g_00282
OG0000305	Praw.g_01208	Prbb.g_00283
OG0000306	Praw.g_01207	Prbb.g_00284
OG0000307	Praw.g_01206	Prbb.g_00285
OG0000308	Praw.g_01205	Prbb.g_00286
OG0000309	Praw.g_01204	Prbb.g_00287
OG0000310	Praw.g_01203	Prbb.g_00288
OG0000311	Praw.g_01202	Prbb.g_00290
OG0000312	Praw.g_01200	Prbb.g_00292
OG0000313	Praw.g_01199	Prbb.g_00293
OG0000314	Praw.g_01196	Prbb.g_00297
OG0000315	Praw.g_01195	Prbb.g_00298
OG0000316	Praw.g_00891	Prbb.g_00300
OG0000317	Praw.g_00889	Prbb.g_00302
