Orthogroup	Prba	Prbk
OG0000382	Prba.g_01869	Prbk.g_01304
OG0000383	Prba.g_01871	Prbk.g_01302
OG0000384	Prba.g_01872	Prbk.g_01301
OG0000385	Prba.g_01873	Prbk.g_01300
OG0000386	Prba.g_01874	Prbk.g_01299
OG0000387	Prba.g_01887	Prbk.g_00020
OG0000388	Prba.g_01890	Prbk.g_00016
OG0000389	Prba.g_01894	Prbk.g_00012
OG0000390	Prba.g_01901	Prbk.g_00191
OG0000391	Prba.g_01904	Prbk.g_00196
OG0000392	Prba.g_01908	Prbk.g_00202
OG0000393	Prba.g_01910	Prbk.g_00207
OG0000394	Prba.g_01911	Prbk.g_00208
OG0000395	Prba.g_01912	Prbk.g_00209
OG0000396	Prba.g_01915	Prbk.g_00542
OG0000397	Prba.g_01917	Prbk.g_00544
OG0000398	Prba.g_01919	Prbk.g_00549
OG0000399	Prba.g_01920	Prbk.g_00550
OG0000400	Prba.g_01921	Prbk.g_00551
OG0000401	Prba.g_01922	Prbk.g_00552
OG0000402	Prba.g_01924	Prbk.g_00554
OG0000403	Prba.g_01925	Prbk.g_00555
OG0000404	Prba.g_01926	Prbk.g_00557
OG0000405	Prba.g_01930	Prbk.g_00749
OG0000406	Prba.g_01935	Prbk.g_00753
OG0000407	Prba.g_01936	Prbk.g_00754
OG0000408	Prba.g_01938	Prbk.g_00756
OG0000409	Prba.g_01940	Prbk.g_00758
OG0000410	Prba.g_01941	Prbk.g_00759
OG0000411	Prba.g_01942	Prbk.g_00760
OG0000412	Prba.g_01943	Prbk.g_00761
OG0000413	Prba.g_01944	Prbk.g_00763
OG0000414	Prba.g_01945	Prbk.g_00764
OG0000415	Prba.g_01946	Prbk.g_00765
OG0000416	Prba.g_01947	Prbk.g_00766
OG0000417	Prba.g_01948	Prbk.g_00767
OG0000418	Prba.g_01953	Prbk.g_00772
OG0000419	Prba.g_00623	Prbk.g_00774
OG0000420	Prba.g_00624	Prbk.g_00775
OG0000421	Prba.g_00629	Prbk.g_00779
OG0000422	Prba.g_00630	Prbk.g_00780
OG0000423	Prba.g_00631	Prbk.g_00781
OG0000424	Prba.g_00632	Prbk.g_00782
OG0000425	Prba.g_00633	Prbk.g_00783
OG0000426	Prba.g_00634	Prbk.g_00784
OG0000427	Prba.g_00635	Prbk.g_00785
OG0000428	Prba.g_00637	Prbk.g_02425
OG0000429	Prba.g_00638	Prbk.g_01283
