Orthogroup	Syat	Prag
OG0000518	Syat.g_01286	Prag.g_00425
OG0000519	Syat.g_01285	Prag.g_00426
OG0000520	Syat.g_01284	Prag.g_00427
OG0000521	Syat.g_01319	Prag.g_00432
OG0000522	Syat.g_01317	Prag.g_00434
OG0000523	Syat.g_01316	Prag.g_00435
OG0000524	Syat.g_01409	Prag.g_00440
OG0000525	Syat.g_01382	Prag.g_00443
OG0000526	Syat.g_01380	Prag.g_00444
OG0000527	Syat.g_01373	Prag.g_00452
OG0000528	Syat.g_03167	Prag.g_00457
OG0000529	Syat.g_03171	Prag.g_00460
OG0000530	Syat.g_03174	Prag.g_00463
OG0000531	Syat.g_03175	Prag.g_00464
OG0000532	Syat.g_03178	Prag.g_00466
OG0000533	Syat.g_03180	Prag.g_00467
OG0000534	Syat.g_03181	Prag.g_00468
OG0000535	Syat.g_03182	Prag.g_00469
OG0000536	Syat.g_03183	Prag.g_00470
OG0000537	Syat.g_03185	Prag.g_00471
OG0000538	Syat.g_03204	Prag.g_00479
OG0000539	Syat.g_03206	Prag.g_00480
OG0000540	Syat.g_03207	Prag.g_00481
OG0000541	Syat.g_03208	Prag.g_00482
OG0000542	Syat.g_03213	Prag.g_00484
OG0000543	Syat.g_03215	Prag.g_00486
OG0000544	Syat.g_03216	Prag.g_00487
OG0000545	Syat.g_03218	Prag.g_00489
OG0000546	Syat.g_03220	Prag.g_00492
OG0000547	Syat.g_03222	Prag.g_00494
OG0000548	Syat.g_03223	Prag.g_00495
OG0000549	Syat.g_01795	Prag.g_00497
OG0000550	Syat.g_01107	Prag.g_00502
OG0000551	Syat.g_01103	Prag.g_00506
OG0000552	Syat.g_01102	Prag.g_00507
OG0000553	Syat.g_01098	Prag.g_00508
OG0000554	Syat.g_03271	Prag.g_00513
OG0000555	Syat.g_00093	Prag.g_00521
OG0000556	Syat.g_00088	Prag.g_00523
OG0000557	Syat.g_00083	Prag.g_00524
OG0000558	Syat.g_00081	Prag.g_00526
OG0000559	Syat.g_00077	Prag.g_00530
OG0000560	Syat.g_00074	Prag.g_00533
OG0000561	Syat.g_00073	Prag.g_00534
OG0000562	Syat.g_00072	Prag.g_00535
OG0000563	Syat.g_00071	Prag.g_00536
OG0000564	Syat.g_00070	Prag.g_00537
OG0000565	Syat.g_00067	Prag.g_00540
OG0000566	Syat.g_00063	Prag.g_00542
OG0000567	Syat.g_00059	Prag.g_00546
OG0000568	Syat.g_00057	Prag.g_00547
OG0000569	Syat.g_00056	Prag.g_00548
OG0000570	Syat.g_00055	Prag.g_00549
OG0000571	Syat.g_00052	Prag.g_00551
OG0000572	Syat.g_00033	Prag.g_00564
OG0000573	Syat.g_00024	Prag.g_00570
OG0000574	Syat.g_00023	Prag.g_00571
OG0000575	Syat.g_00018	Prag.g_00575
OG0000576	Syat.g_00014	Prag.g_00577
OG0000577	Syat.g_00013	Prag.g_00578
OG0000578	Syat.g_00012	Prag.g_00579
OG0000579	Syat.g_00011	Prag.g_00580
OG0000580	Syat.g_00010	Prag.g_00581
OG0000581	Syat.g_00003	Prag.g_00583
OG0000582	Syat.g_03403	Prag.g_00586
OG0000583	Syat.g_03404	Prag.g_00587
OG0000584	Syat.g_03405	Prag.g_00588
OG0000585	Syat.g_03408	Prag.g_00590
OG0000586	Syat.g_03409	Prag.g_00591
OG0000587	Syat.g_00001	Prag.g_00592
OG0000588	Syat.g_00338	Prag.g_00596
OG0000589	Syat.g_03318	Prag.g_00599
OG0000590	Syat.g_03317	Prag.g_00600
OG0000591	Syat.g_03308	Prag.g_00603
OG0000592	Syat.g_03307	Prag.g_00604
OG0000593	Syat.g_00113	Prag.g_00610
OG0000594	Syat.g_00114	Prag.g_00611
OG0000595	Syat.g_00115	Prag.g_00612
OG0000596	Syat.g_00129	Prag.g_00616
OG0000597	Syat.g_00132	Prag.g_00618
OG0000598	Syat.g_00133	Prag.g_00619
OG0000599	Syat.g_00381	Prag.g_00622
OG0000600	Syat.g_00380	Prag.g_00623
OG0000601	Syat.g_00379	Prag.g_00624
OG0000602	Syat.g_00375	Prag.g_00626
OG0000603	Syat.g_00374	Prag.g_00627
OG0000604	Syat.g_00372	Prag.g_00628
OG0000605	Syat.g_00370	Prag.g_00629
OG0000606	Syat.g_00367	Prag.g_00632
OG0000607	Syat.g_00364	Prag.g_00635
