Orthogroup	Syat	Syam
OG0000374	Syat.g_02296	Syam.g_00045
OG0000375	Syat.g_02295	Syam.g_00046
OG0000376	Syat.g_02293	Syam.g_00048
OG0000377	Syat.g_02695	Syam.g_02306
OG0000378	Syat.g_02715	Syam.g_02297
OG0000379	Syat.g_02720	Syam.g_02294
OG0000380	Syat.g_01468	Syam.g_02060
OG0000381	Syat.g_01470	Syam.g_02063
OG0000382	Syat.g_01488	Syam.g_02080
OG0000383	Syat.g_01521	Syam.g_02083
OG0000384	Syat.g_01522	Syam.g_02084
OG0000385	Syat.g_01523	Syam.g_02085
OG0000386	Syat.g_01524	Syam.g_02086
OG0000387	Syat.g_01561	Syam.g_02112
OG0000388	Syat.g_01565	Syam.g_02116
OG0000389	Syat.g_01569	Syam.g_02120
OG0000390	Syat.g_02945	Syam.g_02136
OG0000391	Syat.g_02940	Syam.g_02141
OG0000392	Syat.g_02934	Syam.g_02147
OG0000393	Syat.g_02931	Syam.g_02149
OG0000394	Syat.g_02930	Syam.g_02150
OG0000395	Syat.g_02929	Syam.g_02151
OG0000396	Syat.g_02927	Syam.g_02153
OG0000397	Syat.g_02925	Syam.g_02160
OG0000398	Syat.g_02920	Syam.g_02165
OG0000399	Syat.g_02919	Syam.g_02166
OG0000400	Syat.g_02918	Syam.g_02167
OG0000401	Syat.g_02917	Syam.g_02168
OG0000402	Syat.g_02915	Syam.g_02171
OG0000403	Syat.g_02914	Syam.g_02172
OG0000404	Syat.g_02913	Syam.g_02173
OG0000405	Syat.g_02900	Syam.g_02189
OG0000406	Syat.g_02896	Syam.g_02193
OG0000407	Syat.g_02895	Syam.g_02194
OG0000408	Syat.g_02893	Syam.g_02196
OG0000409	Syat.g_02891	Syam.g_02198
OG0000410	Syat.g_02890	Syam.g_02199
OG0000411	Syat.g_02889	Syam.g_02200
OG0000412	Syat.g_02888	Syam.g_02201
OG0000413	Syat.g_02886	Syam.g_02203
OG0000414	Syat.g_02885	Syam.g_02204
OG0000415	Syat.g_02884	Syam.g_02205
OG0000416	Syat.g_02883	Syam.g_02206
OG0000417	Syat.g_02868	Syam.g_02207
OG0000418	Syat.g_02863	Syam.g_02212
OG0000419	Syat.g_02861	Syam.g_02214
OG0000420	Syat.g_02859	Syam.g_02216
OG0000421	Syat.g_02855	Syam.g_02221
OG0000422	Syat.g_02854	Syam.g_02222
OG0000423	Syat.g_02853	Syam.g_02223
OG0000424	Syat.g_02852	Syam.g_02224
OG0000425	Syat.g_02851	Syam.g_02225
OG0000426	Syat.g_02850	Syam.g_02226
OG0000427	Syat.g_02849	Syam.g_02227
OG0000428	Syat.g_02846	Syam.g_02230
OG0000429	Syat.g_02843	Syam.g_02232
OG0000430	Syat.g_02841	Syam.g_02233
OG0000431	Syat.g_02838	Syam.g_02237
OG0000432	Syat.g_02832	Syam.g_02243
OG0000433	Syat.g_02829	Syam.g_02244
OG0000434	Syat.g_02828	Syam.g_02245
OG0000435	Syat.g_02824	Syam.g_02246
OG0000436	Syat.g_02817	Syam.g_02252
OG0000437	Syat.g_02558	Syam.g_02253
OG0000438	Syat.g_02813	Syam.g_02254
OG0000439	Syat.g_02811	Syam.g_02256
OG0000440	Syat.g_02810	Syam.g_02257
OG0000441	Syat.g_02807	Syam.g_02261
OG0000442	Syat.g_02797	Syam.g_02262
OG0000443	Syat.g_02787	Syam.g_02263
OG0000444	Syat.g_02756	Syam.g_02268
OG0000445	Syat.g_02755	Syam.g_02269
OG0000446	Syat.g_02753	Syam.g_02270
OG0000447	Syat.g_02749	Syam.g_02272
OG0000448	Syat.g_02748	Syam.g_02273
OG0000449	Syat.g_02747	Syam.g_02274
OG0000450	Syat.g_02738	Syam.g_02275
OG0000451	Syat.g_02737	Syam.g_02276
OG0000452	Syat.g_02732	Syam.g_02280
OG0000453	Syat.g_02731	Syam.g_02281
OG0000454	Syat.g_02730	Syam.g_02282
OG0000455	Syat.g_02729	Syam.g_02283
OG0000456	Syat.g_02728	Syam.g_02284
OG0000457	Syat.g_02726	Syam.g_02286
OG0000458	Syat.g_02725	Syam.g_02287
OG0000459	Syat.g_02724	Syam.g_02288
OG0000460	Syat.g_01450	Syam.g_00506
