Orthogroup	Syac	Prai
OG0000392	Syac.g_00369	Prai.g_00120
OG0000393	Syac.g_00366	Prai.g_00122
OG0000394	Syac.g_00365	Prai.g_00123
OG0000395	Syac.g_00364	Prai.g_00124
OG0000396	Syac.g_00361	Prai.g_00127
OG0000397	Syac.g_00359	Prai.g_00129
OG0000398	Syac.g_00354	Prai.g_00131
OG0000399	Syac.g_00353	Prai.g_00132
OG0000400	Syac.g_00352	Prai.g_00133
OG0000401	Syac.g_00351	Prai.g_00134
OG0000402	Syac.g_00348	Prai.g_00136
OG0000403	Syac.g_00347	Prai.g_00137
OG0000404	Syac.g_00345	Prai.g_00138
OG0000405	Syac.g_00332	Prai.g_00142
OG0000406	Syac.g_00328	Prai.g_00158
OG0000407	Syac.g_00327	Prai.g_00159
OG0000408	Syac.g_00325	Prai.g_00161
OG0000409	Syac.g_00323	Prai.g_00163
OG0000410	Syac.g_00322	Prai.g_00164
OG0000411	Syac.g_00321	Prai.g_00165
OG0000412	Syac.g_00320	Prai.g_00166
OG0000413	Syac.g_00318	Prai.g_00167
OG0000414	Syac.g_00317	Prai.g_01288, Prai.g_00168
OG0000415	Syac.g_00316	Prai.g_00169
OG0000416	Syac.g_00315	Prai.g_00170
OG0000417	Syac.g_00314	Prai.g_00171
OG0000418	Syac.g_00309	Prai.g_00176
OG0000419	Syac.g_00307	Prai.g_00178
OG0000420	Syac.g_00305	Prai.g_00179
OG0000421	Syac.g_00300	Prai.g_00184
OG0000422	Syac.g_00299	Prai.g_00185
OG0000423	Syac.g_00298	Prai.g_00186
OG0000424	Syac.g_00297	Prai.g_00187
OG0000425	Syac.g_00296	Prai.g_00188
OG0000426	Syac.g_00295	Prai.g_00189
OG0000427	Syac.g_00294	Prai.g_00190
OG0000428	Syac.g_02257	Prai.g_00192
OG0000429	Syac.g_02259	Prai.g_00193
OG0000430	Syac.g_02260	Prai.g_00194
OG0000431	Syac.g_02264	Prai.g_00196
OG0000432	Syac.g_02270	Prai.g_00199
OG0000433	Syac.g_02272	Prai.g_00200
OG0000434	Syac.g_02273	Prai.g_00201
OG0000435	Syac.g_02277	Prai.g_00202
OG0000436	Syac.g_02282	Prai.g_00207
OG0000437	Syac.g_02283	Prai.g_00208
OG0000438	Syac.g_02284	Prai.g_00209
OG0000439	Syac.g_02286	Prai.g_00211
OG0000440	Syac.g_02287	Prai.g_00212
