Orthogroup	Prbc	Praj
OG0000324	Prbc.g_00349	Praj.g_00261
OG0000325	Prbc.g_00348	Praj.g_00262
OG0000326	Prbc.g_00347	Praj.g_00263
OG0000327	Prbc.g_00346	Praj.g_00264
OG0000328	Prbc.g_00345	Praj.g_00265
OG0000329	Prbc.g_00344	Praj.g_00266
OG0000330	Prbc.g_00343	Praj.g_00267
OG0000331	Prbc.g_00342	Praj.g_00268
OG0000332	Prbc.g_00341	Praj.g_00269
OG0000333	Prbc.g_00340	Praj.g_00270
OG0000334	Prbc.g_00339	Praj.g_00271
OG0000335	Prbc.g_00337	Praj.g_00273
OG0000336	Prbc.g_00335	Praj.g_00275
OG0000337	Prbc.g_00334	Praj.g_00276
OG0000338	Prbc.g_00329	Praj.g_00281
OG0000339	Prbc.g_01140	Praj.g_00283
OG0000340	Prbc.g_01142	Praj.g_00285
OG0000341	Prbc.g_01143	Praj.g_00286
OG0000342	Prbc.g_01144	Praj.g_00287
OG0000343	Prbc.g_01145	Praj.g_00288
OG0000344	Prbc.g_01146	Praj.g_00289
OG0000345	Prbc.g_01149	Praj.g_00292
OG0000346	Prbc.g_01150	Praj.g_00293
OG0000347	Prbc.g_01153	Praj.g_00296
OG0000348	Prbc.g_01154	Praj.g_00297
OG0000349	Prbc.g_01155	Praj.g_00298
OG0000350	Prbc.g_01156	Praj.g_00299
OG0000351	Prbc.g_01157	Praj.g_00300
OG0000352	Prbc.g_01158	Praj.g_00301
OG0000353	Prbc.g_01159	Praj.g_00302
OG0000354	Prbc.g_01160	Praj.g_00303
OG0000355	Prbc.g_01161	Praj.g_00304
OG0000356	Prbc.g_01162	Praj.g_00305
OG0000357	Prbc.g_01163	Praj.g_00306
OG0000358	Prbc.g_01164	Praj.g_00307
OG0000359	Prbc.g_01166	Praj.g_00309
OG0000360	Prbc.g_01168	Praj.g_00311
OG0000361	Prbc.g_01169	Praj.g_00312
OG0000362	Prbc.g_01170	Praj.g_00313
OG0000363	Prbc.g_01171	Praj.g_00314
OG0000364	Prbc.g_01175	Praj.g_00318
OG0000365	Prbc.g_01176	Praj.g_00319
OG0000366	Prbc.g_01178	Praj.g_00321
OG0000367	Prbc.g_01179	Praj.g_00322
OG0000368	Prbc.g_01180	Praj.g_00323
OG0000369	Prbc.g_01181	Praj.g_00324
OG0000370	Prbc.g_01182	Praj.g_00325
OG0000371	Prbc.g_01183	Praj.g_00326
OG0000372	Prbc.g_01184	Praj.g_00327
OG0000373	Prbc.g_01185	Praj.g_00328
OG0000374	Prbc.g_01186	Praj.g_00329
OG0000375	Prbc.g_01187	Praj.g_00330
OG0000376	Prbc.g_01190	Praj.g_00333
OG0000377	Prbc.g_01191	Praj.g_00334
OG0000378	Prbc.g_01192	Praj.g_00335
OG0000379	Prbc.g_01193	Praj.g_00336
OG0000380	Prbc.g_01194	Praj.g_00337
OG0000381	Prbc.g_01195	Praj.g_00338
OG0000382	Prbc.g_01196	Praj.g_00339
OG0000383	Prbc.g_01197	Praj.g_00340
OG0000384	Prbc.g_01200	Praj.g_00343
OG0000385	Prbc.g_01201	Praj.g_00344
OG0000386	Prbc.g_01202	Praj.g_00345
OG0000387	Prbc.g_01203	Praj.g_00346
OG0000388	Prbc.g_01204	Praj.g_00347
OG0000389	Prbc.g_01205	Praj.g_00348
OG0000390	Prbc.g_01206	Praj.g_00349
OG0000391	Prbc.g_01207	Praj.g_00350
OG0000392	Prbc.g_01208	Praj.g_00351
OG0000393	Prbc.g_01209	Praj.g_00352
OG0000394	Prbc.g_01210	Praj.g_00353
OG0000395	Prbc.g_01211	Praj.g_00354
OG0000396	Prbc.g_01213	Praj.g_00356
OG0000397	Prbc.g_01215	Praj.g_00358
OG0000398	Prbc.g_01216	Praj.g_00359
OG0000399	Prbc.g_01219	Praj.g_00362
OG0000400	Prbc.g_01225	Praj.g_00368
OG0000401	Prbc.g_01813	Praj.g_00724
OG0000402	Prbc.g_01246	Praj.g_00380
OG0000403	Prbc.g_01248	Praj.g_00382
OG0000404	Prbc.g_01249	Praj.g_00383
OG0000405	Prbc.g_01250	Praj.g_00384
OG0000406	Prbc.g_01253	Praj.g_00387
OG0000407	Prbc.g_01254	Praj.g_00388
OG0000408	Prbc.g_01256	Praj.g_00390
OG0000409	Prbc.g_01257	Praj.g_00391
OG0000410	Prbc.g_01258	Praj.g_00392
OG0000411	Prbc.g_01259	Praj.g_00393
OG0000412	Prbc.g_01260	Praj.g_00394
OG0000413	Prbc.g_01261	Praj.g_00395
OG0000414	Prbc.g_01262	Praj.g_00396
OG0000415	Prbc.g_01263	Praj.g_00397
OG0000416	Prbc.g_01267	Praj.g_00402
OG0000417	Prbc.g_01268	Praj.g_00403
OG0000418	Prbc.g_01270	Praj.g_00405
OG0000419	Prbc.g_01271	Praj.g_00406
OG0000420	Prbc.g_01912	Praj.g_00824
OG0000421	Prbc.g_02137	Praj.g_01049
OG0000422	Prbc.g_02168	Praj.g_01081
OG0000423	Prbc.g_01317	Praj.g_01244
OG0000424	Prbc.g_00934	Praj.g_01869
OG0000425	Prbc.g_01492	Praj.g_00425
OG0000426	Prbc.g_01493	Praj.g_00426
OG0000427	Prbc.g_01494	Praj.g_00427
OG0000428	Prbc.g_01496	Praj.g_00429
OG0000429	Prbc.g_01497	Praj.g_00430
OG0000430	Prbc.g_01499	Praj.g_00432
OG0000431	Prbc.g_01500	Praj.g_00433
OG0000432	Prbc.g_01501	Praj.g_00434
OG0000433	Prbc.g_01502	Praj.g_00435
OG0000434	Prbc.g_01503	Praj.g_00436
OG0000435	Prbc.g_01504	Praj.g_00437
OG0000436	Prbc.g_01505	Praj.g_00438
OG0000437	Prbc.g_01506	Praj.g_00439
OG0000438	Prbc.g_01507	Praj.g_00440
OG0000439	Prbc.g_01508	Praj.g_00441
OG0000440	Prbc.g_01509	Praj.g_00442
OG0000441	Prbc.g_01510	Praj.g_00443
OG0000442	Prbc.g_01511	Praj.g_00444
OG0000443	Prbc.g_01512	Praj.g_00445
