Orthogroup	Prbi	Prak
OG0000444	Prbi.g_00235	Prak.g_00225
OG0000445	Prbi.g_00236	Prak.g_00226
OG0000446	Prbi.g_00237	Prak.g_00227
OG0000447	Prbi.g_00238	Prak.g_00228
OG0000448	Prbi.g_00239	Prak.g_00229
OG0000449	Prbi.g_00240	Prak.g_00230
OG0000450	Prbi.g_00241	Prak.g_00231
OG0000451	Prbi.g_00242	Prak.g_00232
OG0000452	Prbi.g_00245	Prak.g_00235
OG0000453	Prbi.g_00246	Prak.g_00236
OG0000454	Prbi.g_00247	Prak.g_00237
OG0000455	Prbi.g_00248	Prak.g_00238
OG0000456	Prbi.g_00249	Prak.g_00239
OG0000457	Prbi.g_00250	Prak.g_00241
OG0000458	Prbi.g_00251	Prak.g_00242
OG0000459	Prbi.g_00252	Prak.g_00243
OG0000460	Prbi.g_00259	Prak.g_00251
OG0000461	Prbi.g_00266	Prak.g_00259
OG0000462	Prbi.g_00268	Prak.g_00261
OG0000463	Prbi.g_00269	Prak.g_00262
OG0000464	Prbi.g_00270	Prak.g_00263
OG0000465	Prbi.g_00271	Prak.g_00264
OG0000466	Prbi.g_00274	Prak.g_00267
OG0000467	Prbi.g_00275	Prak.g_00268
OG0000468	Prbi.g_00277	Prak.g_00271
OG0000469	Prbi.g_00286	Prak.g_00279
OG0000470	Prbi.g_00288	Prak.g_00281
OG0000471	Prbi.g_00289	Prak.g_00282
OG0000472	Prbi.g_00290	Prak.g_00284
OG0000473	Prbi.g_00292	Prak.g_00286
OG0000474	Prbi.g_00293	Prak.g_00287
OG0000475	Prbi.g_00294	Prak.g_00288
OG0000476	Prbi.g_00295	Prak.g_00290
OG0000477	Prbi.g_00299	Prak.g_00293
OG0000478	Prbi.g_00300	Prak.g_00294
OG0000479	Prbi.g_00301	Prak.g_00295
OG0000480	Prbi.g_00306	Prak.g_00300
OG0000481	Prbi.g_00308	Prak.g_00303
OG0000482	Prbi.g_00309	Prak.g_00304
OG0000483	Prbi.g_00312	Prak.g_00307
OG0000484	Prbi.g_00313	Prak.g_00308
OG0000485	Prbi.g_00314	Prak.g_00310
OG0000486	Prbi.g_00315	Prak.g_00311
OG0000487	Prbi.g_00319	Prak.g_00314
OG0000488	Prbi.g_00322	Prak.g_00317
OG0000489	Prbi.g_00327	Prak.g_00322
OG0000490	Prbi.g_00332	Prak.g_00326
OG0000491	Prbi.g_00333	Prak.g_00327
OG0000492	Prbi.g_00335	Prak.g_00329
OG0000493	Prbi.g_00336	Prak.g_00330
OG0000494	Prbi.g_00337	Prak.g_00331
OG0000495	Prbi.g_00338	Prak.g_00332
OG0000496	Prbi.g_00339	Prak.g_00333
OG0000497	Prbi.g_00340	Prak.g_00334
OG0000498	Prbi.g_00341	Prak.g_00335
OG0000499	Prbi.g_00342	Prak.g_00336
OG0000500	Prbi.g_00343	Prak.g_00337
OG0000501	Prbi.g_00345	Prak.g_00338
