Orthogroup	Prbg	Prbc
OG0000298	Prbg.g_01000	Prbc.g_00351
OG0000299	Prbg.g_01001	Prbc.g_00350
OG0000300	Prbg.g_01002	Prbc.g_00349
OG0000301	Prbg.g_01003	Prbc.g_00348
OG0000302	Prbg.g_01004	Prbc.g_00347
OG0000303	Prbg.g_01005	Prbc.g_00346
OG0000304	Prbg.g_01007	Prbc.g_00345
OG0000305	Prbg.g_01008	Prbc.g_00344
OG0000306	Prbg.g_01009	Prbc.g_00343
OG0000307	Prbg.g_01011	Prbc.g_00342
OG0000308	Prbg.g_01012	Prbc.g_00341
OG0000309	Prbg.g_01013	Prbc.g_00340
OG0000310	Prbg.g_01014	Prbc.g_00339
OG0000311	Prbg.g_01015	Prbc.g_00337
OG0000312	Prbg.g_01017	Prbc.g_00335
OG0000313	Prbg.g_01018	Prbc.g_00334
OG0000314	Prbg.g_01022	Prbc.g_00330
OG0000315	Prbg.g_01023	Prbc.g_00329
OG0000316	Prbg.g_01025	Prbc.g_01140
OG0000317	Prbg.g_01027	Prbc.g_01142
OG0000318	Prbg.g_01028	Prbc.g_01143
OG0000319	Prbg.g_01029	Prbc.g_01144
OG0000320	Prbg.g_01030	Prbc.g_01145
OG0000321	Prbg.g_01033	Prbc.g_01146
OG0000322	Prbg.g_01037	Prbc.g_01149
OG0000323	Prbg.g_01038	Prbc.g_01150
OG0000324	Prbg.g_01041	Prbc.g_01153
OG0000325	Prbg.g_01042	Prbc.g_01154
OG0000326	Prbg.g_01043	Prbc.g_01155
OG0000327	Prbg.g_01045	Prbc.g_01156
OG0000328	Prbg.g_01046	Prbc.g_01157
OG0000329	Prbg.g_00042	Prbc.g_01158
OG0000330	Prbg.g_00043	Prbc.g_01159
OG0000331	Prbg.g_00045	Prbc.g_01160
OG0000332	Prbg.g_00046	Prbc.g_01161
OG0000333	Prbg.g_00047	Prbc.g_01162
OG0000334	Prbg.g_00048	Prbc.g_01163
OG0000335	Prbg.g_00049	Prbc.g_01164
OG0000336	Prbg.g_00051	Prbc.g_01166
OG0000337	Prbg.g_00054	Prbc.g_01168
OG0000338	Prbg.g_00055	Prbc.g_01169
OG0000339	Prbg.g_00056	Prbc.g_01170
OG0000340	Prbg.g_00057	Prbc.g_01171
OG0000341	Prbg.g_00061	Prbc.g_01175
OG0000342	Prbg.g_00062	Prbc.g_01176
OG0000343	Prbg.g_00065	Prbc.g_01178
OG0000344	Prbg.g_00066	Prbc.g_01179
OG0000345	Prbg.g_00067	Prbc.g_01180
OG0000346	Prbg.g_00068	Prbc.g_01181
OG0000347	Prbg.g_00069	Prbc.g_01182
OG0000348	Prbg.g_00071	Prbc.g_01183
OG0000349	Prbg.g_00072	Prbc.g_01184
OG0000350	Prbg.g_00073	Prbc.g_01185
OG0000351	Prbg.g_00075	Prbc.g_01187
OG0000352	Prbg.g_00078	Prbc.g_01190
OG0000353	Prbg.g_00079	Prbc.g_01191
OG0000354	Prbg.g_00080	Prbc.g_01192
OG0000355	Prbg.g_00081	Prbc.g_01193
OG0000356	Prbg.g_00082	Prbc.g_01194
