Orthogroup	Prbc	Prav
OG0000412	Prbc.g_00416	Prav.g_00883
OG0000413	Prbc.g_00415	Prav.g_00882
OG0000414	Prbc.g_00414	Prav.g_00881
OG0000415	Prbc.g_00413	Prav.g_00880
OG0000416	Prbc.g_00412	Prav.g_00879
OG0000417	Prbc.g_00411	Prav.g_00878
OG0000418	Prbc.g_00406	Prav.g_00873
OG0000419	Prbc.g_00404	Prav.g_00871
OG0000420	Prbc.g_00403	Prav.g_00870
OG0000421	Prbc.g_00399	Prav.g_00865
OG0000422	Prbc.g_00398	Prav.g_00864
OG0000423	Prbc.g_00397	Prav.g_00863
OG0000424	Prbc.g_00396	Prav.g_00862
OG0000425	Prbc.g_00395	Prav.g_00861
OG0000426	Prbc.g_00394	Prav.g_00860
OG0000427	Prbc.g_00393	Prav.g_00859
OG0000428	Prbc.g_00391	Prav.g_00857
OG0000429	Prbc.g_00390	Prav.g_00856
OG0000430	Prbc.g_00389	Prav.g_00855
OG0000431	Prbc.g_00387	Prav.g_00853
OG0000432	Prbc.g_00383	Prav.g_00850
OG0000433	Prbc.g_00382	Prav.g_00849
OG0000434	Prbc.g_00381	Prav.g_00848
OG0000435	Prbc.g_00380	Prav.g_00847
OG0000436	Prbc.g_00375	Prav.g_00842
OG0000437	Prbc.g_00374	Prav.g_00841
OG0000438	Prbc.g_00373	Prav.g_00840
OG0000439	Prbc.g_00371	Prav.g_00838
OG0000440	Prbc.g_00370	Prav.g_00837
OG0000441	Prbc.g_00368	Prav.g_00834
OG0000442	Prbc.g_00367	Prav.g_00833
OG0000443	Prbc.g_00366	Prav.g_00832
OG0000444	Prbc.g_00361	Prav.g_00827
OG0000445	Prbc.g_00360	Prav.g_00826
OG0000446	Prbc.g_00358	Prav.g_00825
OG0000447	Prbc.g_00357	Prav.g_00824
OG0000448	Prbc.g_00356	Prav.g_00823
OG0000449	Prbc.g_00355	Prav.g_00822
OG0000450	Prbc.g_00354	Prav.g_00821
OG0000451	Prbc.g_00353	Prav.g_00820
OG0000452	Prbc.g_00350	Prav.g_00817
OG0000453	Prbc.g_00349	Prav.g_00816
OG0000454	Prbc.g_00348	Prav.g_00815
OG0000455	Prbc.g_00347	Prav.g_00814
OG0000456	Prbc.g_00346	Prav.g_00813
OG0000457	Prbc.g_00345	Prav.g_00812
OG0000458	Prbc.g_00344	Prav.g_00811
OG0000459	Prbc.g_00343	Prav.g_00810
OG0000460	Prbc.g_00335	Prav.g_00803
OG0000461	Prbc.g_01140	Prav.g_01889
OG0000462	Prbc.g_01142	Prav.g_01891
OG0000463	Prbc.g_01143	Prav.g_01892
OG0000464	Prbc.g_01144	Prav.g_01893
OG0000465	Prbc.g_01145	Prav.g_01894
OG0000466	Prbc.g_01146	Prav.g_01897
OG0000467	Prbc.g_01147	Prav.g_01898
OG0000468	Prbc.g_01149	Prav.g_01900
OG0000469	Prbc.g_01156	Prav.g_01909
OG0000470	Prbc.g_01158	Prav.g_01911
OG0000471	Prbc.g_01159	Prav.g_01912
OG0000472	Prbc.g_01160	Prav.g_01913
OG0000473	Prbc.g_01162	Prav.g_01915
OG0000474	Prbc.g_01163	Prav.g_01916
OG0000475	Prbc.g_01164	Prav.g_01917
OG0000476	Prbc.g_01166	Prav.g_01918
OG0000477	Prbc.g_01168	Prav.g_01921
OG0000478	Prbc.g_01169	Prav.g_01922
OG0000479	Prbc.g_01170	Prav.g_01923
OG0000480	Prbc.g_01175	Prav.g_01928
OG0000481	Prbc.g_01177	Prav.g_01930
OG0000482	Prbc.g_01178	Prav.g_01931
OG0000483	Prbc.g_01181	Prav.g_01934
OG0000484	Prbc.g_01182	Prav.g_01935
OG0000485	Prbc.g_01183	Prav.g_01936
OG0000486	Prbc.g_01184	Prav.g_01937
OG0000487	Prbc.g_01187	Prav.g_01941
OG0000488	Prbc.g_01190	Prav.g_01944
OG0000489	Prbc.g_01195	Prav.g_01949
OG0000490	Prbc.g_01200	Prav.g_01954
OG0000491	Prbc.g_01201	Prav.g_01955
OG0000492	Prbc.g_01203	Prav.g_01957
OG0000493	Prbc.g_01204	Prav.g_01958
OG0000494	Prbc.g_01205	Prav.g_01959
OG0000495	Prbc.g_01206	Prav.g_01960
OG0000496	Prbc.g_01207	Prav.g_01961
OG0000497	Prbc.g_01208	Prav.g_01962
OG0000498	Prbc.g_01209	Prav.g_01963
OG0000499	Prbc.g_01210	Prav.g_01964
OG0000500	Prbc.g_01211	Prav.g_01965
OG0000501	Prbc.g_01213	Prav.g_01967
OG0000502	Prbc.g_01216	Prav.g_01970
OG0000503	Prbc.g_01246	Prav.g_01980
OG0000504	Prbc.g_01248	Prav.g_01981
OG0000505	Prbc.g_01249	Prav.g_01982
OG0000506	Prbc.g_01250	Prav.g_01984
OG0000507	Prbc.g_01253	Prav.g_01987
OG0000508	Prbc.g_01256	Prav.g_01991
OG0000509	Prbc.g_01258	Prav.g_01993
OG0000510	Prbc.g_01259	Prav.g_01994
OG0000511	Prbc.g_01260	Prav.g_01995
OG0000512	Prbc.g_01262	Prav.g_01997
OG0000513	Prbc.g_01271	Prav.g_00977
OG0000514	Prbc.g_01492	Prav.g_01030
OG0000515	Prbc.g_01493	Prav.g_01031
OG0000516	Prbc.g_01494	Prav.g_01032
OG0000517	Prbc.g_01496	Prav.g_01034
OG0000518	Prbc.g_01507	Prav.g_01045
OG0000519	Prbc.g_01508	Prav.g_01046
OG0000520	Prbc.g_01509	Prav.g_01047
OG0000521	Prbc.g_01514	Prav.g_01052
OG0000522	Prbc.g_01516	Prav.g_01053
OG0000523	Prbc.g_01517	Prav.g_01054
OG0000524	Prbc.g_01524	Prav.g_01059
OG0000525	Prbc.g_01528	Prav.g_01062
OG0000526	Prbc.g_01529	Prav.g_01063
OG0000527	Prbc.g_01532	Prav.g_01071
OG0000528	Prbc.g_01538	Prav.g_01076
OG0000529	Prbc.g_01541	Prav.g_01079
OG0000530	Prbc.g_01544	Prav.g_01082
OG0000531	Prbc.g_01545	Prav.g_01083
OG0000532	Prbc.g_01546	Prav.g_01085
OG0000533	Prbc.g_01547	Prav.g_01086
OG0000534	Prbc.g_01548	Prav.g_01087
OG0000535	Prbc.g_01549	Prav.g_01088
OG0000536	Prbc.g_01550	Prav.g_01089
OG0000537	Prbc.g_01551	Prav.g_01090
OG0000538	Prbc.g_01580	Prav.g_01098
OG0000539	Prbc.g_01581	Prav.g_01099
OG0000540	Prbc.g_01582	Prav.g_01100
OG0000541	Prbc.g_01583	Prav.g_01101
OG0000542	Prbc.g_01585	Prav.g_01103
OG0000543	Prbc.g_01587	Prav.g_01105
OG0000544	Prbc.g_01588	Prav.g_01106
OG0000545	Prbc.g_01590	Prav.g_01108
OG0000546	Prbc.g_01593	Prav.g_01111
