Orthogroup	Pras	Pray
OG0000238	Pras.g_00999	Pray.g_00141
OG0000239	Pras.g_01000	Pray.g_00140
OG0000240	Pras.g_01002	Pray.g_00138
OG0000241	Pras.g_01003	Pray.g_00137
OG0000242	Pras.g_01004	Pray.g_00136
OG0000243	Pras.g_01005	Pray.g_00635
OG0000244	Pras.g_01006	Pray.g_00636
OG0000245	Pras.g_01007	Pray.g_00637
OG0000246	Pras.g_01009	Pray.g_00639
OG0000247	Pras.g_01010	Pray.g_00640
OG0000248	Pras.g_01011	Pray.g_00641
OG0000249	Pras.g_01012	Pray.g_00642
OG0000250	Pras.g_01013	Pray.g_00643
OG0000251	Pras.g_01014	Pray.g_00644
OG0000252	Pras.g_01015	Pray.g_00645
OG0000253	Pras.g_01016	Pray.g_00646
OG0000254	Pras.g_01018	Pray.g_00648
OG0000255	Pras.g_01019	Pray.g_00649
OG0000256	Pras.g_01022	Pray.g_00652
OG0000257	Pras.g_01024	Pray.g_00654
OG0000258	Pras.g_01025	Pray.g_00655
OG0000259	Pras.g_01026	Pray.g_00656
OG0000260	Pras.g_01027	Pray.g_00657
OG0000261	Pras.g_01028	Pray.g_00658
OG0000262	Pras.g_01029	Pray.g_00659
OG0000263	Pras.g_01030	Pray.g_00660
OG0000264	Pras.g_01032	Pray.g_00662
OG0000265	Pras.g_01033	Pray.g_00663
OG0000266	Pras.g_01034	Pray.g_00664
OG0000267	Pras.g_01036	Pray.g_00666
OG0000268	Pras.g_01037	Pray.g_00667
OG0000269	Pras.g_01038	Pray.g_00668
OG0000270	Pras.g_01039	Pray.g_00669
OG0000271	Pras.g_01040	Pray.g_00670
OG0000272	Pras.g_01041	Pray.g_00671
OG0000273	Pras.g_01042	Pray.g_00672
OG0000274	Pras.g_01043	Pray.g_00673
OG0000275	Pras.g_01044	Pray.g_00674
OG0000276	Pras.g_01045	Pray.g_00675
OG0000277	Pras.g_01046	Pray.g_00676
OG0000278	Pras.g_01047	Pray.g_00677
OG0000279	Pras.g_01048	Pray.g_00678
OG0000280	Pras.g_01049	Pray.g_00679
OG0000281	Pras.g_01051	Pray.g_00681
OG0000282	Pras.g_01052	Pray.g_00682
OG0000283	Pras.g_01055	Pray.g_00685
OG0000284	Pras.g_01056	Pray.g_00686
OG0000285	Pras.g_01057	Pray.g_00687
OG0000286	Pras.g_01060	Pray.g_00689
OG0000287	Pras.g_01061	Pray.g_00690
