Orthogroup	Syat	Syak
OG0000279	Syat.g_00755	Syak.g_00592
OG0000280	Syat.g_01669	Syak.g_00582
OG0000281	Syat.g_00960	Syak.g_00339
OG0000282	Syat.g_00431	Syak.g_00375
OG0000283	Syat.g_00620	Syak.g_00541
OG0000284	Syat.g_00614	Syak.g_00536
OG0000285	Syat.g_00607	Syak.g_00523
OG0000286	Syat.g_00579	Syak.g_00504
OG0000287	Syat.g_00550	Syak.g_00477
OG0000288	Syat.g_00709	Syak.g_00644
OG0000289	Syat.g_00695	Syak.g_00659
OG0000290	Syat.g_00805	Syak.g_00738
OG0000291	Syat.g_00807	Syak.g_00737
OG0000292	Syat.g_02388	Syak.g_01802
OG0000293	Syat.g_03241	Syak.g_00910
OG0000294	Syat.g_03248	Syak.g_00909
OG0000295	Syat.g_00297	Syak.g_00863
OG0000296	Syat.g_00295	Syak.g_00861
OG0000297	Syat.g_00226	Syak.g_00848
OG0000298	Syat.g_00225	Syak.g_00847
OG0000299	Syat.g_00910	Syak.g_00820
OG0000300	Syat.g_00904	Syak.g_00813
OG0000301	Syat.g_00903	Syak.g_00812
OG0000302	Syat.g_00901	Syak.g_00811
OG0000303	Syat.g_00892	Syak.g_00674
OG0000304	Syat.g_00885	Syak.g_00680
OG0000305	Syat.g_00809	Syak.g_00732
OG0000306	Syat.g_01704	Syak.g_00094
OG0000307	Syat.g_01304	Syak.g_02556
OG0000308	Syat.g_01306	Syak.g_02554
OG0000309	Syat.g_01417	Syak.g_02549
OG0000310	Syat.g_01246	Syak.g_00994
OG0000311	Syat.g_01242	Syak.g_00999
OG0000312	Syat.g_01237	Syak.g_01028
OG0000313	Syat.g_01183	Syak.g_01046
OG0000314	Syat.g_01341	Syak.g_01079
OG0000315	Syat.g_01351	Syak.g_01090
OG0000316	Syat.g_03082	Syak.g_02462
OG0000317	Syat.g_03120	Syak.g_02419
OG0000318	Syat.g_03125	Syak.g_02415
OG0000319	Syat.g_03055	Syak.g_02399
OG0000320	Syat.g_03053	Syak.g_02397
OG0000321	Syat.g_03052	Syak.g_02396
OG0000322	Syat.g_03051	Syak.g_02395
OG0000323	Syat.g_03038	Syak.g_02380
OG0000324	Syat.g_02998	Syak.g_02347
OG0000325	Syat.g_01861	Syak.g_01391
OG0000326	Syat.g_01854	Syak.g_01384
OG0000327	Syat.g_01827	Syak.g_01350
OG0000328	Syat.g_01826	Syak.g_01349
OG0000329	Syat.g_01808	Syak.g_01331
OG0000330	Syat.g_01807	Syak.g_01330
OG0000331	Syat.g_01806	Syak.g_01329
OG0000332	Syat.g_01790	Syak.g_01314
OG0000333	Syat.g_01787	Syak.g_01311
OG0000334	Syat.g_01657	Syak.g_01302
OG0000335	Syat.g_01652	Syak.g_01298
OG0000336	Syat.g_01648	Syak.g_01294
OG0000337	Syat.g_02144	Syak.g_01555
OG0000338	Syat.g_02146	Syak.g_01558
OG0000339	Syat.g_02155, Syat.g_01055	Syak.g_01566
OG0000340	Syat.g_02165	Syak.g_01626
OG0000341	Syat.g_02167	Syak.g_01628
OG0000342	Syat.g_02168	Syak.g_01629
OG0000343	Syat.g_02185	Syak.g_01631
OG0000344	Syat.g_02189	Syak.g_01635
OG0000345	Syat.g_02202	Syak.g_01645
OG0000346	Syat.g_02207	Syak.g_01651
OG0000347	Syat.g_02234	Syak.g_01694
OG0000348	Syat.g_02264	Syak.g_01717
OG0000349	Syat.g_02291	Syak.g_01740
OG0000350	Syat.g_01847	Syak.g_01377
OG0000351	Syat.g_02411	Syak.g_01823
OG0000352	Syat.g_02410	Syak.g_01822
OG0000353	Syat.g_00955, Syat.g_02377	Syak.g_01796
OG0000354	Syat.g_03225	Syak.g_02618
OG0000354	Syat.g_02325	Syak.g_01775
OG0000355	Syat.g_02375	Syak.g_01793
OG0000356	Syat.g_02374	Syak.g_01792
OG0000357	Syat.g_02373	Syak.g_01791
OG0000358	Syat.g_02336	Syak.g_01787
OG0000359	Syat.g_02334	Syak.g_01785
OG0000360	Syat.g_02333	Syak.g_01784
OG0000361	Syat.g_02332	Syak.g_01783
OG0000362	Syat.g_02330	Syak.g_01781
OG0000363	Syat.g_02328	Syak.g_01779
OG0000364	Syat.g_03122	Syak.g_01778
OG0000365	Syat.g_02318	Syak.g_01769
OG0000366	Syat.g_02317	Syak.g_01768
OG0000367	Syat.g_02316	Syak.g_01767
OG0000368	Syat.g_02314	Syak.g_01765
OG0000369	Syat.g_02313	Syak.g_01764
OG0000370	Syat.g_02312	Syak.g_01763
OG0000371	Syat.g_02304	Syak.g_01753
OG0000372	Syat.g_02298	Syak.g_01748
OG0000373	Syat.g_02297	Syak.g_01747
OG0000374	Syat.g_02296	Syak.g_01746
OG0000375	Syat.g_02295	Syak.g_01744
OG0000376	Syat.g_02293	Syak.g_01742
OG0000377	Syat.g_02695	Syak.g_01948
OG0000378	Syat.g_02715	Syak.g_01968
OG0000379	Syat.g_02720	Syak.g_01972
OG0000380	Syat.g_01468	Syak.g_02256
OG0000381	Syat.g_01470	Syak.g_02254
OG0000382	Syat.g_01488	Syak.g_02236
OG0000383	Syat.g_01521	Syak.g_02229
OG0000384	Syat.g_01522	Syak.g_02228
OG0000385	Syat.g_01523	Syak.g_02227
OG0000386	Syat.g_01524	Syak.g_02226
OG0000387	Syat.g_01561	Syak.g_02200
OG0000388	Syat.g_01565	Syak.g_02196
OG0000389	Syat.g_01569	Syak.g_02193, Syak.g_02345
OG0000390	Syat.g_02945	Syak.g_02177
OG0000391	Syat.g_02940	Syak.g_02172
OG0000392	Syat.g_02934	Syak.g_02166
OG0000393	Syat.g_02931	Syak.g_02163
OG0000394	Syat.g_02930	Syak.g_02162
OG0000395	Syat.g_02929	Syak.g_02161
OG0000396	Syat.g_02927	Syak.g_02158
OG0000397	Syat.g_02925	Syak.g_02156
OG0000398	Syat.g_02920	Syak.g_02151
OG0000399	Syat.g_02919	Syak.g_02150
OG0000400	Syat.g_02918	Syak.g_02149
OG0000401	Syat.g_02917	Syak.g_02148
OG0000402	Syat.g_02915	Syak.g_02146
OG0000403	Syat.g_02914	Syak.g_02145
OG0000404	Syat.g_02913	Syak.g_02143
OG0000405	Syat.g_02900	Syak.g_02131
OG0000406	Syat.g_02896	Syak.g_02126
OG0000407	Syat.g_02895	Syak.g_02125
OG0000408	Syat.g_02893	Syak.g_02123
OG0000409	Syat.g_02891	Syak.g_02121
OG0000410	Syat.g_02890	Syak.g_02120
OG0000411	Syat.g_02889	Syak.g_02119
OG0000412	Syat.g_02888	Syak.g_02118
OG0000413	Syat.g_02886	Syak.g_02116
OG0000415	Syat.g_02884	Syak.g_02114
OG0000416	Syat.g_02883	Syak.g_02113
OG0000417	Syat.g_02868	Syak.g_02112
