Orthogroup	Syat	Syao
OG0000449	Syat.g_02747	Syao.g_02385
OG0000450	Syat.g_02738	Syao.g_02391
OG0000451	Syat.g_02737	Syao.g_02392
OG0000452	Syat.g_02732	Syao.g_02396
OG0000453	Syat.g_02731	Syao.g_02397
OG0000454	Syat.g_02730	Syao.g_02398
OG0000455	Syat.g_02729	Syao.g_02399
OG0000456	Syat.g_02728	Syao.g_02400
OG0000457	Syat.g_02726	Syao.g_02402
OG0000458	Syat.g_02725	Syao.g_02403
OG0000459	Syat.g_02724	Syao.g_02404
OG0000460	Syat.g_01450	Syao.g_01702
OG0000461	Syat.g_01866	Syao.g_02119
OG0000462	Syat.g_01868	Syao.g_02116
OG0000463	Syat.g_01869	Syao.g_02115
OG0000464	Syat.g_01870	Syao.g_02114
OG0000465	Syat.g_01872	Syao.g_02112
OG0000466	Syat.g_01877	Syao.g_02107
OG0000467	Syat.g_01878	Syao.g_02106
OG0000468	Syat.g_01884	Syao.g_02102
OG0000469	Syat.g_02000	Syao.g_02087
OG0000470	Syat.g_02038	Syao.g_02085
OG0000471	Syat.g_02039	Syao.g_02084
OG0000472	Syat.g_02041	Syao.g_02082
OG0000473	Syat.g_02043	Syao.g_02080
OG0000474	Syat.g_02044	Syao.g_02079
OG0000475	Syat.g_02045	Syao.g_02078
OG0000476	Syat.g_02047	Syao.g_02076
OG0000477	Syat.g_02053	Syao.g_02069
OG0000478	Syat.g_02054	Syao.g_02068
OG0000479	Syat.g_02056	Syao.g_02067
OG0000480	Syat.g_02063	Syao.g_02060
OG0000481	Syat.g_02066	Syao.g_01012
OG0000482	Syat.g_02067	Syao.g_02058
OG0000483	Syat.g_02071	Syao.g_02054
OG0000484	Syat.g_02072	Syao.g_02053
OG0000485	Syat.g_02073	Syao.g_02052
OG0000486	Syat.g_02074	Syao.g_02051
OG0000487	Syat.g_02080	Syao.g_02044
OG0000488	Syat.g_02086	Syao.g_02040
OG0000489	Syat.g_02097	Syao.g_02033
OG0000490	Syat.g_02106	Syao.g_02025
OG0000491	Syat.g_02107	Syao.g_02024
OG0000492	Syat.g_02110	Syao.g_02022
OG0000493	Syat.g_02111	Syao.g_02021
OG0000494	Syat.g_02112	Syao.g_02020
OG0000495	Syat.g_02120	Syao.g_02018
OG0000496	Syat.g_02121	Syao.g_02017
OG0000497	Syat.g_02122	Syao.g_02016
OG0000498	Syat.g_02123	Syao.g_02015
OG0000499	Syat.g_02124	Syao.g_02014
OG0000500	Syat.g_02125	Syao.g_02013
OG0000501	Syat.g_02128	Syao.g_02010
OG0000502	Syat.g_02135	Syao.g_01974
OG0000503	Syat.g_01614	Syao.g_01877
OG0000504	Syat.g_01612	Syao.g_01875
OG0000505	Syat.g_01611	Syao.g_01874
OG0000506	Syat.g_01609	Syao.g_01872
OG0000507	Syat.g_01603	Syao.g_01866
OG0000508	Syat.g_01596	Syao.g_01750
OG0000509	Syat.g_01591	Syao.g_01755
OG0000510	Syat.g_01590	Syao.g_01756
OG0000511	Syat.g_01589	Syao.g_01757
OG0000512	Syat.g_01587	Syao.g_01759
OG0000513	Syat.g_02957	Syao.g_01720
OG0000514	Syat.g_02962	Syao.g_01727
OG0000515	Syat.g_02963	Syao.g_01728
OG0000516	Syat.g_02965	Syao.g_01730
OG0000517	Syat.g_02969	Syao.g_01735
OG0000518	Syat.g_01286	Syao.g_01621
OG0000519	Syat.g_01285	Syao.g_01622
OG0000520	Syat.g_01284	Syao.g_01512
OG0000521	Syat.g_01319	Syao.g_00061
OG0000522	Syat.g_01317	Syao.g_00059
OG0000523	Syat.g_01316	Syao.g_00058
OG0000524	Syat.g_01409	Syao.g_02699
OG0000525	Syat.g_01382	Syao.g_02691
OG0000526	Syat.g_01380	Syao.g_02688
OG0000527	Syat.g_01373	Syao.g_02684
OG0000528	Syat.g_03167	Syao.g_00031
OG0000529	Syat.g_03171	Syao.g_00027
OG0000530	Syat.g_03174	Syao.g_00122
OG0000531	Syat.g_03175	Syao.g_00121
OG0000532	Syat.g_03178	Syao.g_00118
OG0000533	Syat.g_03180	Syao.g_00116
OG0000534	Syat.g_03181	Syao.g_00115
OG0000535	Syat.g_03182	Syao.g_00114
OG0000536	Syat.g_03183	Syao.g_00113
OG0000537	Syat.g_03185	Syao.g_00112
OG0000538	Syat.g_03204	Syao.g_00100
OG0000539	Syat.g_03206	Syao.g_00099
OG0000540	Syat.g_03207	Syao.g_00098
OG0000541	Syat.g_03208	Syao.g_00097
OG0000542	Syat.g_03213	Syao.g_00167
OG0000543	Syat.g_03215	Syao.g_00165
OG0000544	Syat.g_03216	Syao.g_00164
OG0000545	Syat.g_03218	Syao.g_00162
OG0000546	Syat.g_03220	Syao.g_00160
OG0000547	Syat.g_03222	Syao.g_00158
OG0000548	Syat.g_03223	Syao.g_00157
OG0000549	Syat.g_01795	Syao.g_01391
OG0000550	Syat.g_01107	Syao.g_01396
OG0000551	Syat.g_01103	Syao.g_01401
OG0000552	Syat.g_01102	Syao.g_01402
OG0000553	Syat.g_01098	Syao.g_01404
OG0000554	Syat.g_03271	Syao.g_01413
OG0000555	Syat.g_00093	Syao.g_00875
OG0000556	Syat.g_00088	Syao.g_00871
OG0000557	Syat.g_00083	Syao.g_00866
OG0000558	Syat.g_00081	Syao.g_00864
OG0000559	Syat.g_00077	Syao.g_00860
OG0000560	Syat.g_00074	Syao.g_00857
OG0000561	Syat.g_00073	Syao.g_00856
OG0000562	Syat.g_00072	Syao.g_00855
OG0000563	Syat.g_00071	Syao.g_00854
OG0000564	Syat.g_00070	Syao.g_00853
OG0000565	Syat.g_00067	Syao.g_00849
OG0000566	Syat.g_00063	Syao.g_00845
