Orthogroup	Syab	Prbd
OG0000442	Syab.g_02642	Prbd.g_01035
OG0000443	Syab.g_02668	Prbd.g_01034
OG0000444	Syab.g_02681	Prbd.g_01029
OG0000445	Syab.g_02682	Prbd.g_01028
OG0000446	Syab.g_02684	Prbd.g_01027
OG0000447	Syab.g_02687	Prbd.g_01026
OG0000448	Syab.g_02688	Prbd.g_01025
OG0000449	Syab.g_02689	Prbd.g_01024
OG0000450	Syab.g_02695	Prbd.g_01023
OG0000451	Syab.g_02696	Prbd.g_01022
OG0000452	Syab.g_02701	Prbd.g_01019
OG0000453	Syab.g_02702	Prbd.g_01018
OG0000454	Syab.g_02703	Prbd.g_01017
OG0000455	Syab.g_02704	Prbd.g_01016
OG0000456	Syab.g_02705	Prbd.g_01015
OG0000457	Syab.g_02707	Prbd.g_01013
OG0000458	Syab.g_02708	Prbd.g_01012
OG0000459	Syab.g_02709	Prbd.g_01011
OG0000460	Syab.g_02372	Prbd.g_01004
OG0000461	Syab.g_00356	Prbd.g_00997
OG0000462	Syab.g_00352	Prbd.g_00995
OG0000463	Syab.g_00351	Prbd.g_00994
OG0000464	Syab.g_00350	Prbd.g_00993
OG0000465	Syab.g_00349	Prbd.g_00992
OG0000466	Syab.g_00343	Prbd.g_00989
OG0000467	Syab.g_00341	Prbd.g_00988
OG0000468	Syab.g_00336	Prbd.g_00986
OG0000469	Syab.g_00318	Prbd.g_00977
OG0000470	Syab.g_00316	Prbd.g_00975
OG0000471	Syab.g_00315	Prbd.g_00974
OG0000472	Syab.g_00313	Prbd.g_00973
OG0000473	Syab.g_00311	Prbd.g_00971
OG0000474	Syab.g_00310	Prbd.g_00970
OG0000475	Syab.g_00309	Prbd.g_00969
OG0000476	Syab.g_00307	Prbd.g_00968
OG0000477	Syab.g_00301	Prbd.g_00964
OG0000478	Syab.g_00300	Prbd.g_00963
OG0000479	Syab.g_00299	Prbd.g_00962
OG0000480	Syab.g_00292	Prbd.g_00957
OG0000481	Syab.g_00290	Prbd.g_00955
OG0000482	Syab.g_00289	Prbd.g_00954
OG0000483	Syab.g_00285	Prbd.g_00951
OG0000484	Syab.g_00284	Prbd.g_00950
OG0000485	Syab.g_00283	Prbd.g_00949
OG0000486	Syab.g_00282	Prbd.g_00948
OG0000487	Syab.g_00276	Prbd.g_00944
OG0000488	Syab.g_00272	Prbd.g_00941
OG0000489	Syab.g_00256	Prbd.g_00936
OG0000490	Syab.g_00247	Prbd.g_00931
OG0000491	Syab.g_00245	Prbd.g_00930
OG0000492	Syab.g_00243	Prbd.g_00928
OG0000493	Syab.g_00242	Prbd.g_00927
OG0000494	Syab.g_00241	Prbd.g_00926
OG0000495	Syab.g_00240	Prbd.g_00925
OG0000496	Syab.g_00239	Prbd.g_00924
OG0000497	Syab.g_00238	Prbd.g_00923
OG0000498	Syab.g_00237	Prbd.g_00922
OG0000499	Syab.g_00236	Prbd.g_00921
OG0000500	Syab.g_00235	Prbd.g_00920
OG0000501	Syab.g_00232	Prbd.g_00918
OG0000502	Syab.g_00224	Prbd.g_00915
OG0000503	Syab.g_00523	Prbd.g_00905
OG0000504	Syab.g_00525	Prbd.g_00904
OG0000505	Syab.g_00526	Prbd.g_00903
OG0000506	Syab.g_00528	Prbd.g_00901
OG0000507	Syab.g_00533	Prbd.g_00898
OG0000508	Syab.g_00537	Prbd.g_00894
OG0000509	Syab.g_00539	Prbd.g_00892
OG0000510	Syab.g_00540	Prbd.g_00891
OG0000511	Syab.g_00541	Prbd.g_00890
OG0000512	Syab.g_00543	Prbd.g_00888
OG0000513	Syab.g_00555	Prbd.g_00881
OG0000514	Syab.g_00566	Prbd.g_00811
OG0000515	Syab.g_00567	Prbd.g_00810
OG0000516	Syab.g_00575	Prbd.g_00809
OG0000517	Syab.g_00582	Prbd.g_00807
OG0000518	Syab.g_00594	Prbd.g_00796
OG0000519	Syab.g_00610	Prbd.g_00795
OG0000520	Syab.g_00611	Prbd.g_00794
OG0000521	Syab.g_00624	Prbd.g_00789
OG0000522	Syab.g_00626	Prbd.g_00787
OG0000523	Syab.g_00627	Prbd.g_00786
OG0000524	Syab.g_00640	Prbd.g_00781
OG0000525	Syab.g_00671	Prbd.g_00778
OG0000526	Syab.g_00689	Prbd.g_00777
OG0000527	Syab.g_00695	Prbd.g_00769
OG0000528	Syab.g_02092	Prbd.g_00764
OG0000529	Syab.g_02097	Prbd.g_00761
OG0000530	Syab.g_02100	Prbd.g_00758
OG0000531	Syab.g_02101	Prbd.g_00757
OG0000532	Syab.g_02104	Prbd.g_00755
OG0000533	Syab.g_02106	Prbd.g_00754
OG0000534	Syab.g_02107	Prbd.g_00753
OG0000535	Syab.g_02108	Prbd.g_00752
OG0000536	Syab.g_02109	Prbd.g_00751
OG0000537	Syab.g_02110	Prbd.g_00750
OG0000538	Syab.g_02122	Prbd.g_00742
OG0000539	Syab.g_02123	Prbd.g_00741
OG0000540	Syab.g_02124	Prbd.g_00740
OG0000541	Syab.g_02125	Prbd.g_00739
OG0000542	Syab.g_02128	Prbd.g_00737
OG0000543	Syab.g_02130	Prbd.g_00735
OG0000544	Syab.g_02131	Prbd.g_00734
OG0000545	Syab.g_02133	Prbd.g_00732
OG0000546	Syab.g_02135	Prbd.g_00729
OG0000547	Syab.g_02137	Prbd.g_00727
OG0000548	Syab.g_02138	Prbd.g_00726
OG0000549	Syab.g_02144	Prbd.g_00724
OG0000550	Syab.g_02149	Prbd.g_00719
OG0000551	Syab.g_02153	Prbd.g_00715
OG0000552	Syab.g_02154	Prbd.g_00714
OG0000553	Syab.g_02046	Prbd.g_00713
OG0000554	Syab.g_02040	Prbd.g_00708
OG0000555	Syab.g_02026	Prbd.g_00700
OG0000556	Syab.g_02022	Prbd.g_00698
